team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Hamburger SV,Hamburger SV,2018/2019,Germany,34,17,17,0,16,8,8,8,4,4,10,5,5,1.65,1.65,1.65,4,9,2,4,45,42,3,87,43,44,21,24,22,20,-1,4,68,73,64,73,70,76,14,8,6,15,6,9,9,5,4,18,9,9,175,96,79,57,18,39,58,60,56,487,263,224,185,102,83,302,161,141,435,189,246,18,7,11,15,6,9,3,1,2,12,6,6,14,7,7,8,4,4,1.47,1.47,1.47,2.56,2.53,2.59,1.32,1.24,1.41,1.24,1.29,1.18,0.97,0.76,1.18,0.53,0.41,0.65,0.44,0.35,0.53,30,24,20,9,4,0,15,11,10,4,3,0,15,13,10,5,1,0,4,10,14,25,30,34,2,6,7,13,14,17,2,4,7,12,16,17,88,71,59,26,12,0,88,65,59,24,18,0,88,76,59,29,6,0,12,29,41,74,88,100,12,35,41,76,82,100,12,24,41,71,94,100,22,9,2,10,2,1,12,7,1,65,26,6,59,12,6,71,41,6,47,47,47,-5,41,47,35,44,35,53,26,29,24,53,53,53,23,13,10,68,76,59,20,11,9,59,65,53,3,0,3,9,0,18,35,35,35,41,41,41,24,24,24,5.15,5.65,4.65,1.68,1.06,2.29,88,76,68,50,35,28,24,15,71,3,7,4,2,4,5,8,4,8,2,6,5,1,3,7,3,4,11
1. FC Köln,Köln,2018/2019,Germany,34,17,17,0,19,9,10,6,3,3,9,5,4,1.85,1.76,1.94,1,4,1,1,84,47,37,131,75,56,49,35,26,21,23,14,36,31,44,65,59,73,9,3,6,22,14,8,3,0,3,22,10,12,205,135,70,79,34,45,54,56,52,574,341,233,244,150,94,330,191,139,499,224,275,33,15,18,19,11,8,14,4,10,18,7,11,9,6,3,7,4,3,1.85,1.59,2.12,3.85,4.41,3.29,2.47,2.88,2.06,1.38,1.53,1.24,1.53,1.53,1.53,0.97,0.88,1.06,0.56,0.65,0.47,34,32,23,16,9,6,17,17,14,10,6,4,17,15,9,6,3,2,0,2,11,18,25,28,0,0,3,7,11,13,0,2,8,11,14,15,100,94,68,47,26,18,100,100,82,59,35,24,100,88,53,35,18,12,0,6,32,53,74,82,0,0,18,41,65,76,0,12,47,65,82,88,31,16,4,16,9,1,15,7,3,91,47,12,94,53,6,88,41,18,56,53,59,3,26,18,35,65,82,47,9,0,18,65,59,71,21,8,13,62,47,76,9,5,4,26,29,24,7,5,2,21,29,12,53,41,65,26,35,18,21,24,18,6.03,7.94,4.12,2.32,2,2.65,88,74,71,53,47,41,26,26,121,4,4,7,8,16,17,10,6,12,7,2,4,5,1,4,6,7,11
FC Ingolstadt 04,Ingolstadt,2018/2019,Germany,34,17,17,0,9,4,5,8,5,3,17,8,9,1.03,1,1.06,16,16,10,16,43,55,-12,98,42,56,20,23,22,33,-2,-10,71,76,67,56,70,46,5,2,3,22,13,9,7,2,5,18,8,10,162,83,79,87,38,49,49,52,46,472,254,218,167,78,89,305,176,129,522,260,262,16,9,7,17,6,11,-1,3,-4,10,5,5,15,8,7,9,4,5,1.32,1.35,1.29,2.88,2.47,3.29,1.26,1.18,1.35,1.62,1.29,1.94,0.97,0.88,1.06,0.47,0.53,0.41,0.5,0.35,0.65,34,29,20,8,4,3,17,14,9,1,1,0,17,15,11,7,3,3,0,5,14,26,30,31,0,3,8,16,16,17,0,2,6,10,14,14,100,85,59,24,12,9,100,82,53,6,6,0,100,88,65,41,18,18,0,15,41,76,88,91,0,18,47,94,94,100,0,12,35,59,82,82,23,9,1,11,4,0,12,5,1,68,26,3,65,24,0,71,29,6,26,24,29,7,15,12,18,65,76,53,21,12,29,53,47,59,21,11,10,62,65,59,20,10,10,59,59,59,4,2,2,12,12,12,29,29,29,44,47,41,26,24,29,4.76,4.88,4.65,2.56,2.24,2.88,94,79,68,56,41,38,24,12,82,3,4,2,5,5,7,6,7,4,3,3,4,4,4,6,6,12,13
SV Darmstadt 1898,Darmstadt 98,2018/2019,Germany,34,17,17,0,13,9,4,7,4,3,14,4,10,1.35,1.82,0.88,10,3,17,10,45,53,-8,98,42,56,25,20,17,36,8,-16,68,61,76,58,90,42,8,6,2,21,10,11,6,2,4,14,10,4,160,99,61,64,25,39,49,49,49,430,211,219,159,78,81,271,133,138,460,213,247,14,6,8,21,6,15,-7,0,-7,8,5,3,16,8,8,10,4,6,1.18,1.35,1,2.88,2.47,3.29,1.32,1.47,1.18,1.56,1,2.12,1.03,0.71,1.35,0.41,0.35,0.47,0.62,0.35,0.88,33,27,19,9,6,2,16,14,9,2,1,0,17,13,10,7,5,2,1,7,15,25,28,32,1,3,8,15,16,17,0,4,7,10,12,15,97,79,56,26,18,6,94,82,53,12,6,0,100,76,59,41,29,12,3,21,44,74,82,94,6,18,47,88,94,100,0,24,41,59,71,88,21,10,2,9,2,1,12,8,1,62,29,6,53,12,6,71,47,6,38,53,24,24,24,35,12,62,59,65,18,12,24,41,59,24,20,12,8,59,71,47,22,12,10,65,71,59,5,1,4,15,6,24,24,29,18,47,47,47,29,24,35,4.71,5.82,3.59,1.88,1.47,2.29,85,79,71,47,35,21,15,12,82,0,4,2,5,4,4,4,9,13,4,4,5,5,6,8,10,3,8
SC Paderborn 07,Paderborn,2018/2019,Germany,34,17,17,0,16,10,6,9,6,3,9,1,8,1.68,2.12,1.24,2,2,6,2,76,50,26,126,73,53,50,26,23,27,27,-1,40,31,59,61,67,57,6,6,0,22,10,12,7,2,5,16,10,6,196,90,106,77,32,45,52,53,52,615,315,300,245,127,118,370,188,182,444,204,240,24,15,9,18,7,11,6,8,-2,11,7,4,13,7,6,10,3,7,1.35,1.65,1.06,3.71,4.29,3.12,2.24,2.94,1.53,1.47,1.35,1.59,1.24,1.29,1.18,0.71,0.88,0.53,0.53,0.41,0.65,33,29,23,17,9,7,16,14,13,12,7,5,17,15,10,5,2,2,1,5,11,17,25,27,1,3,4,5,10,12,0,2,7,12,15,15,97,85,68,50,26,21,94,82,76,71,41,29,100,88,59,29,12,12,3,15,32,50,74,79,6,18,24,29,59,71,0,12,41,71,88,88,24,11,6,11,6,4,13,5,2,71,32,18,65,35,24,76,29,12,47,59,35,20,18,35,0,65,59,71,21,12,29,47,59,35,18,11,7,53,65,41,18,8,10,53,47,59,8,4,4,24,24,24,32,41,24,38,41,35,29,18,41,5.76,5.29,6.24,2.26,1.88,2.65,85,76,71,56,47,44,32,28,124,6,3,4,7,6,8,8,13,21,1,6,3,5,6,5,6,8,10
SG Dynamo Dresden,Dynamo Dresden,2018/2019,Germany,34,17,17,0,11,7,4,9,5,4,14,5,9,1.24,1.53,0.94,12,10,14,12,41,48,-7,89,45,44,26,15,19,29,7,-14,74,59,102,64,80,53,9,5,4,16,9,7,13,5,8,12,7,5,151,87,64,74,32,42,49,50,48,457,252,205,170,97,73,287,155,132,494,237,257,22,16,6,20,12,8,2,4,-2,11,7,4,13,6,7,10,4,6,1.35,1.59,1.12,2.62,2.65,2.59,1.21,1.53,0.88,1.41,1.12,1.71,1.24,1.65,0.82,0.65,0.94,0.35,0.59,0.71,0.47,30,23,16,11,3,2,15,12,8,6,2,1,15,11,8,5,1,1,4,11,18,23,31,32,2,5,9,11,15,16,2,6,9,12,16,16,88,68,47,32,9,6,88,71,47,35,12,6,88,65,47,29,6,6,12,32,53,68,91,94,12,29,53,65,88,94,12,35,53,71,94,94,23,14,4,13,10,4,10,4,0,68,41,12,76,59,24,59,24,0,32,41,24,24,26,29,24,47,53,41,38,29,47,35,41,29,19,8,11,56,47,65,20,7,13,59,41,76,6,6,0,18,35,0,32,41,24,38,35,41,29,24,35,4.44,5.12,3.76,2.18,1.88,2.47,65,59,53,44,35,26,12,6,76,4,5,5,7,2,6,3,3,6,4,3,5,4,7,6,7,6,6
VfL Bochum 1848,Bochum,2018/2019,Germany,34,17,17,0,11,9,2,11,3,8,12,5,7,1.29,1.76,0.82,11,6,18,11,49,50,-1,99,51,48,29,20,22,28,7,-8,63,53,76,61,70,55,11,6,5,19,9,10,9,3,6,16,8,8,166,97,69,68,25,43,53,56,50,456,268,188,179,98,81,277,170,107,424,197,227,21,11,10,20,13,7,1,-2,3,10,5,5,15,5,10,9,7,2,1.32,1.18,1.47,2.91,3,2.82,1.44,1.71,1.18,1.47,1.29,1.65,1.21,1.41,1,0.62,0.65,0.59,0.59,0.76,0.41,29,24,21,15,7,3,16,11,10,7,4,3,13,13,11,8,3,0,5,10,13,19,27,31,1,6,7,10,13,14,4,4,6,9,14,17,85,71,62,44,21,9,94,65,59,41,24,18,76,76,65,47,18,0,15,29,38,56,79,91,6,35,41,59,76,82,24,24,35,53,82,100,21,13,7,13,7,4,8,6,3,62,38,21,76,41,24,47,35,18,32,53,12,16,32,35,29,56,53,59,26,18,35,47,47,47,21,9,12,62,53,71,19,9,10,56,53,59,7,3,4,21,18,24,29,29,29,44,29,59,26,41,12,4.88,5.71,4.06,2,1.47,2.53,94,85,79,47,41,35,15,6,88,4,5,3,4,7,6,9,8,3,4,3,2,7,4,9,3,7,11
1. FC Union Berlin,Union Berlin,2018/2019,Germany,34,17,17,0,14,11,3,15,5,10,5,1,4,1.68,2.24,1.12,3,1,9,3,54,33,21,87,45,42,34,20,11,22,23,-2,57,45,76,93,138,70,14,10,4,19,7,12,5,1,4,21,14,7,170,88,82,76,32,44,48,47,49,540,253,287,194,100,94,346,153,193,576,300,276,24,16,8,10,2,8,14,14,0,15,9,6,13,7,6,6,1,5,1.71,2,1.41,2.56,2.65,2.47,1.59,2,1.18,0.97,0.65,1.29,1,1.06,0.94,0.71,0.94,0.47,0.29,0.12,0.47,30,29,15,10,3,0,16,15,7,6,1,0,14,14,8,4,2,0,4,5,19,24,31,34,1,2,10,11,16,17,3,3,9,13,15,17,88,85,44,29,9,0,94,88,41,35,6,0,82,82,47,24,12,0,12,15,56,71,91,100,6,12,59,65,94,100,18,18,53,76,88,100,24,9,1,11,6,1,13,3,0,71,26,3,65,35,6,76,18,0,41,65,18,30,41,59,24,56,41,71,15,6,24,62,82,41,25,15,10,74,88,59,16,7,9,47,41,53,3,1,2,9,6,12,44,53,35,38,41,35,18,6,29,5.00,5.18,4.82,2.24,1.88,2.59,88,65,56,38,26,24,15,9,56,4,4,6,2,9,3,4,2,20,1,1,3,1,7,5,5,6,4
DSC Arminia Bielefeld,Arminia Bielefeld,2018/2019,Germany,34,17,17,0,13,8,5,10,2,8,11,7,4,1.44,1.53,1.35,7,11,5,7,52,50,2,102,52,50,27,25,25,25,2,0,59,57,61,61,61,61,7,4,3,23,12,11,5,1,4,15,9,6,178,95,83,68,32,36,51,51,51,525,264,261,192,95,97,333,169,164,452,226,226,23,14,9,20,8,12,3,6,-3,12,8,4,12,5,7,10,4,6,1.41,1.71,1.12,3,3.06,2.94,1.53,1.59,1.47,1.47,1.47,1.47,1.26,1.29,1.24,0.68,0.82,0.53,0.59,0.47,0.71,33,28,20,11,4,3,17,14,10,6,2,1,16,14,10,5,2,2,1,6,14,23,30,31,0,3,7,11,15,16,1,3,7,12,15,15,97,82,59,32,12,9,100,82,59,35,12,6,94,82,59,29,12,12,3,18,41,68,88,91,0,18,41,65,88,94,6,18,41,71,88,88,25,13,2,13,6,1,12,7,1,74,38,6,76,35,6,71,41,6,38,47,29,0,21,24,18,68,71,65,15,6,24,44,53,35,20,11,9,59,65,53,18,8,10,53,47,59,5,2,3,15,12,18,35,47,24,35,29,41,29,24,35,5.24,5.59,4.88,2,1.88,2.12,85,65,53,41,38,32,24,12,82,6,3,4,7,7,1,8,9,7,4,3,5,3,10,7,7,2,9
SpVgg Greuther Fürth,Greuther Fürth,2018/2019,Germany,34,17,17,0,10,6,4,12,8,4,12,3,9,1.24,1.53,0.94,13,12,15,13,37,56,-19,93,47,46,23,14,24,32,-1,-18,83,67,110,55,64,48,8,4,4,16,10,6,14,6,8,16,8,8,171,70,101,87,43,44,48,50,47,491,245,246,168,85,83,323,160,163,470,236,234,8,3,5,23,8,15,-15,-5,-10,3,1,2,20,12,8,11,4,7,0.85,0.88,0.82,2.74,2.76,2.71,1.09,1.35,0.82,1.65,1.41,1.88,0.91,0.65,1.18,0.24,0.18,0.29,0.68,0.47,0.88,30,25,17,14,6,1,14,12,10,8,3,0,16,13,7,6,3,1,4,9,17,20,28,33,3,5,7,9,14,17,1,4,10,11,14,16,88,74,50,41,18,3,82,71,59,47,18,0,94,76,41,35,18,6,12,26,50,59,82,97,18,29,41,53,82,100,6,24,59,65,82,94,16,10,5,6,4,1,10,6,4,47,29,15,35,24,6,59,35,24,29,35,24,20,24,24,24,47,59,35,41,35,47,47,47,47,20,12,8,59,71,47,28,15,13,82,88,76,4,1,3,12,6,18,9,6,12,59,71,47,32,24,41,5.03,4.12,5.94,2.56,2.53,2.59,88,88,82,68,50,44,26,26,71,3,2,2,1,2,8,2,2,15,3,7,5,5,6,6,7,7,10
