timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1565980200,Aug 16 2019 - 6:30pm,complete,75000,Bayern München,Hertha BSC,0.00,0.00,2.23,1.33,2,2,4,3,1,2,"24,60","36,38",12,0,3,0,3,0,20,7,10,4,10,3,5,17,70,30,0.00,0,0,0,0,0,0,0,0.00,0.00,1.18,7.75,17.25,1.11,1.38,1.95,3.20,2.05,1.69,Allianz Arena (München)
1566048600,Aug 17 2019 - 1:30pm,complete,81365,Borussia Dortmund,Augsburg,0.00,0.00,2.50,0.69,5,1,6,2,1,1,"3,51,57,59,82","1",10,0,0,0,0,0,24,6,11,2,13,4,8,7,74,26,0.00,0,0,0,0,0,0,0,0.00,0.00,1.22,7.00,13.75,1.11,1.39,2.00,3.25,1.91,1.80,Signal-Iduna-Park (Dortmund)
1566048600,Aug 17 2019 - 1:30pm,complete,42100,Werder Bremen,Fortuna Düsseldorf,0.00,0.00,0.45,0.77,1,3,4,1,0,1,"47","36,52,64",14,5,0,0,2,0,27,12,13,7,14,5,8,13,64,36,0.00,0,0,0,0,0,0,0,0.00,0.00,1.74,4.05,4.75,1.20,1.65,2.60,4.70,1.61,2.15,wohninvest WESERSTADION (Bremen)
1566048600,Aug 17 2019 - 1:30pm,complete,26208,Bayer Leverkusen,Paderborn,0.00,0.00,1.92,0.75,3,2,5,4,2,2,"10,19,69","15,25",6,6,2,0,0,0,15,10,5,6,10,4,9,9,65,35,0.00,0,0,0,0,0,0,0,0.00,0.00,1.27,6.30,11.50,1.08,1.32,1.83,2.80,1.61,2.15,BayArena (Leverkusen)
1566048600,Aug 17 2019 - 1:30pm,complete,24000,Freiburg,Mainz 05,0.00,0.00,1.67,1.00,3,0,3,0,0,0,"81,83,87","",5,5,1,0,3,0,19,20,9,6,10,14,6,13,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,2.25,3.40,3.45,1.29,1.91,3.30,6.35,1.71,2.00,Schwarzwald-Stadion (Freiburg im Breisgau)
1566048600,Aug 17 2019 - 1:30pm,complete,25099,Wolfsburg,Köln,0.00,0.00,1.38,1.08,2,1,3,1,1,0,"16,60","90'1",2,6,1,0,3,0,15,11,7,3,8,8,16,17,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,1.95,3.80,4.00,1.20,1.65,2.65,4.75,1.57,2.20,VOLKSWAGEN ARENA (Wolfsburg)
1566059400,Aug 17 2019 - 4:30pm,complete,54022,Borussia M'gladbach,Schalke 04,0.00,0.00,2.17,1.33,0,0,0,0,0,0,"","",8,3,3,0,2,0,16,9,5,2,11,7,8,12,59,41,0.00,0,0,0,0,0,0,0,0.00,0.00,2.15,3.40,3.60,0.00,0.00,0.00,0.00,0.00,0.00,Stadion im BORUSSIA-PARK (Mönchengladbach)
1566135000,Aug 18 2019 - 1:30pm,complete,50200,Eintracht Frankfurt,Hoffenheim,0.00,0.00,1.75,1.58,1,0,1,1,1,0,"1","",10,5,3,0,1,0,16,10,8,2,8,8,17,11,47,53,0.00,0,0,0,0,0,0,0,0.00,0.00,2.25,3.75,3.05,0.00,0.00,0.00,0.00,0.00,0.00,Commerzbank-Arena (Frankfurt am Main)
1566144000,Aug 18 2019 - 4:00pm,complete,22467,Union Berlin,RB Leipzig,0.00,0.00,1.58,1.92,0,4,4,3,0,3,"","16,31,42,69",3,6,1,0,0,0,13,15,3,10,10,5,13,5,41,59,0.00,0,0,0,0,0,0,0,0.00,0.00,4.80,4.20,1.71,0.00,0.00,0.00,0.00,0.00,0.00,Stadion An der Alten Försterei (Berlin)
1566585000,Aug 23 2019 - 6:30pm,complete,50000,Köln,Borussia Dortmund,0.00,0.00,1.58,1.62,1,3,4,1,1,0,"29","70,86,90'4",7,8,2,0,1,0,11,14,2,6,9,8,12,10,30,70,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RheinEnergieStadion (Köln)
