team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
BVB 09 Borussia Dortmund,Borussia Dortmund,2017/2018,Germany,34,17,17,0,15,9,6,10,4,6,9,4,5,1.62,1.82,1.41,4,5,4,4,64,47,17,111,61,50,40,24,21,26,19,-2,48,38,64,65,73,59,12,7,5,20,10,10,4,1,3,20,12,8,162,88,74,45,23,22,56,56,57,445,243,202,212,114,98,233,129,104,386,197,189,30,18,12,22,9,13,8,9,-1,15,9,6,10,3,7,9,5,4,1.62,1.76,1.47,3.26,3.59,2.94,1.88,2.35,1.41,1.38,1.24,1.53,1.53,1.59,1.47,0.88,1.06,0.71,0.65,0.53,0.76,32,30,21,13,8,4,16,15,12,8,5,2,16,15,9,5,3,2,2,4,13,21,26,30,1,2,5,9,12,15,1,2,8,12,14,15,94,88,62,38,24,12,94,88,71,47,29,12,94,88,53,29,18,12,6,12,38,62,76,88,6,12,29,53,71,88,6,12,47,71,82,88,28,14,7,15,7,4,13,7,3,82,41,21,88,41,24,76,41,18,44,53,35,18,35,41,29,59,59,59,12,6,18,59,71,47,20,11,9,59,65,53,12,5,7,35,29,41,8,3,5,24,18,29,44,53,35,29,18,41,26,29,24,4.76,5.18,4.35,1.32,1.35,1.29,76,59,41,38,28,21,15,3,100,4,10,8,5,6,11,7,6,7,4,5,8,2,6,3,10,3,6
1. FSV Mainz 05,Mainz 05,2017/2018,Germany,34,17,17,0,9,7,2,9,3,6,16,7,9,1.06,1.41,0.71,14,13,15,14,38,52,-14,90,43,47,22,16,21,31,1,-15,80,70,96,59,73,49,7,5,2,17,8,9,12,5,7,11,7,4,148,76,72,65,25,40,47,49,45,408,228,180,179,94,85,229,134,95,510,241,269,18,10,8,28,12,16,-10,-2,-8,6,3,3,18,11,7,10,3,7,1.06,1.18,0.94,2.65,2.53,2.76,1.12,1.29,0.94,1.53,1.24,1.82,1.35,1.29,1.41,0.53,0.59,0.47,0.82,0.71,0.94,32,27,15,10,5,1,16,12,7,5,3,0,16,15,8,5,2,1,2,7,19,24,29,33,1,5,10,12,14,17,1,2,9,12,15,16,94,79,44,29,15,3,94,71,41,29,18,0,94,88,47,29,12,6,6,21,56,71,85,97,6,29,59,71,82,100,6,12,53,71,88,94,24,15,5,12,8,1,12,7,4,71,44,15,71,47,6,71,41,24,26,41,12,17,21,29,12,50,47,53,35,29,41,32,41,24,15,8,7,44,47,41,19,8,11,56,47,65,10,6,4,29,35,24,18,18,18,53,65,41,29,18,41,4.35,4.47,4.24,1.91,1.47,2.35,79,71,62,59,41,28,26,18,56,3,4,3,3,6,5,3,5,6,5,5,9,4,7,5,3,6,8
FC Schalke 04,Schalke 04,2017/2018,Germany,34,17,17,0,18,10,8,9,5,4,7,2,5,1.85,2.06,1.65,2,3,2,2,53,37,16,90,42,48,27,26,15,22,12,4,58,57,59,83,102,70,13,7,6,18,9,9,3,1,2,24,15,9,136,57,79,67,32,35,48,47,48,401,196,205,201,101,100,200,95,105,519,252,267,25,15,10,18,4,14,7,11,-4,16,12,4,11,4,7,7,1,6,1.74,2.35,1.12,2.65,2.47,2.82,1.56,1.59,1.53,1.09,0.88,1.29,1.26,1.12,1.41,0.74,0.88,0.59,0.53,0.24,0.82,34,28,14,8,3,1,17,15,6,3,1,0,17,13,8,5,2,1,0,6,20,26,31,33,0,2,11,14,16,17,0,4,9,12,15,16,100,82,41,24,9,3,100,88,35,18,6,0,100,76,47,29,12,6,0,18,59,76,91,97,0,12,65,82,94,100,0,24,53,71,88,94,27,11,4,15,4,0,12,7,4,79,32,12,88,24,0,71,41,24,53,59,47,11,38,41,35,53,53,53,9,6,12,71,88,53,21,14,7,62,82,41,13,3,10,38,18,59,7,2,5,21,12,29,47,71,24,32,24,41,21,6,35,4.00,3.35,4.65,1.97,1.88,2.06,68,53,35,28,18,9,6,3,62,3,7,7,4,8,3,6,6,9,2,6,6,3,2,1,5,6,6
Hamburger SV,Hamburger SV,2017/2018,Germany,34,17,17,0,8,6,2,7,4,3,19,7,12,0.91,1.29,0.53,17,15,16,17,29,53,-24,82,36,46,17,12,19,34,-2,-22,106,90,127,58,80,45,7,6,1,14,7,7,17,7,10,10,7,3,203,116,87,65,36,29,49,52,47,366,217,149,171,103,68,195,114,81,478,239,239,14,7,7,23,8,15,-9,-1,-8,6,4,2,15,8,7,13,5,8,0.97,1.18,0.76,2.41,2.12,2.71,0.85,1,0.71,1.56,1.12,2,1.09,0.88,1.29,0.41,0.41,0.41,0.68,0.47,0.88,30,25,16,7,3,1,14,11,8,2,1,0,16,14,8,5,2,1,4,9,18,27,31,33,3,6,9,15,16,17,1,3,9,12,15,16,88,74,47,21,9,3,82,65,47,12,6,0,94,82,47,29,12,6,12,26,53,79,91,97,18,35,53,88,94,100,6,18,53,71,88,94,24,11,2,11,3,1,13,8,1,71,32,6,65,18,6,76,47,6,24,35,12,23,21,35,6,41,41,41,50,41,59,29,41,18,16,10,6,47,59,35,22,10,12,65,59,71,6,3,3,18,18,18,18,24,12,44,47,41,38,29,47,5.97,6.82,5.12,1.91,2.12,1.71,91,82,76,71,59,50,35,21,71,4,4,3,1,2,3,4,2,6,5,7,6,3,6,6,5,7,8
SV Werder Bremen,Werder Bremen,2017/2018,Germany,34,17,17,0,10,6,4,12,7,5,12,4,8,1.24,1.47,1,11,12,10,11,37,40,-3,77,37,40,20,17,17,23,3,-6,83,76,90,76,90,67,8,6,2,18,8,10,13,6,7,12,9,3,181,93,88,55,26,29,47,45,48,399,209,190,178,89,89,221,120,101,507,233,274,17,11,6,21,7,14,-4,4,-8,9,7,2,13,7,6,12,3,9,1.18,1.65,0.71,2.26,2.18,2.35,1.09,1.18,1,1.18,1,1.35,1.12,1.06,1.18,0.5,0.65,0.35,0.62,0.41,0.82,29,24,15,7,1,1,14,12,7,4,0,0,15,12,8,3,1,1,5,10,19,27,33,33,3,5,10,13,17,17,2,5,9,14,16,16,85,71,44,21,3,3,82,71,41,24,0,0,88,71,47,18,6,6,15,29,56,79,97,97,18,29,59,76,100,100,12,29,53,82,94,94,26,12,0,12,6,0,14,6,0,76,35,0,71,35,0,82,35,0,29,35,24,12,24,35,12,53,47,59,38,35,41,35,53,18,17,12,5,50,71,29,20,8,12,59,47,71,5,2,3,15,12,18,26,41,12,38,41,35,35,18,53,5.32,5.47,5.18,1.62,1.53,1.71,76,71,68,59,41,32,26,15,44,3,2,6,4,2,6,2,8,4,1,6,5,6,5,3,4,3,7
FC Bayern München,Bayern München,2017/2018,Germany,34,17,17,0,27,14,13,3,2,1,4,1,3,2.47,2.59,2.35,1,1,1,1,92,28,64,120,71,49,56,36,15,13,41,23,33,27,42,110,102,118,16,8,8,17,9,8,2,1,1,24,12,12,223,119,104,42,14,28,63,64,61,583,322,261,269,149,120,314,173,141,352,153,199,44,30,14,15,8,7,29,22,7,19,11,8,10,5,5,5,1,4,1.97,2.24,1.71,3.53,4.18,2.88,2.71,3.29,2.12,0.82,0.88,0.76,1.74,2.24,1.24,1.29,1.76,0.82,0.44,0.47,0.41,33,29,25,18,9,5,16,15,14,12,8,5,17,14,11,6,1,0,1,5,9,16,25,29,1,2,3,5,9,12,0,3,6,11,16,17,97,85,74,53,26,15,94,88,82,71,47,29,100,82,65,35,6,0,3,15,26,47,74,85,6,12,18,29,53,71,0,18,35,65,94,100,28,21,7,15,14,6,13,7,1,82,62,21,88,82,35,76,41,6,79,82,76,7,47,47,47,50,53,47,6,6,6,71,71,71,22,11,11,65,65,65,10,2,8,29,12,47,8,6,2,24,35,12,56,65,47,29,29,29,15,6,24,6.56,7.00,6.12,1.24,0.82,1.65,88,74,68,53,35,26,12,12,106,6,11,8,11,11,9,11,11,14,4,2,4,3,2,7,2,2,2
Borussia VfL Mönchengladbach,Borussia M'gladbach,2017/2018,Germany,34,17,17,0,13,9,4,8,4,4,13,4,9,1.38,1.82,0.94,9,7,13,9,47,52,-5,99,48,51,28,19,20,32,8,-13,65,55,80,59,76,48,7,4,3,19,10,9,9,3,6,16,11,5,168,110,58,47,21,26,52,54,50,427,243,184,197,106,91,230,137,93,389,198,191,24,13,11,24,5,19,0,8,-8,11,8,3,9,5,4,14,4,10,1.24,1.71,0.76,2.91,2.82,3,1.38,1.65,1.12,1.53,1.18,1.88,1.41,1.06,1.76,0.71,0.76,0.65,0.71,0.29,1.12,33,26,18,11,5,5,17,13,9,5,2,2,16,13,9,6,3,3,1,8,16,23,29,29,0,4,8,12,15,15,1,4,8,11,14,14,97,76,53,32,15,15,100,76,53,29,12,12,94,76,53,35,18,18,3,24,47,68,85,85,0,24,47,71,88,88,6,24,47,65,82,82,28,13,6,13,4,1,15,9,5,82,38,18,76,24,6,88,53,29,38,53,24,22,21,24,18,56,59,53,26,18,35,47,65,29,15,12,3,44,71,18,18,8,10,53,47,59,7,1,6,21,6,35,32,47,18,26,29,24,41,24,59,4.94,6.47,3.41,1.38,1.24,1.53,85,79,62,56,41,28,26,15,79,8,3,5,6,3,2,7,9,4,3,6,4,7,6,6,6,7,7
Bayer 04 Leverkusen,Bayer Leverkusen,2017/2018,Germany,34,17,17,0,15,8,7,10,5,5,9,4,5,1.62,1.71,1.53,5,8,3,5,58,44,14,102,48,54,29,29,19,25,10,4,53,53,53,70,80,61,10,6,4,19,8,11,8,4,4,18,10,8,169,107,62,63,35,28,54,55,54,476,260,216,201,110,91,275,150,125,431,206,225,22,14,8,20,7,13,2,7,-5,11,7,4,12,6,6,11,4,7,1.32,1.59,1.06,3,2.82,3.18,1.71,1.71,1.71,1.29,1.12,1.47,1.24,1.24,1.24,0.65,0.82,0.47,0.59,0.41,0.76,31,28,19,14,6,2,16,14,9,7,2,0,15,14,10,7,4,2,3,6,15,20,28,32,1,3,8,10,15,17,2,3,7,10,13,15,91,82,56,41,18,6,94,82,53,41,12,0,88,82,59,41,24,12,9,18,44,59,82,94,6,18,47,59,88,100,12,18,41,59,76,88,27,11,2,14,6,1,13,5,1,79,32,6,82,35,6,76,29,6,44,47,41,7,29,35,24,56,47,65,24,24,24,53,59,47,18,10,8,53,59,47,17,7,10,50,41,59,6,3,3,18,18,18,32,41,24,35,35,35,32,24,41,4.97,6.29,3.65,1.85,2.06,1.65,68,59,50,35,32,24,21,6,76,1,6,7,5,9,6,10,7,7,3,7,4,2,6,6,6,4,6
1. FC Köln,Köln,2017/2018,Germany,34,17,17,0,5,3,2,7,5,2,22,9,13,0.65,0.82,0.47,18,18,18,18,35,70,-35,105,50,55,20,15,30,40,-10,-25,87,76,102,44,51,38,5,3,2,20,11,9,11,4,7,12,9,3,173,82,91,70,36,34,47,48,46,373,215,158,158,100,58,215,115,100,443,223,220,15,11,4,26,13,13,-11,-2,-9,9,6,3,7,3,4,18,8,10,1,1.24,0.76,3.09,2.94,3.24,1.03,1.18,0.88,2.06,1.76,2.35,1.21,1.41,1,0.44,0.65,0.24,0.76,0.76,0.76,32,27,21,13,8,3,16,14,9,6,3,1,16,13,12,7,5,2,2,7,13,21,26,31,1,3,8,11,14,16,1,4,5,10,12,15,94,79,62,38,24,9,94,82,53,35,18,6,94,76,71,41,29,12,6,21,38,62,76,91,6,18,47,65,82,94,6,24,29,59,71,88,29,8,3,15,5,3,14,3,0,85,24,9,88,29,18,82,18,0,15,18,12,15,15,18,12,59,65,53,32,24,41,35,53,18,13,7,6,38,41,35,21,8,13,62,47,76,5,4,1,15,24,6,26,35,18,21,18,24,53,47,59,5.09,4.82,5.35,2.06,2.12,2.00,85,76,74,59,53,44,32,18,82,4,1,7,3,1,3,5,4,7,5,3,6,8,8,13,10,8,9
SC Freiburg,Freiburg,2017/2018,Germany,34,17,17,0,8,7,1,12,6,6,14,4,10,1.06,1.59,0.53,15,11,17,15,32,56,-24,88,34,54,17,15,17,39,0,-24,96,90,102,55,90,39,9,7,2,16,7,9,15,7,8,7,6,1,127,72,55,60,32,28,45,46,43,363,207,156,152,78,74,211,129,82,429,220,209,9,5,4,23,5,18,-14,0,-14,5,4,1,17,10,7,12,3,9,0.94,1.29,0.59,2.59,2,3.18,0.94,1,0.88,1.65,1,2.29,0.94,0.59,1.29,0.26,0.29,0.24,0.68,0.29,1.06,28,24,16,11,6,2,13,10,6,3,2,0,15,14,10,8,4,2,6,10,18,23,28,32,4,7,11,14,15,17,2,3,7,9,13,15,82,71,47,32,18,6,76,59,35,18,12,0,88,82,59,47,24,12,18,29,53,68,82,94,24,41,65,82,88,100,12,18,41,53,76,88,19,9,3,7,2,1,12,7,2,56,26,9,41,12,6,71,41,12,24,41,6,23,26,41,12,47,41,53,44,41,47,21,35,6,19,13,6,56,76,35,26,13,13,76,76,76,4,1,3,12,6,18,15,24,6,50,59,41,35,18,53,3.74,4.24,3.24,1.76,1.88,1.65,79,59,50,35,24,21,12,9,65,0,5,3,1,2,6,6,2,7,7,3,8,2,4,6,8,6,12
