timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1503081000,Aug 18 2017 - 6:30pm,complete,75000,Bayern München,Bayer Leverkusen,0.00,0.00,2.59,1.53,3,1,4,2,2,0,"9,18,52","65",4,5,1,0,2,0,14,21,8,6,6,15,11,15,51,49,0.00,0,0,0,0,0,0,0,0.00,0.00,1.30,6.00,9.99,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Arena
1503149400,Aug 19 2017 - 1:30pm,complete,30150,Hoffenheim,Werder Bremen,0.00,0.00,2.18,1.00,1,0,1,0,0,0,"84","",6,4,1,0,3,0,15,10,4,3,11,7,17,14,63,37,0.00,0,0,0,0,0,0,0,0.00,0.00,1.78,4.13,4.55,0.00,0.00,0.00,0.00,0.00,0.00,WIRSOL Rhein-Neckar-Arena
1503149400,Aug 19 2017 - 1:30pm,complete,44751,Hertha BSC,Stuttgart,0.00,0.00,1.29,1.00,2,0,2,0,0,0,"46,62","",5,1,2,0,1,0,9,7,5,2,4,5,16,11,52,48,0.00,0,0,0,0,0,0,0,0.00,0.00,2.19,3.50,3.54,0.00,0.00,0.00,0.00,0.00,0.00,Olympiastadion Berlin
1503149400,Aug 19 2017 - 1:30pm,complete,49449,Hamburger SV,Augsburg,0.00,0.00,1.29,1.12,1,0,1,1,1,0,"8","",3,7,4,0,3,0,11,10,6,2,5,8,17,14,35,65,0.00,0,0,0,0,0,0,0,0.00,0.00,2.33,3.32,3.38,0.00,0.00,0.00,0.00,0.00,0.00,Volksparkstadion
1503149400,Aug 19 2017 - 1:30pm,complete,28279,Mainz 05,Hannover 96,0.00,0.00,1.41,0.71,0,1,1,0,0,0,"","73",13,1,3,0,5,0,11,3,6,3,5,0,18,15,62,38,0.00,0,0,0,0,0,0,0,0.00,0.00,2.18,3.35,3.73,0.00,0.00,0.00,0.00,0.00,0.00,OPEL ARENA
1503149400,Aug 19 2017 - 1:30pm,complete,30000,Wolfsburg,Borussia Dortmund,0.00,0.00,1.00,1.41,0,3,3,2,0,2,"","22,27,60",3,5,0,0,0,0,3,8,0,7,3,1,7,14,36,64,0.00,0,0,0,0,0,0,0,0.00,0.00,4.55,4.09,1.78,0.00,0.00,0.00,0.00,0.00,0.00,VOLKSWAGEN ARENA
1503160200,Aug 19 2017 - 4:30pm,complete,61435,Schalke 04,RB Leipzig,0.00,0.00,2.06,1.29,2,0,2,1,1,0,"44,73","",4,5,2,0,2,0,11,11,6,4,5,7,21,15,36,64,0.00,0,0,0,0,0,0,0,0.00,0.00,2.72,3.45,2.72,0.00,0.00,0.00,0.00,0.00,0.00,VELTINS-Arena
1503235800,Aug 20 2017 - 1:30pm,complete,24000,Freiburg,Eintracht Frankfurt,0.00,0.00,1.59,1.24,0,0,0,0,0,0,"","",3,7,1,0,2,0,5,16,2,4,3,12,8,16,52,48,0.00,0,0,0,0,0,0,0,0.00,0.00,2.41,3.42,3.15,0.00,0.00,0.00,0.00,0.00,0.00,Schwarzwald-Stadion
1503244800,Aug 20 2017 - 4:00pm,complete,54018,Borussia M'gladbach,Köln,0.00,0.00,1.82,0.47,1,0,1,0,0,0,"49","",5,3,3,0,2,0,20,12,9,3,11,9,12,10,55,45,0.00,0,0,0,0,0,0,0,0.00,0.00,2.09,3.55,3.78,0.00,0.00,0.00,0.00,0.00,0.00,Stadion im BORUSSIA-PARK
1503685800,Aug 25 2017 - 6:30pm,complete,50000,Köln,Hamburger SV,0.00,0.00,0.82,0.53,1,3,4,2,0,2,"90'7","28,34,90'10",6,7,2,0,3,1,20,8,8,5,12,3,10,9,59,41,0.00,0,0,0,0,0,0,0,0.00,0.00,1.91,3.59,4.58,0.00,0.00,0.00,0.00,0.00,0.00,RheinEnergieStadion
