team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Hamburger SV,Hamburger SV,2019/2020,Germany,34,17,17,0,14,10,4,12,4,8,8,3,5,1.59,2,1.18,4,5,6,4,62,46,16,108,55,53,35,27,20,26,15,1,49,44,57,67,76,59,8,6,2,22,9,13,5,3,2,17,9,8,217,112,105,51,22,29,59,62,57,529,253,276,204,109,95,325,144,181,316,153,163,24,14,10,17,8,9,7,6,1,12,7,5,14,8,6,8,2,6,1.47,1.71,1.24,3.18,3.24,3.12,1.82,2.06,1.59,1.35,1.18,1.53,1.21,1.29,1.12,0.71,0.82,0.59,0.5,0.47,0.53,33,30,19,13,7,4,16,14,9,6,5,3,17,16,10,7,2,1,1,4,15,21,27,30,1,3,8,11,12,14,0,1,7,10,15,16,97,88,56,38,21,12,94,82,53,35,29,18,100,94,59,41,12,6,3,12,44,62,79,88,6,18,47,65,71,82,0,6,41,59,88,94,22,14,4,10,8,3,12,6,1,65,41,12,59,47,18,71,35,6,41,59,24,13,24,35,12,65,53,76,15,18,12,50,53,47,20,11,9,59,65,53,20,9,11,59,53,65,6,4,2,18,24,12,35,41,29,41,47,35,24,12,35,6.38,6.59,6.18,1.5,1.29,1.71,91,79,74,56,38,32,21,15,62,0,9,7,5,9,3,9,8,12,1,4,3,7,6,6,4,3,12
SV Darmstadt 1898,Darmstadt 98,2019/2020,Germany,34,17,17,0,13,7,6,13,9,4,8,1,7,1.53,1.76,1.29,5,6,4,5,48,43,5,91,47,44,29,19,18,25,11,-6,64,53,80,71,85,61,9,7,2,19,10,9,9,2,7,15,11,4,178,102,76,64,26,38,46,45,48,486,261,225,196,109,87,290,152,138,386,169,217,19,10,9,21,9,12,-2,1,-3,6,4,2,19,9,10,9,4,5,1.09,1.24,0.94,2.68,2.76,2.59,1.41,1.71,1.12,1.26,1.06,1.47,1.18,1.12,1.24,0.56,0.59,0.53,0.62,0.53,0.71,31,25,17,14,3,1,15,13,8,8,2,1,16,12,9,6,1,0,3,9,17,20,31,33,2,4,9,9,15,16,1,5,8,11,16,17,91,74,50,41,9,3,88,76,47,47,12,6,94,71,53,35,6,0,9,26,50,59,91,97,12,24,53,53,88,94,6,29,47,65,94,100,21,13,5,11,6,2,10,7,3,62,38,15,65,35,12,59,41,18,38,41,35,19,26,41,12,56,59,53,26,12,41,44,65,24,17,10,7,50,59,41,19,8,11,56,47,65,11,5,6,32,29,35,18,24,12,56,53,59,26,24,29,5.24,6.00,4.47,1.88,1.53,2.24,91,85,79,59,50,35,35,26,68,5,7,2,3,3,5,3,7,13,7,4,3,2,10,6,1,4,6
VfB Stuttgart 1893,Stuttgart,2019/2020,Germany,34,17,17,0,17,12,5,7,2,5,10,3,7,1.71,2.24,1.18,2,1,8,2,62,41,21,103,51,52,36,26,15,26,21,0,49,42,59,74,102,59,11,6,5,20,10,10,5,2,3,16,10,6,212,94,118,79,39,40,59,60,58,606,297,309,230,110,120,376,187,189,425,206,219,23,15,8,19,9,10,4,6,-2,9,6,3,16,7,9,9,4,5,1.26,1.47,1.06,3.03,3,3.06,1.82,2.12,1.53,1.21,0.88,1.53,1.24,1.41,1.06,0.68,0.88,0.47,0.56,0.53,0.59,32,28,21,11,6,3,16,15,12,5,2,1,16,13,9,6,4,2,2,6,13,23,28,31,1,2,5,12,15,16,1,4,8,11,13,15,94,82,62,32,18,9,94,88,71,29,12,6,94,76,53,35,24,12,6,18,38,68,82,91,6,12,29,71,88,94,6,24,47,65,76,88,22,13,5,12,8,3,10,5,2,65,38,15,71,47,18,59,29,12,50,71,29,22,32,35,29,59,59,59,15,12,18,47,59,35,20,10,10,59,59,59,19,8,11,56,47,65,7,4,3,21,24,18,26,35,18,47,41,53,26,24,29,6.24,5.53,6.94,2.32,2.29,2.35,91,79,59,35,32,32,26,15,65,2,6,4,7,7,12,3,6,15,6,6,2,4,3,5,1,9,5
Hannoverscher Sportverein 1896,Hannover 96,2019/2020,Germany,34,17,17,0,13,6,7,9,8,1,12,3,9,1.41,1.53,1.29,6,10,2,6,54,49,5,103,48,55,27,27,21,28,6,-1,57,57,57,63,73,55,8,4,4,20,11,9,7,3,4,17,10,7,170,92,78,81,40,41,52,54,51,514,286,228,180,84,96,334,202,132,447,219,228,23,13,10,20,9,11,3,4,-1,13,7,6,9,5,4,12,5,7,1.41,1.53,1.29,3.03,2.82,3.24,1.59,1.59,1.59,1.44,1.24,1.65,1.26,1.29,1.24,0.68,0.76,0.59,0.59,0.53,0.65,33,30,22,12,4,2,16,16,9,6,1,0,17,14,13,6,3,2,1,4,12,22,30,32,1,1,8,11,16,17,0,3,4,11,14,15,97,88,65,35,12,6,94,94,53,35,6,0,100,82,76,35,18,12,3,12,35,65,88,94,6,6,47,65,94,100,0,18,24,65,82,88,27,11,5,13,6,3,14,5,2,79,32,15,76,35,18,82,29,12,38,35,41,7,24,24,24,59,65,53,21,18,24,50,59,41,19,11,8,56,65,47,17,8,9,50,47,53,5,2,3,15,12,18,38,41,35,26,29,24,35,29,41,5.00,5.41,4.59,2.38,2.35,2.41,85,65,47,44,32,24,21,21,62,5,7,3,2,9,5,4,9,10,5,2,7,4,6,4,9,5,7
1. FC Nürnberg,Nürnberg,2019/2020,Germany,34,17,17,0,8,3,5,13,7,6,13,7,6,1.09,0.94,1.24,16,17,5,16,45,58,-13,103,46,57,15,30,31,27,-16,3,68,102,51,53,49,57,10,4,6,18,8,10,8,6,2,18,8,10,176,106,70,79,36,43,47,50,44,518,276,242,171,82,89,347,194,153,433,207,226,21,7,14,24,13,11,-3,-6,3,11,6,5,14,5,9,9,6,3,1.38,1.35,1.41,3.03,2.71,3.35,1.32,0.88,1.76,1.71,1.82,1.59,1.32,1.18,1.47,0.62,0.41,0.82,0.71,0.76,0.65,32,26,17,15,7,5,16,14,7,5,2,2,16,12,10,10,5,3,2,8,17,19,27,29,1,3,10,12,15,15,1,5,7,7,12,14,94,76,50,44,21,15,94,82,41,29,12,12,94,71,59,59,29,18,6,24,50,56,79,85,6,18,59,71,88,88,6,29,41,41,71,82,24,14,7,13,5,2,11,9,5,71,41,21,76,29,12,65,53,29,24,18,29,-20,29,24,35,53,47,59,24,35,12,53,47,59,20,10,10,59,59,59,18,10,8,53,59,47,6,1,5,18,6,29,32,35,29,41,29,53,26,35,18,5.18,6.24,4.12,2.32,2.12,2.53,94,71,68,59,41,35,24,12,71,6,2,4,4,6,8,7,3,5,4,7,6,3,6,7,4,7,14
SG Dynamo Dresden,Dynamo Dresden,2019/2020,Germany,34,17,17,0,8,5,3,8,4,4,18,8,10,0.94,1.12,0.76,18,16,16,18,32,58,-26,90,43,47,19,13,24,34,-5,-21,96,80,118,53,64,45,6,2,4,17,10,7,14,5,9,11,6,5,130,76,54,92,45,47,49,51,48,401,228,173,154,98,56,247,130,117,440,221,219,11,7,4,30,13,17,-19,-6,-13,3,3,0,17,8,9,14,6,8,0.76,1,0.53,2.65,2.53,2.76,0.94,1.12,0.76,1.71,1.41,2,1.21,1.18,1.24,0.32,0.41,0.24,0.88,0.76,1,31,25,18,9,5,2,17,12,8,3,2,1,14,13,10,6,3,1,3,9,16,25,29,32,0,5,9,14,15,16,3,4,7,11,14,16,91,74,53,26,15,6,100,71,47,18,12,6,82,76,59,35,18,6,9,26,47,74,85,94,0,29,53,82,88,94,18,24,41,65,82,94,21,11,5,11,5,2,10,6,3,62,32,15,65,29,12,59,35,18,24,29,18,19,18,12,24,50,59,41,41,29,53,32,35,29,16,9,7,47,53,41,24,10,14,71,59,82,7,4,3,21,24,18,9,18,0,50,47,53,41,35,47,3.82,4.47,3.18,2.71,2.65,2.76,82,71,47,38,28,24,12,3,71,3,1,1,2,6,7,4,2,6,6,7,7,4,6,4,7,8,9
VfL Bochum 1848,Bochum,2019/2020,Germany,34,17,17,0,11,6,5,13,8,5,10,3,7,1.35,1.53,1.18,8,9,10,8,53,51,2,104,67,37,37,16,30,21,7,-5,58,41,96,60,51,73,8,3,5,22,13,9,7,1,6,17,10,7,137,75,62,85,37,48,51,52,50,485,275,210,181,112,69,304,163,141,449,220,229,27,18,9,20,12,8,7,6,1,10,6,4,18,9,9,6,2,4,1.41,1.59,1.24,3.06,3.94,2.18,1.56,2.18,0.94,1.5,1.76,1.24,1.38,1.76,1,0.79,1.06,0.53,0.59,0.71,0.47,31,28,20,13,6,4,17,16,13,10,5,4,14,12,7,3,1,0,3,6,14,21,28,30,0,1,4,7,12,13,3,5,10,14,16,17,91,82,59,38,18,12,100,94,76,59,29,24,82,71,41,18,6,0,9,18,41,62,82,88,0,6,24,41,71,76,18,29,59,82,94,100,22,15,7,11,10,6,11,5,1,65,44,21,65,59,35,65,29,6,32,35,29,12,24,18,29,65,76,53,21,6,35,50,59,41,19,10,9,56,59,53,17,7,10,50,41,59,10,6,4,29,35,24,29,35,24,53,53,53,18,12,24,4.03,4.41,3.65,2.5,2.18,2.82,94,91,76,53,47,32,24,18,85,8,4,5,6,7,3,8,5,7,5,6,3,1,8,4,6,4,14
DSC Arminia Bielefeld,Arminia Bielefeld,2019/2020,Germany,34,17,17,0,18,9,9,14,7,7,2,1,1,2,2,2,1,4,1,1,65,30,35,95,44,51,32,33,12,18,20,15,47,48,46,102,127,85,14,7,7,18,9,9,6,1,5,22,12,10,194,108,86,53,28,25,55,56,54,495,265,230,191,98,93,304,167,137,348,173,175,26,12,14,11,7,4,15,5,10,14,7,7,15,6,9,5,4,1,1.68,1.59,1.76,2.79,2.59,3,1.91,1.88,1.94,0.88,0.71,1.06,1.09,1.12,1.06,0.76,0.71,0.82,0.32,0.41,0.24,30,24,16,12,6,6,17,13,7,5,1,1,13,11,9,7,5,5,4,10,18,22,28,28,0,4,10,12,16,16,4,6,8,10,12,12,88,71,47,35,18,18,100,76,41,29,6,6,76,65,53,41,29,29,12,29,53,65,82,82,0,24,59,71,94,94,24,35,47,59,71,71,21,10,4,13,5,1,8,5,3,62,29,12,76,29,6,47,29,18,53,53,53,9,41,41,41,53,53,53,18,6,29,65,71,59,25,11,14,74,65,82,17,7,10,50,41,59,5,3,2,15,18,12,41,41,41,44,35,53,15,24,6,5.71,6.35,5.06,1.56,1.65,1.47,91,88,74,53,32,26,21,12,82,4,11,4,5,5,7,9,6,14,3,1,4,2,2,5,2,5,6
SpVgg Greuther Fürth,Greuther Fürth,2019/2020,Germany,34,17,17,0,11,7,4,11,3,8,12,7,5,1.29,1.41,1.18,9,11,7,9,46,45,1,91,46,45,23,23,23,22,0,1,67,67,67,68,67,70,9,6,3,19,8,11,9,5,4,18,8,10,176,106,70,79,31,48,52,54,50,526,291,235,182,97,85,344,194,150,483,230,253,21,8,13,19,10,9,2,-2,4,10,4,6,15,7,8,9,6,3,1.32,1.12,1.53,2.68,2.71,2.65,1.35,1.35,1.35,1.32,1.35,1.29,1.18,1.06,1.29,0.62,0.47,0.76,0.56,0.59,0.53,31,28,16,11,3,2,15,14,10,5,1,1,16,14,6,6,2,1,3,6,18,23,31,32,2,3,7,12,16,16,1,3,11,11,15,16,91,82,47,32,9,6,88,82,59,29,6,6,94,82,35,35,12,6,9,18,53,68,91,94,12,18,41,71,94,94,6,18,65,65,88,94,24,13,3,12,6,0,12,7,3,71,38,9,71,35,0,71,41,18,32,41,24,-1,26,35,18,56,47,65,26,29,24,53,47,59,17,9,8,50,53,47,19,11,8,56,65,47,8,2,6,24,12,35,29,24,35,44,41,47,26,35,18,5.18,6.24,4.12,2.32,1.82,2.82,82,76,59,47,38,35,32,28,59,5,7,3,5,4,2,2,8,10,2,4,5,3,10,4,10,1,6
Karlsruher SC,Karlsruher SC,2019/2020,Germany,34,17,17,0,8,5,3,13,7,6,13,5,8,1.09,1.29,0.88,15,14,14,15,45,56,-11,101,53,48,26,19,27,29,-1,-10,68,59,80,55,57,53,4,3,1,22,11,11,9,4,5,11,6,5,188,107,81,77,42,35,47,48,45,494,284,210,170,97,73,324,187,137,436,219,217,19,9,10,28,14,14,-9,-5,-4,6,3,3,16,8,8,12,6,6,1,1,1,2.97,3.12,2.82,1.32,1.53,1.12,1.65,1.59,1.71,1.38,1.35,1.41,0.56,0.53,0.59,0.82,0.82,0.82,33,28,17,10,7,6,16,13,7,6,6,5,17,15,10,4,1,1,1,6,17,24,27,28,1,4,10,11,11,12,0,2,7,13,16,16,97,82,50,29,21,18,94,76,41,35,35,29,100,88,59,24,6,6,3,18,50,71,79,82,6,24,59,65,65,71,0,12,41,76,94,94,24,15,5,11,8,3,13,7,2,71,44,15,65,47,18,76,41,12,24,29,18,10,12,18,6,65,65,65,26,24,29,32,35,29,16,9,7,47,53,41,18,9,9,53,53,53,10,5,5,29,29,29,18,18,18,47,47,47,35,35,35,5.53,6.29,4.76,2.26,2.47,2.06,91,85,79,56,47,38,32,15,65,4,5,7,1,2,5,7,5,9,8,3,6,6,8,3,8,4,10
