team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Arsenal FC,Arsenal,2019/2020,England,38,19,19,0,14,10,4,14,6,8,10,3,7,1.47,1.89,1.05,8,7,10,8,56,48,8,104,60,44,36,20,24,24,12,-4,61,48,86,71,71,71,10,5,5,23,13,10,7,1,6,19,12,7,230,127,103,96,46,50,52,52,53,434,239,195,185,108,77,249,131,118,417,221,196,28,21,7,25,14,11,3,7,-4,14,10,4,11,5,6,13,4,9,1.39,1.84,0.95,2.74,3.16,2.32,1.47,1.89,1.05,1.26,1.26,1.26,1.39,1.84,0.95,0.74,1.11,0.37,0.66,0.74,0.58,36,31,21,13,3,0,19,17,13,8,3,0,17,14,8,5,0,0,2,7,17,25,35,38,0,2,6,11,16,19,2,5,11,14,19,19,95,82,55,34,8,0,100,89,68,42,16,0,89,74,42,26,0,0,5,18,45,66,92,100,0,11,32,58,84,100,11,26,58,74,100,100,31,13,7,17,10,6,14,3,1,82,34,18,89,53,32,74,16,5,37,53,21,0,26,26,26,61,68,53,18,5,32,50,63,37,18,9,9,47,47,47,18,5,13,47,26,68,9,7,2,24,37,11,37,53,21,29,26,32,34,21,47,6.05,6.68,5.42,2.53,2.42,2.63,89,84,74,63,57,47,42,34,63,5,6,6,6,7,7,7,2,10,4,4,4,6,8,6,2,5,9
Tottenham Hotspur FC,Tottenham Hotspur,2019/2020,England,38,19,19,0,16,12,4,11,3,8,11,4,7,1.55,2.05,1.05,6,3,11,6,61,47,14,108,53,55,36,25,17,30,19,-5,56,48,68,73,101,57,8,6,2,25,10,15,7,3,4,20,12,8,200,110,90,88,43,45,50,51,50,485,261,224,200,95,105,285,166,119,419,205,214,32,19,13,22,10,12,10,9,1,17,9,8,8,4,4,13,6,7,1.55,1.63,1.47,2.84,2.79,2.89,1.61,1.89,1.32,1.24,0.89,1.58,1.42,1.53,1.32,0.84,1,0.68,0.58,0.53,0.63,36,32,23,12,5,0,19,16,10,5,3,0,17,16,13,7,2,0,2,6,15,26,33,38,0,3,9,14,16,19,2,3,6,12,17,19,95,84,61,32,13,0,100,84,53,26,16,0,89,84,68,37,11,0,5,16,39,68,87,100,0,16,47,74,84,100,11,16,32,63,89,100,32,13,8,16,7,5,16,6,3,84,34,21,84,37,26,84,32,16,42,63,21,23,21,32,11,66,53,79,18,16,21,53,63,42,19,10,9,50,53,47,18,9,9,47,47,47,7,3,4,18,16,21,45,47,42,21,21,21,34,32,37,5.26,5.79,4.74,2.32,2.26,2.37,95,82,66,57,47,37,28,18,68,7,3,10,7,8,6,4,5,11,5,7,2,6,4,5,6,6,6
Manchester City FC,Manchester City,2019/2020,England,38,19,19,0,26,15,11,3,2,1,9,2,7,2.13,2.47,1.79,2,2,2,2,102,35,67,137,70,67,57,45,13,22,44,23,34,30,38,98,132,78,17,10,7,17,8,9,4,1,3,26,13,13,298,157,141,68,29,39,65,65,64,749,400,349,287,152,135,462,248,214,351,170,181,48,27,21,17,7,10,31,20,11,21,12,9,9,4,5,8,3,5,1.89,2.11,1.68,3.61,3.68,3.53,2.68,3,2.37,0.92,0.68,1.16,1.71,1.79,1.63,1.26,1.42,1.11,0.45,0.37,0.53,38,35,29,20,10,2,19,19,16,9,4,1,19,16,13,11,6,1,0,3,9,18,28,36,0,0,3,10,15,18,0,3,6,8,13,18,100,92,76,53,26,5,100,100,84,47,21,5,100,84,68,58,32,5,0,8,24,47,74,95,0,0,16,53,79,95,0,16,32,42,68,95,31,21,10,15,11,6,16,10,4,82,55,26,79,58,32,84,53,21,68,79,58,19,45,53,37,45,42,47,11,5,16,68,68,68,24,13,11,63,68,58,14,7,7,37,37,37,7,3,4,18,16,21,55,63,47,24,21,26,21,16,26,7.84,8.26,7.42,1.79,1.53,2.05,82,74,66,42,34,32,28,24,105,6,8,14,8,16,13,12,7,18,1,4,8,3,2,3,1,4,9
Leicester City FC,Leicester City,2019/2020,England,38,19,19,0,18,11,7,8,4,4,12,4,8,1.63,1.95,1.32,5,5,8,5,67,41,26,108,52,56,35,32,17,24,18,8,51,49,54,83,101,71,13,8,5,19,8,11,9,5,4,19,9,10,221,118,103,47,21,26,54,54,54,575,281,294,224,104,120,351,177,174,419,204,215,24,10,14,20,7,13,4,3,1,11,5,6,17,11,6,10,3,7,1.32,1.37,1.26,2.84,2.74,2.95,1.76,1.84,1.68,1.08,0.89,1.26,1.16,0.89,1.42,0.63,0.53,0.74,0.53,0.37,0.68,35,32,22,10,5,1,17,16,11,6,2,0,18,16,11,4,3,1,3,6,16,28,33,37,2,3,8,13,17,19,1,3,8,15,16,18,92,84,58,26,13,3,89,84,58,32,11,0,95,84,58,21,16,5,8,16,42,74,87,97,11,16,42,68,89,100,5,16,42,79,84,95,25,12,5,11,5,1,14,7,4,66,32,13,58,26,5,74,37,21,47,58,37,12,34,42,26,50,42,58,24,26,21,50,47,53,22,12,10,58,63,53,22,11,11,58,58,58,7,4,3,18,21,16,29,26,32,45,58,32,26,16,37,5.82,6.21,5.42,1.24,1.11,1.37,92,89,82,55,37,28,26,13,82,1,6,4,8,7,9,9,8,15,4,3,6,4,5,1,5,7,6
Crystal Palace FC,Crystal Palace,2019/2020,England,38,19,19,0,11,6,5,10,5,5,17,8,9,1.13,1.21,1.05,14,15,12,14,31,50,-19,81,35,46,15,16,20,30,-5,-14,110,114,107,68,86,57,10,6,4,14,7,7,16,7,9,12,6,6,177,111,66,66,36,30,46,47,45,415,249,166,154,85,69,261,164,97,409,200,209,10,4,6,20,8,12,-10,-4,-6,7,3,4,18,10,8,13,6,7,1.03,1,1.05,2.13,1.84,2.42,0.82,0.79,0.84,1.32,1.05,1.58,0.79,0.63,0.95,0.26,0.21,0.32,0.53,0.42,0.63,36,27,11,6,1,0,18,12,3,1,1,0,18,15,8,5,0,0,2,11,27,32,37,38,1,7,16,18,18,19,1,4,11,14,19,19,95,71,29,16,3,0,95,63,16,5,5,0,95,79,42,26,0,0,5,29,71,84,97,100,5,37,84,95,95,100,5,21,58,74,100,100,20,6,3,9,2,1,11,4,2,53,16,8,47,11,5,58,21,11,29,32,26,8,26,32,21,37,37,37,42,37,47,32,32,32,25,13,12,66,68,63,29,15,14,76,79,74,2,1,1,5,5,5,18,16,21,47,53,42,34,32,37,4.66,5.84,3.47,1.74,1.89,1.58,89,79,71,57,45,39,34,28,39,0,1,3,4,4,4,3,5,7,5,3,5,1,10,9,3,5,9
Everton FC,Everton,2019/2020,England,38,19,19,0,13,8,5,10,7,3,15,4,11,1.29,1.63,0.95,12,10,14,12,44,56,-12,100,45,55,24,20,21,35,3,-15,78,71,86,61,81,49,9,6,3,22,11,11,10,4,6,17,10,7,204,108,96,76,32,44,50,51,49,495,268,227,196,107,89,299,161,138,463,213,250,27,14,13,23,7,16,4,7,-3,12,8,4,19,9,10,7,2,5,1.45,1.74,1.16,2.63,2.37,2.89,1.16,1.26,1.05,1.47,1.11,1.84,1.32,1.11,1.53,0.71,0.74,0.68,0.61,0.37,0.84,35,28,18,12,5,1,17,14,7,6,1,0,18,14,11,6,4,1,3,10,20,26,33,37,2,5,12,13,18,19,1,5,8,13,15,18,92,74,47,32,13,3,89,74,37,32,5,0,95,74,58,32,21,5,8,26,53,68,87,97,11,26,63,68,95,100,5,26,42,68,79,95,27,13,5,13,6,2,14,7,3,71,34,13,68,32,11,74,37,16,34,42,26,17,24,32,16,58,58,58,26,21,32,45,53,37,22,13,9,58,68,47,16,7,9,42,37,47,11,5,6,29,26,32,32,42,21,50,47,53,18,11,26,5.37,5.68,5.05,2,1.68,2.32,92,74,57,50,42,28,26,18,61,7,6,3,3,10,3,1,5,6,3,4,6,6,7,9,3,10,8
Burnley FC,Burnley,2019/2020,England,38,19,19,0,15,8,7,9,4,5,14,7,7,1.42,1.47,1.37,10,11,7,10,43,50,-7,93,47,46,24,19,23,27,1,-8,80,71,90,68,74,63,15,8,7,15,8,7,10,4,6,18,9,9,167,94,73,67,30,37,43,45,42,407,228,179,155,88,67,252,140,112,401,206,195,14,7,7,27,11,16,-13,-4,-9,8,4,4,17,8,9,13,7,6,1.08,1.05,1.11,2.45,2.47,2.42,1.13,1.26,1,1.32,1.21,1.42,1.08,0.95,1.21,0.37,0.37,0.37,0.71,0.58,0.84,36,29,18,5,4,1,18,15,9,2,2,1,18,14,9,3,2,0,2,9,20,33,34,37,1,4,10,17,17,18,1,5,10,16,17,19,95,76,47,13,11,3,95,79,47,11,11,5,95,74,47,16,11,0,5,24,53,87,89,97,5,21,53,89,89,95,5,26,53,84,89,100,25,13,3,12,6,0,13,7,3,66,34,8,63,32,0,68,37,16,39,42,37,10,39,42,37,39,42,37,26,21,32,47,47,47,21,11,10,55,58,53,26,14,12,68,74,63,4,1,3,11,5,16,21,21,21,45,42,47,34,37,32,4.39,4.95,3.84,1.76,1.58,1.95,95,84,79,63,50,42,28,13,55,2,4,1,2,5,7,6,6,10,2,4,5,7,13,5,3,8,3
Southampton FC,Southampton,2019/2020,England,38,19,19,0,15,6,9,7,3,4,16,10,6,1.37,1.11,1.63,11,19,3,11,51,60,-9,111,56,55,21,30,35,25,-14,5,67,81,57,57,49,68,9,3,6,23,12,11,6,4,2,19,5,14,210,98,112,61,27,34,51,51,50,530,250,280,213,91,122,317,159,158,438,195,243,22,9,13,28,19,9,-6,-10,4,11,5,6,13,3,10,14,11,3,1.21,0.95,1.47,2.92,2.95,2.89,1.34,1.11,1.58,1.58,1.84,1.32,1.32,1.47,1.16,0.58,0.47,0.68,0.74,1,0.47,38,33,22,11,3,1,19,15,10,5,3,1,19,18,12,6,0,0,0,5,16,27,35,37,0,4,9,14,16,18,0,1,7,13,19,19,100,87,58,29,8,3,100,79,53,26,16,5,100,95,63,32,0,0,0,13,42,71,92,97,0,21,47,74,84,95,0,5,37,68,100,100,29,13,5,17,6,2,12,7,3,76,34,13,89,32,11,63,37,16,39,32,47,-17,24,16,32,61,63,58,16,21,11,50,26,74,20,7,13,53,37,68,19,12,7,50,63,37,8,2,6,21,11,32,29,26,32,34,16,53,37,58,16,5.53,5.16,5.89,1.61,1.42,1.79,89,82,74,63,53,53,47,34,84,2,8,4,6,6,7,3,6,9,5,9,5,5,6,6,7,8,9
AFC Bournemouth,AFC Bournemouth,2019/2020,England,38,19,19,0,9,5,4,7,6,1,22,8,14,0.89,1.11,0.68,18,18,17,18,40,65,-25,105,52,53,22,18,30,35,-8,-17,86,78,95,53,57,49,5,3,2,21,11,10,15,7,8,14,6,8,194,102,92,80,40,40,45,46,44,405,209,196,149,76,73,256,133,123,359,167,192,20,9,11,35,16,19,-15,-7,-8,7,4,3,13,6,7,18,9,9,0.89,0.95,0.84,2.76,2.74,2.79,1.05,1.16,0.95,1.71,1.58,1.84,1.45,1.32,1.58,0.53,0.47,0.58,0.92,0.84,1,35,28,23,13,4,1,17,15,11,7,2,0,18,13,12,6,2,1,3,10,15,25,34,37,2,4,8,12,17,19,1,6,7,13,17,18,92,74,61,34,11,3,89,79,58,37,11,0,95,68,63,32,11,5,8,26,39,66,89,97,11,21,42,63,89,100,5,32,37,68,89,95,29,19,6,15,9,1,14,10,5,76,50,16,79,47,5,74,53,26,24,26,21,9,13,16,11,55,58,53,39,37,42,37,32,42,15,8,7,39,42,37,23,12,11,61,63,58,9,3,6,24,16,32,18,21,16,34,32,37,47,47,47,5.11,5.37,4.84,2.11,2.11,2.11,97,92,87,66,57,47,39,28,87,3,7,1,4,7,3,4,4,7,5,4,8,8,11,8,7,6,8
Manchester United FC,Manchester United,2019/2020,England,38,19,19,0,18,10,8,12,7,5,8,2,6,1.74,1.95,1.53,3,4,5,3,66,36,30,102,57,45,40,26,17,19,23,7,52,43,66,95,101,90,13,7,6,18,11,7,8,2,6,20,10,10,204,96,108,73,29,44,55,55,54,549,296,253,236,125,111,313,171,142,412,207,205,35,21,14,17,9,8,18,12,6,21,12,9,7,3,4,10,4,6,1.84,2.05,1.63,2.68,3,2.37,1.74,2.11,1.37,0.95,0.89,1,1.37,1.58,1.16,0.92,1.11,0.74,0.45,0.47,0.42,37,34,16,9,3,2,18,17,11,7,2,1,19,17,5,2,1,1,1,4,22,29,35,36,1,2,8,12,17,18,0,2,14,17,18,18,97,89,42,24,8,5,95,89,58,37,11,5,100,89,26,11,5,5,3,11,58,76,92,95,5,11,42,63,89,95,0,11,74,89,95,95,34,13,3,18,7,3,16,6,0,89,34,8,95,37,16,84,32,0,47,53,42,14,34,37,32,47,58,37,21,11,32,53,53,53,22,10,12,58,53,63,14,5,9,37,26,47,6,5,1,16,26,5,55,63,47,18,16,21,26,21,32,5.37,5.05,5.68,1.92,1.53,2.32,82,74,63,50,37,28,26,21,74,4,5,12,4,12,8,5,10,6,2,6,1,4,6,6,2,1,8
