
team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Arsenal FC,Arsenal,2020/2021,England,4,2,2,0,3,2,1,0,0,0,1,0,1,2.25,3,1.5,4,4,10,4,8,5,3,13,6,7,4,4,2,3,2,1,45,45,45,72,90,60,1,0,1,3,2,1,0,0,0,4,2,2,13,7,6,4,0,4,50,47,52,29,8,21,16,4,12,13,4,9,29,11,18,3,1,2,3,1,2,0,0,0,1,0,1,2,2,0,1,0,1,1.25,1,1.5,3.25,3,3.5,2,2,2,1.25,1,1.5,1.5,1,2,0.75,0.5,1,0.75,0.5,1,4,4,4,1,0,0,2,2,2,0,0,0,2,2,2,1,0,0,0,0,0,3,4,4,0,0,0,2,2,2,0,0,0,1,2,2,100,100,100,25,0,0,100,100,100,0,0,0,100,100,100,50,0,0,0,0,0,75,100,100,0,0,0,100,100,100,0,0,0,50,100,100,3,2,1,1,1,0,2,1,1,75,50,25,50,50,0,100,50,50,75,100,50,10,25,0,50,75,100,50,0,0,0,100,100,100,2,1,1,50,50,50,1,1,0,25,50,0,2,1,1,50,50,50,25,0,50,50,100,0,25,0,50,4.33,7.00,3.00,1,0,2.00,67,67,67,67,33,33,0,0,125,1,0,2,0,1,1,2,0,1,0,0,1,1,1,0,0,0,2
Tottenham Hotspur FC,Tottenham Hotspur,2020/2021,England,4,2,2,0,2,0,2,1,1,0,1,1,0,1.75,0.5,3,6,13,1,6,12,5,7,17,3,14,1,11,2,3,-1,8,30,180,16,72,90,60,0,0,0,3,1,2,1,1,0,1,1,0,17,15,2,6,2,4,49,49,49,44,34,10,26,19,7,18,15,3,48,30,18,6,1,5,2,0,2,4,1,3,2,1,1,2,1,1,0,0,0,2,2,2,4.25,1.5,7,3,0.5,5.5,1.25,1,1.5,2,0.5,3.5,1.5,0.5,2.5,0.5,0,1,4,3,2,2,2,2,2,1,0,0,0,0,2,2,2,2,2,2,0,1,2,2,2,2,0,1,2,2,2,2,0,0,0,0,0,0,100,75,50,50,50,50,100,50,0,0,0,0,100,100,100,100,100,100,0,25,50,50,50,50,0,50,100,100,100,100,0,0,0,0,0,0,3,2,1,1,0,0,2,2,1,75,50,25,50,0,0,100,100,50,50,0,100,-32,0,0,0,75,50,100,25,50,0,25,50,0,2,2,0,50,100,0,1,1,0,25,50,0,2,0,2,50,0,100,50,50,50,50,50,50,0,0,0,5.67,7.50,2.00,1.5,1,2.00,67,67,33,33,33,33,33,33,150,2,0,2,1,2,1,1,2,1,1,0,0,1,0,1,0,0,2
Manchester City FC,Manchester City,2020/2021,England,3,1,2,1,1,0,1,1,0,1,1,1,0,1.33,0,2,14,17,5,14,6,7,-1,13,7,6,2,4,5,2,-3,2,45,45,45,39,18,90,0,0,0,3,1,2,0,0,0,3,1,2,19,3,16,5,1,4,50,50,50,56,17,39,19,6,13,37,11,26,32,13,19,4,1,3,1,1,0,3,0,3,2,0,2,1,1,0,0,0,0,2.33,1,3,4.33,7,3,2,2,2,2.33,5,1,1.67,2,1.5,1.33,1,1.5,0.33,1,0,3,3,2,2,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,1,2,2,100,100,67,67,33,33,100,100,100,100,100,100,100,100,50,50,0,0,0,0,33,33,67,67,0,0,0,0,0,0,0,0,50,50,100,100,3,2,0,1,1,0,2,1,0,100,67,0,100,100,0,100,50,0,33,0,50,-58,0,0,0,100,100,100,0,0,0,100,100,100,2,0,2,67,0,100,0,0,0,0,0,0,1,1,0,33,100,0,67,0,100,33,100,0,0,0,0,6.33,3.00,8.00,1.67,1,2.00,67,67,67,67,33,33,33,33,133,1,2,0,1,0,0,0,0,2,0,0,0,1,0,3,0,2,1
Leicester City FC,Leicester City,2020/2021,England,4,2,2,0,3,1,2,0,0,0,1,1,0,2.25,1.5,3,3,9,2,3,12,7,5,19,9,10,4,8,5,2,-1,6,30,45,23,51,36,90,1,0,1,2,1,1,1,1,0,1,0,1,23,15,8,7,3,4,50,49,51,36,14,22,22,6,16,14,8,6,29,11,18,2,1,1,4,3,1,-2,-2,0,0,0,0,3,1,2,1,1,0,0.75,0.5,1,4.75,4.5,5,3,2,4,1.75,2.5,1,1.5,2,1,0.5,0.5,0.5,1,1.5,0.5,4,4,4,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,0,0,0,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,100,100,100,50,50,50,100,100,100,50,50,50,100,100,100,50,50,50,0,0,0,50,50,50,0,0,0,50,50,50,0,0,0,50,50,50,3,3,0,2,2,0,1,1,0,75,75,0,100,100,0,50,50,0,75,50,100,-38,25,0,50,50,50,50,25,50,0,25,0,50,1,0,1,25,0,50,2,1,1,50,50,50,2,1,1,50,50,50,0,0,0,75,50,100,25,50,0,7.67,15.00,4.00,1.75,1.5,2.00,67,33,33,33,33,33,33,33,100,0,1,0,1,1,3,1,3,2,2,1,0,1,0,0,0,1,2
West Bromwich Albion FC,West Bromwich Albion,2020/2021,England,4,2,2,0,0,0,0,1,1,0,3,1,2,0.25,0.5,0,17,14,20,17,5,13,-8,18,9,9,3,2,6,7,-3,-5,72,60,90,28,30,26,0,0,0,2,1,1,2,1,1,2,1,1,6,5,1,5,2,3,49,49,50,23,17,6,11,6,5,12,11,1,29,18,11,4,3,1,3,0,3,1,3,-2,1,1,0,1,1,0,2,0,2,1,2,0,4.5,4.5,4.5,1.25,1.5,1,3.25,3,3.5,1.75,1.5,2,1,1.5,0.5,0.75,0,1.5,4,4,3,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,0,0,1,2,2,2,0,0,0,1,1,1,0,0,1,1,1,1,100,100,75,50,50,50,100,100,100,50,50,50,100,100,50,50,50,50,0,0,25,50,50,50,0,0,0,50,50,50,0,0,50,50,50,50,3,2,2,1,1,1,2,1,1,75,50,50,50,50,50,100,50,50,0,0,0,14,0,0,0,50,50,50,50,50,50,50,50,50,2,2,0,50,100,0,2,1,1,50,50,50,1,0,1,25,0,50,25,50,0,25,50,0,50,0,100,2.00,2.50,1.00,1.25,1,1.50,100,67,67,67,67,67,0,0,150,2,0,2,0,1,0,0,0,0,0,0,0,1,2,3,4,1,2
Crystal Palace FC,Crystal Palace,2020/2021,England,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,12,8,14,12,5,7,-2,12,4,8,2,3,2,5,0,-2,72,90,60,51,90,36,1,1,0,2,1,1,1,0,1,2,1,1,22,14,8,6,5,1,45,51,40,36,16,20,12,6,6,24,10,14,41,26,15,3,2,1,2,2,0,1,0,1,2,1,1,1,0,1,1,1,0,1.75,1.5,2,3,2,4,1.25,1,1.5,1.75,1,2.5,1.25,2,0.5,0.75,1,0.5,0.5,1,0,4,3,3,2,0,0,2,1,1,0,0,0,2,2,2,2,0,0,0,1,1,2,4,4,0,1,1,2,2,2,0,0,0,0,2,2,100,75,75,50,0,0,100,50,50,0,0,0,100,100,100,100,0,0,0,25,25,50,100,100,0,50,50,100,100,100,0,0,0,0,100,100,3,1,1,2,1,1,1,0,0,75,25,25,100,50,50,50,0,0,50,50,50,12,25,50,0,50,50,50,25,0,50,50,50,50,3,1,2,75,50,100,1,0,1,25,0,50,1,1,0,25,50,0,50,50,50,25,0,50,25,50,0,5.50,7.00,4.00,1.5,2.5,0.50,100,100,100,100,75,75,50,0,75,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,2,1
Everton FC,Everton,2020/2021,England,4,2,2,0,4,2,2,0,0,0,0,0,0,3,3,3,1,2,3,1,12,5,7,17,13,4,9,3,4,1,5,2,30,20,60,72,45,180,1,0,1,3,2,1,0,0,0,3,1,2,23,14,9,2,1,1,48,47,49,52,25,27,25,15,10,27,10,17,43,21,22,6,4,2,3,2,1,3,2,1,3,2,1,1,0,1,0,0,0,2.5,3,2,4.25,6.5,2,3,4.5,1.5,1.25,2,0.5,2.25,3,1.5,1.5,2,1,0.75,1,0.5,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,1,1,2,2,2,100,75,75,50,50,50,100,100,100,100,100,100,100,50,50,0,0,0,0,25,25,50,50,50,0,0,0,0,0,0,0,50,50,100,100,100,3,3,3,2,2,2,1,1,1,75,75,75,100,100,100,50,50,50,100,100,100,-5,25,0,50,75,100,50,0,0,0,75,50,100,1,0,1,25,0,50,1,0,1,25,0,50,3,2,1,75,100,50,75,100,50,25,0,50,0,0,0,5.75,7.00,4.50,0.5,0.5,0.50,100,100,75,75,75,75,50,0,150,1,1,0,2,2,3,3,0,0,1,0,1,0,2,0,0,0,1
Burnley FC,Burnley,2020/2021,England,3,1,2,1,0,0,0,0,0,0,3,1,2,0,0,0,18,15,19,18,3,8,-5,11,1,10,0,3,1,7,-1,-4,90,0,60,34,90,26,0,0,0,2,0,2,1,1,0,1,0,1,16,8,8,6,1,5,52,52,52,35,9,26,14,3,11,21,6,15,22,8,14,1,0,1,3,1,2,-2,-1,-1,0,0,0,1,0,1,2,1,1,0.33,0,0.5,3.67,1,5,1,0,1.5,2.67,1,3.5,1.33,1,1.5,0.33,0,0.5,1,1,1,3,2,2,2,1,1,1,0,0,0,0,0,2,2,2,2,1,1,0,1,1,1,2,2,0,1,1,1,1,1,0,0,0,0,1,1,100,67,67,67,33,33,100,0,0,0,0,0,100,100,100,100,50,50,0,33,33,33,67,67,0,100,100,100,100,100,0,0,0,0,50,50,3,1,0,1,0,0,2,1,0,100,33,0,100,0,0,100,50,0,0,0,0,-19,0,0,0,67,0,100,33,100,0,33,0,50,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,5.33,8.00,4.00,2,1,2.50,100,67,67,67,33,33,33,33,67,1,0,0,0,0,0,1,1,0,1,2,0,0,1,0,2,2,0
Southampton FC,Southampton,2020/2021,England,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,11,10,13,11,5,6,-1,11,9,2,4,1,5,1,-1,0,72,45,180,60,36,180,2,1,1,1,1,0,1,0,1,3,2,1,8,3,5,7,6,1,50,51,49,29,14,15,15,7,8,14,7,7,33,16,17,3,2,1,2,1,1,1,1,0,2,1,1,1,1,0,1,0,1,1.75,2,1.5,2.75,4.5,1,1.25,2,0.5,1.5,2.5,0.5,1.25,1.5,1,0.75,1,0.5,0.5,0.5,0.5,4,2,1,1,1,1,2,2,1,1,1,1,2,0,0,0,0,0,0,2,3,3,3,3,0,0,1,1,1,1,0,2,2,2,2,2,100,50,25,25,25,25,100,100,50,50,50,50,100,0,0,0,0,0,0,50,75,75,75,75,0,0,50,50,50,50,0,100,100,100,100,100,4,1,0,2,1,0,2,0,0,100,25,0,100,50,0,100,0,0,50,50,50,-4,50,50,50,25,50,0,25,0,50,75,100,50,2,1,1,50,50,50,1,0,1,25,0,50,1,1,0,25,50,0,50,50,50,25,50,0,25,0,50,2.67,3.00,2.50,1.75,3,0.50,67,67,67,67,0,0,0,0,75,1,0,0,1,1,0,1,0,1,0,1,0,0,2,0,1,1,1
Manchester United FC,Manchester United,2020/2021,England,3,2,1,1,1,0,1,0,0,0,2,2,0,1,0,3,16,20,11,16,5,11,-6,16,11,5,2,3,9,2,-7,1,54,90,30,25,20,45,0,0,0,3,2,1,0,0,0,1,1,0,10,9,1,8,6,2,52,51,52,26,18,8,9,5,4,17,13,4,27,13,14,2,1,1,6,5,1,-4,-4,0,0,0,0,1,0,1,2,2,0,0.33,0,1,5.33,5.5,5,1.67,1,3,3.67,4.5,2,2.67,3,2,0.67,0.5,1,2,2.5,1,3,3,3,3,2,1,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,100,100,100,100,67,33,100,100,100,100,50,50,100,100,100,100,100,0,0,0,0,0,33,67,0,0,0,0,50,50,0,0,0,0,0,100,3,2,1,2,1,1,1,1,0,100,67,33,100,50,50,100,100,0,33,0,100,-32,0,0,0,100,100,100,0,0,0,33,50,0,0,0,0,0,0,0,1,1,0,33,50,0,2,1,1,67,50,100,0,0,0,33,0,100,67,100,0,5.00,9.00,1.00,2.67,3,2.00,100,100,50,50,50,50,0,0,133,1,0,0,0,1,1,0,1,1,3,0,1,2,0,1,0,2,2
