
team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
AS Monaco FC,Monaco,2020/2021,Monaco,6,3,3,0,3,2,1,1,1,0,2,0,2,1.67,2.33,1,6,4,10,6,9,8,1,17,12,5,7,2,5,3,2,-1,60,39,134,68,54,90,1,0,1,4,3,1,1,0,1,4,2,2,42,23,19,20,9,11,55,60,49,68,43,25,23,14,9,45,29,16,75,30,45,6,4,2,3,2,1,3,2,1,4,2,2,0,0,0,2,1,1,2,2,2,2.83,4,1.67,1.5,2.33,0.67,1.33,1.67,1,1.5,2,1,1,1.33,0.67,0.5,0.67,0.33,6,4,4,2,1,0,3,3,3,2,1,0,3,1,1,0,0,0,0,2,2,4,5,6,0,0,0,1,2,3,0,2,2,3,3,3,100,67,67,33,17,0,100,100,100,67,33,0,100,33,33,0,0,0,0,33,33,67,83,100,0,0,0,33,67,100,0,67,67,100,100,100,6,2,1,3,2,1,3,0,0,100,33,17,100,67,33,100,0,0,50,67,33,15,17,0,33,67,100,33,17,0,33,67,67,67,4,2,2,67,67,67,1,0,1,17,0,33,1,1,0,17,33,0,67,67,67,0,0,0,33,33,33,7.00,7.67,6.33,3.33,3,3.67,100,100,83,50,50,33,33,17,67,2,0,2,0,2,2,1,0,0,2,0,1,0,1,0,2,0,2
Olympique Lyonnais,Olympique Lyonnais,2020/2021,France,6,3,3,0,1,1,0,4,2,2,1,0,1,1.17,1.67,0.67,14,13,13,14,7,5,2,12,7,5,5,2,2,3,3,-1,77,54,134,108,134,90,2,1,1,4,2,2,2,1,1,0,0,0,62,41,21,14,7,7,64,67,61,93,54,39,36,18,18,57,36,21,81,43,38,4,4,0,3,2,1,1,2,-1,1,1,0,4,2,2,1,0,1,1.17,1.67,0.67,2,2.33,1.67,1.17,1.67,0.67,0.83,0.67,1,1.17,2,0.33,0.67,1.33,0,0.5,0.67,0.33,4,4,2,1,1,0,2,2,1,1,1,0,2,2,1,0,0,0,2,2,4,5,5,6,1,1,2,2,2,3,1,1,2,3,3,3,67,67,33,17,17,0,67,67,33,33,33,0,67,67,33,0,0,0,33,33,67,83,83,100,33,33,67,67,67,100,33,33,67,100,100,100,3,2,1,2,2,1,1,0,0,50,33,17,67,67,33,33,0,0,17,33,0,31,33,33,33,67,67,67,33,33,33,0,0,0,3,1,2,50,33,67,4,1,3,67,33,100,2,2,0,33,67,0,17,33,0,67,67,67,17,0,33,10.33,13.67,7.00,2.33,2.33,2.33,83,83,83,67,67,50,50,50,67,0,0,1,1,2,0,1,1,1,0,2,0,1,0,1,1,0,0
Paris Saint-Germain FC,PSG,2020/2021,France,6,3,3,0,4,2,2,0,0,0,2,1,1,2,2,2,4,6,4,4,12,3,9,15,9,6,7,5,2,1,5,4,45,39,54,180,134,273,3,1,2,1,1,0,2,1,1,4,2,2,34,18,16,20,14,6,61,61,62,79,47,32,32,23,9,47,24,23,64,35,29,5,2,3,1,1,0,4,1,3,3,1,2,2,1,1,1,1,0,1.83,1.33,2.33,2.5,3,2,2,2.33,1.67,0.5,0.67,0.33,1,1,1,0.83,0.67,1,0.17,0.33,0,6,3,2,1,1,1,3,1,1,1,1,1,3,2,1,0,0,0,0,3,4,5,5,5,0,2,2,2,2,2,0,1,2,3,3,3,100,50,33,17,17,17,100,33,33,33,33,33,100,67,33,0,0,0,0,50,67,83,83,83,0,67,67,67,67,67,0,33,67,100,100,100,4,2,0,2,1,0,2,1,0,67,33,0,67,33,0,67,33,0,67,67,67,-9,50,33,67,17,33,0,33,33,33,67,67,67,5,2,3,83,67,100,3,2,1,50,67,33,0,0,0,0,0,0,50,33,67,33,33,33,17,33,0,5.67,6.00,5.33,3.33,4.67,2.00,67,67,50,50,17,0,0,0,50,2,0,0,2,2,1,2,1,2,0,0,0,1,0,2,0,0,0
FC Girondins de Bordeaux,Bordeaux,2020/2021,France,6,4,2,0,2,1,1,3,3,0,1,0,1,1.5,1.5,1.5,9,7,9,9,6,2,4,8,3,5,3,3,0,2,3,1,90,120,60,273,0,90,5,4,1,1,0,1,3,3,0,2,1,1,25,18,7,17,9,8,44,46,41,45,30,15,22,12,10,23,18,5,79,46,33,4,2,2,0,0,0,4,2,2,2,1,1,4,3,1,0,0,0,1.67,1.5,2,1.33,0.75,2.5,1,0.75,1.5,0.33,0,1,0.67,0.5,1,0.67,0.5,1,0,0,0,3,3,2,0,0,0,1,1,1,0,0,0,2,2,1,0,0,0,3,3,4,6,6,6,3,3,3,4,4,4,0,0,1,2,2,2,50,50,33,0,0,0,25,25,25,0,0,0,100,100,50,0,0,0,50,50,67,100,100,100,75,75,75,100,100,100,0,0,50,100,100,100,2,2,0,1,1,0,1,1,0,33,33,0,25,25,0,50,50,0,33,25,50,38,83,100,50,17,0,50,50,75,0,33,25,50,6,4,2,100,100,100,4,3,1,67,75,50,0,0,0,0,0,0,33,25,50,67,75,50,0,0,0,4.17,4.50,3.50,2.83,2.25,4.00,83,67,67,33,33,33,17,17,17,0,1,3,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0
AS Saint-Étienne,Saint-Étienne,2020/2021,France,6,3,3,0,3,2,1,1,0,1,2,1,1,1.67,2,1.33,7,10,6,7,8,7,1,15,7,8,4,4,3,4,1,0,68,68,68,77,90,68,3,2,1,1,0,1,2,1,1,4,2,2,22,14,8,13,4,9,45,51,39,41,30,11,18,13,5,23,17,6,81,37,44,3,1,2,2,1,1,1,0,1,3,1,2,1,1,0,2,1,1,1.67,1.33,2,2.5,2.33,2.67,1.33,1.33,1.33,1.17,1,1.33,0.83,0.67,1,0.5,0.33,0.67,0.33,0.33,0.33,6,6,2,1,0,0,3,3,1,0,0,0,3,3,1,1,0,0,0,0,4,5,6,6,0,0,2,3,3,3,0,0,2,2,3,3,100,100,33,17,0,0,100,100,33,0,0,0,100,100,33,33,0,0,0,0,67,83,100,100,0,0,67,100,100,100,0,0,67,67,100,100,5,0,0,2,0,0,3,0,0,83,0,0,67,0,0,100,0,0,50,67,33,8,50,67,33,17,0,33,33,33,33,67,67,67,4,2,2,67,67,67,3,2,1,50,67,33,0,0,0,0,0,0,50,33,67,17,33,0,33,33,33,3.67,4.67,2.67,2.17,1.33,3.00,83,67,67,50,33,33,17,0,17,2,1,0,0,0,2,1,1,1,0,1,0,1,0,1,0,1,3
Montpellier HSC,Montpellier,2020/2021,France,6,4,2,0,3,3,0,1,0,1,2,1,1,1.67,2.25,0.5,5,1,15,5,12,8,4,20,13,7,9,3,4,4,5,-1,45,40,60,68,90,45,0,0,0,5,3,2,1,1,0,3,3,0,36,22,14,16,11,5,50,50,49,65,39,26,33,23,10,32,16,16,80,55,25,4,4,0,3,1,2,1,3,-2,3,3,0,1,1,0,2,0,2,1.67,2.5,0,3.33,3.25,3.5,2,2.25,1.5,1.33,1,2,1.17,1.25,1,0.67,1,0,0.5,0.25,1,6,5,5,3,1,0,4,3,3,2,1,0,2,2,2,1,0,0,0,1,1,3,5,6,0,1,1,2,3,4,0,0,0,1,2,2,100,83,83,50,17,0,100,75,75,50,25,0,100,100,100,50,0,0,0,17,17,50,83,100,0,25,25,50,75,100,0,0,0,50,100,100,5,1,1,3,1,1,2,0,0,83,17,17,75,25,25,100,0,0,50,75,0,19,0,0,0,83,75,100,17,25,0,50,75,0,3,3,0,50,75,0,3,1,2,50,25,100,1,1,0,17,25,0,50,75,0,17,25,0,33,0,100,6.00,5.50,7.00,2.67,2.75,2.50,67,67,67,50,50,50,50,50,50,0,2,0,1,3,2,1,0,3,1,0,2,0,0,1,1,1,2
FC Metz,Metz,2020/2021,France,6,3,3,0,2,2,0,1,0,1,3,1,2,1.17,2,0.33,15,8,16,15,6,6,0,12,8,4,5,1,3,3,2,-2,90,54,273,90,90,90,0,0,0,3,2,1,3,1,2,2,1,1,32,22,10,10,2,8,50,61,40,57,37,20,23,15,8,34,22,12,66,36,30,2,2,0,3,3,0,-1,-1,0,0,0,0,5,2,3,1,1,0,0.83,0.67,1,2,2.67,1.33,1,1.67,0.33,1,1,1,0.83,1.67,0,0.33,0.67,0,0.5,1,0,6,3,2,1,0,0,3,2,2,1,0,0,3,1,0,0,0,0,0,3,4,5,6,6,0,1,1,2,3,3,0,2,3,3,3,3,100,50,33,17,0,0,100,67,67,33,0,0,100,33,0,0,0,0,0,50,67,83,100,100,0,33,33,67,100,100,0,67,100,100,100,100,3,2,0,3,2,0,0,0,0,50,33,0,100,67,0,0,0,0,33,67,0,0,0,0,0,50,67,33,50,33,67,33,33,33,3,0,3,50,0,100,4,1,3,67,33,100,2,2,0,33,67,0,0,0,0,83,67,100,17,33,0,5.33,7.33,3.33,1.67,0.67,2.67,100,83,83,83,50,17,17,0,50,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,3
FC Nantes,Nantes,2020/2021,France,6,2,4,0,1,1,0,2,1,1,3,0,3,0.83,2,0.25,16,16,17,16,6,9,-3,15,7,8,4,2,3,6,1,-4,90,45,180,60,60,60,1,0,1,4,2,2,2,0,2,1,1,0,24,8,16,16,7,9,45,49,42,52,19,33,22,8,14,30,11,19,70,27,43,3,2,1,4,1,3,-1,1,-2,1,1,0,2,0,2,3,1,2,0.83,1.5,0.5,2.5,3.5,2,1,2,0.5,1.5,1.5,1.5,1.17,1.5,1,0.5,1,0.25,0.67,0.5,0.75,5,5,4,1,0,0,2,2,2,1,0,0,3,3,2,0,0,0,1,1,2,5,6,6,0,0,0,1,2,2,1,1,2,4,4,4,83,83,67,17,0,0,100,100,100,50,0,0,75,75,50,0,0,0,17,17,33,83,100,100,0,0,0,50,100,100,25,25,50,100,100,100,5,2,0,2,1,0,3,1,0,83,33,0,100,50,0,75,25,0,17,50,0,0,17,0,25,67,100,50,33,0,50,17,50,0,2,1,1,33,50,25,4,1,3,67,50,75,1,0,1,17,0,25,17,50,0,33,0,50,50,50,50,4.00,4.00,4.00,2.67,3.5,2.25,67,67,67,67,67,33,17,0,50,0,1,1,0,1,0,1,1,1,2,0,1,0,1,1,3,0,1
Lille OSC Métropole,Lille,2020/2021,France,6,3,3,0,4,2,2,2,1,1,0,0,0,2.33,2.33,2.33,2,3,2,2,9,2,7,11,5,6,4,5,1,1,3,4,60,68,54,273,273,273,4,2,2,2,1,1,0,0,0,6,3,3,23,16,7,11,6,5,53,56,49,52,24,28,27,12,15,25,12,13,79,39,40,4,2,2,0,0,0,4,2,2,4,2,2,2,1,1,0,0,0,2.33,2.33,2.33,1.83,1.67,2,1.5,1.33,1.67,0.33,0.33,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0,0,0,6,4,1,0,0,0,3,2,0,0,0,0,3,2,1,0,0,0,0,2,5,6,6,6,0,1,3,3,3,3,0,1,2,3,3,3,100,67,17,0,0,0,100,67,0,0,0,0,100,67,33,0,0,0,0,33,83,100,100,100,0,33,100,100,100,100,0,33,67,100,100,100,4,0,0,2,0,0,2,0,0,67,0,0,67,0,0,67,0,0,67,67,67,0,67,67,67,33,33,33,0,0,0,100,100,100,6,3,3,100,100,100,2,1,1,33,33,33,0,0,0,0,0,0,67,67,67,33,33,33,0,0,0,3.83,5.33,2.33,1.83,2,1.67,67,67,67,50,50,17,0,0,17,0,0,1,2,2,1,1,0,2,0,0,0,0,0,0,0,1,1
Stade Rennais FC,Rennes,2020/2021,France,6,3,3,0,4,2,2,2,1,1,0,0,0,2.33,2.33,2.33,1,5,1,1,14,7,7,21,10,11,6,8,4,3,2,5,39,45,34,77,68,90,1,0,1,5,3,2,0,0,0,3,1,2,31,21,10,20,10,10,56,63,49,66,37,29,23,11,12,43,26,17,82,39,43,6,3,3,4,2,2,2,1,1,4,2,2,0,0,0,2,1,1,2,2,2,3.5,3.33,3.67,2.33,2,2.67,1.17,1.33,1,1.67,1.67,1.67,1,1,1,0.67,0.67,0.67,6,6,5,2,1,1,3,3,3,1,0,0,3,3,2,1,1,1,0,0,1,4,5,5,0,0,0,2,3,3,0,0,1,2,2,2,100,100,83,33,17,17,100,100,100,33,0,0,100,100,67,33,33,33,0,0,17,67,83,83,0,0,0,67,100,100,0,0,33,67,67,67,6,2,2,3,1,1,3,1,1,100,33,33,100,33,33,100,33,33,67,67,67,-14,17,0,33,83,100,67,0,0,0,50,33,67,2,1,1,33,33,33,2,1,1,33,33,33,2,1,1,33,33,33,67,67,67,0,0,0,33,33,33,5.17,7.00,3.33,3.33,3.33,3.33,67,67,67,67,50,50,17,17,50,0,1,2,3,0,1,0,3,4,0,1,1,2,0,1,1,0,1
