team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
BVB 09 Borussia Dortmund,Borussia Dortmund,2019/2020,Germany,34,17,17,0,21,11,10,6,3,3,7,3,4,2.03,2.12,1.94,2,3,3,2,84,41,43,125,63,62,46,38,17,24,29,14,36,33,40,74,90,64,15,9,6,15,5,10,5,3,2,22,11,11,190,107,83,49,19,30,58,60,56,494,280,214,227,124,103,267,156,111,311,146,165,27,15,12,17,9,8,10,6,4,16,9,7,11,4,7,7,4,3,1.74,1.82,1.65,3.68,3.71,3.65,2.47,2.71,2.24,1.21,1,1.41,1.29,1.41,1.18,0.79,0.88,0.71,0.5,0.53,0.47,33,28,24,20,9,7,17,13,12,11,6,4,16,15,12,9,3,3,1,6,10,14,25,27,0,4,5,6,11,13,1,2,5,8,14,14,97,82,71,59,26,21,100,76,71,65,35,24,94,88,71,53,18,18,3,18,29,41,74,79,0,24,29,35,65,76,6,12,29,47,82,82,27,12,4,14,8,2,13,4,2,79,35,12,82,47,12,76,24,12,62,65,59,14,44,53,35,44,29,59,15,18,12,65,65,65,21,11,10,62,65,59,14,7,7,41,41,41,6,2,4,18,12,24,47,53,41,32,24,41,21,24,18,5.59,6.29,4.88,1.44,1.12,1.76,68,59,41,38,24,18,15,12,129,4,8,7,5,9,14,14,8,15,4,2,3,4,12,4,1,6,5
1. FSV Mainz 05,Mainz 05,2019/2020,Germany,34,17,17,0,11,5,6,4,2,2,19,10,9,1.09,1,1.18,13,16,10,13,44,65,-21,109,47,62,18,26,29,36,-11,-10,70,85,59,47,53,42,5,2,3,18,9,9,12,7,5,15,5,10,174,97,77,77,35,42,46,49,43,500,274,226,187,98,89,313,176,137,455,217,238,22,8,14,33,17,16,-11,-9,-2,9,3,6,10,5,5,15,9,6,1.09,0.82,1.35,3.21,2.76,3.65,1.29,1.06,1.53,1.91,1.71,2.12,1.62,1.47,1.76,0.65,0.47,0.82,0.97,1,0.94,33,27,22,15,6,3,16,12,10,7,2,0,17,15,12,8,4,3,1,7,12,19,28,31,1,5,7,10,15,17,0,2,5,9,13,14,97,79,65,44,18,9,94,71,59,41,12,0,100,88,71,47,24,18,3,21,35,56,82,91,6,29,41,59,88,100,0,12,29,53,76,82,29,16,6,14,8,2,15,8,4,85,47,18,82,47,12,88,47,24,32,29,35,-4,15,12,18,53,53,53,35,41,29,44,29,59,13,6,7,38,35,41,18,11,7,53,65,41,8,3,5,24,18,29,26,18,35,29,29,29,44,53,35,5.12,5.71,4.53,2.26,2.06,2.47,97,94,85,68,56,47,32,26,112,3,7,4,6,4,2,4,3,11,6,4,7,9,11,4,5,6,13
FC Schalke 04,Schalke 04,2019/2020,Germany,34,17,17,0,9,5,4,12,7,5,13,5,8,1.15,1.29,1,12,10,13,12,38,58,-20,96,47,49,20,18,27,31,-7,-13,80,76,85,53,57,49,7,4,3,18,9,9,13,5,8,15,11,4,152,85,67,67,36,31,50,52,49,419,226,193,162,86,76,257,140,117,393,200,193,12,6,6,19,6,13,-7,0,-7,7,5,2,16,7,9,11,5,6,1.09,1.29,0.88,2.82,2.76,2.88,1.12,1.18,1.06,1.71,1.59,1.82,0.91,0.71,1.12,0.35,0.35,0.35,0.56,0.35,0.76,30,28,20,10,6,2,16,14,9,4,3,1,14,14,11,6,3,1,4,6,14,24,28,32,1,3,8,13,14,16,3,3,6,11,14,16,88,82,59,29,18,6,94,82,53,24,18,6,82,82,65,35,18,6,12,18,41,71,82,94,6,18,47,76,82,94,18,18,35,65,82,94,22,9,0,11,1,0,11,8,0,65,26,0,65,6,0,65,47,0,26,29,24,6,21,24,18,53,53,53,38,29,47,44,65,24,19,11,8,56,65,47,23,11,12,68,65,71,4,1,3,12,6,18,21,29,12,47,41,53,32,29,35,4.47,5.00,3.94,1.97,2.12,1.82,79,71,62,50,35,24,15,9,71,0,1,4,4,6,8,3,5,7,5,5,2,5,7,6,9,8,11
SV Werder Bremen,Werder Bremen,2019/2020,Germany,34,17,17,0,8,2,6,7,3,4,19,12,7,0.91,0.53,1.29,16,17,8,16,42,69,-27,111,51,60,15,27,36,33,-21,-6,73,102,57,44,42,46,4,1,3,19,7,12,12,10,2,16,4,12,160,97,63,80,29,51,48,50,46,451,257,194,171,95,76,280,162,118,465,223,242,24,8,16,28,13,15,-4,-5,1,11,3,8,11,8,3,12,6,6,1.29,1,1.59,3.26,3,3.53,1.24,0.88,1.59,2.03,2.12,1.94,1.53,1.24,1.82,0.71,0.47,0.94,0.82,0.76,0.88,33,26,23,16,8,3,16,13,10,6,4,1,17,13,13,10,4,2,1,8,11,18,26,31,1,4,7,11,13,16,0,4,4,7,13,15,97,76,68,47,24,9,94,76,59,35,24,6,100,76,76,59,24,12,3,24,32,53,76,91,6,24,41,65,76,94,0,24,24,41,76,88,26,16,9,10,6,4,16,10,5,76,47,26,59,35,24,94,59,29,24,12,35,-17,12,6,18,56,41,71,35,59,12,47,24,71,16,9,7,47,53,41,17,12,5,50,71,29,9,3,6,26,18,35,32,18,47,32,47,18,35,35,35,4.71,5.71,3.71,2.35,1.71,3.00,88,88,79,68,56,28,18,9,112,7,3,8,5,3,7,3,1,5,3,7,5,7,8,11,9,7,12
FC Bayern München,Bayern München,2019/2020,Germany,34,17,17,0,26,13,13,4,2,2,4,2,2,2.41,2.41,2.41,1,1,1,1,100,32,68,132,68,64,53,47,15,17,38,30,31,29,33,96,102,90,15,7,8,19,10,9,1,1,0,26,12,14,240,146,94,56,23,33,63,65,60,657,356,301,286,153,133,371,203,168,315,163,152,48,21,27,15,9,6,33,12,21,21,9,12,10,6,4,3,2,1,2.15,1.94,2.35,3.88,4,3.76,2.94,3.12,2.76,0.94,0.88,1,1.85,1.76,1.94,1.41,1.24,1.59,0.44,0.53,0.35,33,31,27,21,11,6,16,16,14,10,6,3,17,15,13,11,5,3,1,3,7,13,23,28,1,1,3,7,11,14,0,2,4,6,12,14,97,91,79,62,32,18,94,94,82,59,35,18,100,88,76,65,29,18,3,9,21,38,68,82,6,6,18,41,65,82,0,12,24,35,71,82,28,19,12,13,10,6,15,9,6,82,56,35,76,59,35,88,53,35,76,76,76,6,44,41,47,56,59,53,3,6,0,76,71,82,22,10,12,65,59,71,6,4,2,18,24,12,12,7,5,35,41,29,62,53,71,29,35,24,9,12,6,7.06,8.59,5.53,1.65,1.35,1.94,88,76,74,62,38,32,24,18,126,9,13,8,8,19,8,9,17,9,4,0,2,6,4,5,3,2,6
Borussia VfL Mönchengladbach,Borussia M'gladbach,2019/2020,Germany,34,17,17,0,20,12,8,5,2,3,9,3,6,1.91,2.24,1.59,4,2,7,4,66,40,26,106,61,45,40,26,21,19,19,7,46,38,59,76,73,80,7,3,4,23,14,9,7,1,6,18,10,8,172,90,82,77,40,37,52,53,51,518,285,233,227,127,100,291,158,133,415,207,208,30,17,13,12,6,6,18,11,7,14,8,6,15,5,10,5,4,1,1.68,1.71,1.65,3.12,3.59,2.65,1.94,2.35,1.53,1.18,1.24,1.12,1.24,1.35,1.12,0.88,1,0.76,0.35,0.35,0.35,31,28,24,14,6,3,16,16,14,8,4,3,15,12,10,6,2,0,3,6,10,20,28,31,1,1,3,9,13,14,2,5,7,11,15,17,91,82,71,41,18,9,94,94,82,47,24,18,88,71,59,35,12,0,9,18,29,59,82,91,6,6,18,53,76,82,12,29,41,65,88,100,25,14,2,14,7,1,11,7,1,74,41,6,82,41,6,65,41,6,59,71,47,8,21,18,24,68,82,53,21,6,35,53,59,47,22,11,11,65,65,65,14,7,7,41,41,41,7,2,5,21,12,29,41,47,35,44,29,59,15,24,6,5.06,5.29,4.82,2.26,2.35,2.18,85,71,50,38,38,26,24,15,79,8,7,6,5,8,8,4,11,9,4,4,3,1,5,8,0,3,12
Bayer 04 Leverkusen,Bayer Leverkusen,2019/2020,Germany,34,17,17,0,19,9,10,6,4,2,9,4,5,1.85,1.82,1.88,5,4,4,5,61,44,17,105,54,51,32,29,22,22,10,7,50,48,53,70,70,70,10,6,4,19,10,9,6,2,4,23,12,11,215,137,78,67,30,37,61,62,59,537,292,245,215,109,106,322,183,139,382,183,199,34,18,16,21,12,9,13,6,7,14,7,7,14,7,7,6,3,3,1.65,1.65,1.65,3.09,3.18,3,1.79,1.88,1.71,1.29,1.29,1.29,1.62,1.76,1.47,1,1.06,0.94,0.62,0.71,0.53,33,29,20,13,7,2,16,14,10,7,4,2,17,15,10,6,3,0,1,5,14,21,27,32,1,3,7,10,13,15,0,2,7,11,14,17,97,85,59,38,21,6,94,82,59,41,24,12,100,88,59,35,18,0,3,15,41,62,79,94,6,18,41,59,76,88,0,12,41,65,82,100,27,17,8,14,9,4,13,8,4,79,50,24,82,53,24,76,47,24,56,53,59,0,29,35,24,56,59,53,18,12,24,68,71,65,19,10,9,56,59,53,11,4,7,32,24,41,11,6,5,32,35,29,41,41,41,41,41,41,18,18,18,6.32,8.06,4.59,1.97,1.76,2.18,79,76,76,59,38,32,24,15,97,9,8,7,9,2,5,3,4,14,3,3,7,4,6,5,6,4,6
1. FC Köln,Köln,2019/2020,Germany,34,17,17,0,10,6,4,6,4,2,18,7,11,1.06,1.29,0.82,14,9,15,14,51,69,-18,120,55,65,28,23,27,42,1,-19,60,55,67,44,57,36,6,5,1,23,10,13,5,2,3,15,11,4,175,85,90,85,40,45,47,47,47,445,213,232,184,96,88,261,117,144,478,230,248,20,12,8,30,10,20,-10,2,-12,11,9,2,4,1,3,19,7,12,1.09,1.65,0.53,3.53,3.24,3.82,1.5,1.65,1.35,2.03,1.59,2.47,1.47,1.29,1.65,0.59,0.71,0.47,0.88,0.59,1.18,34,32,25,17,7,4,17,15,12,8,2,1,17,17,13,9,5,3,0,2,9,17,27,30,0,2,5,9,15,16,0,0,4,8,12,14,100,94,74,50,21,12,100,88,71,47,12,6,100,100,76,53,29,18,0,6,26,50,79,88,0,12,29,53,88,94,0,0,24,47,71,82,31,12,6,16,4,2,15,8,4,91,35,18,94,24,12,88,47,24,29,35,24,16,18,29,6,68,59,76,15,12,18,44,65,24,14,10,4,41,59,24,19,7,12,56,41,71,4,1,3,12,6,18,32,53,12,12,6,18,56,41,71,5.15,5.00,5.29,2.5,2.35,2.65,94,85,71,68,56,44,28,26,88,5,1,5,6,3,7,6,3,15,6,5,8,9,9,6,11,7,8
SC Freiburg,Freiburg,2019/2020,Germany,34,17,17,0,13,9,4,9,2,7,12,6,6,1.41,1.71,1.12,8,6,11,8,48,47,1,95,40,55,23,25,17,30,6,-5,64,67,61,65,90,51,7,6,1,19,7,12,8,4,4,16,11,5,151,88,63,45,23,22,48,50,46,478,259,219,182,100,82,296,159,137,324,162,162,21,7,14,21,5,16,0,2,-2,9,5,4,14,8,6,11,4,7,1.21,1.35,1.06,2.79,2.35,3.24,1.41,1.35,1.47,1.38,1,1.76,1.24,0.71,1.76,0.62,0.41,0.82,0.62,0.29,0.94,34,26,19,12,2,2,17,11,8,4,0,0,17,15,11,8,2,2,0,8,15,22,32,32,0,6,9,13,17,17,0,2,6,9,15,15,100,76,56,35,6,6,100,65,47,24,0,0,100,88,65,47,12,12,0,24,44,65,94,94,0,35,53,76,100,100,0,12,35,53,88,88,26,12,3,10,2,0,16,10,3,76,35,9,59,12,0,94,59,18,38,53,24,12,21,35,6,56,41,71,24,24,24,47,65,29,16,12,4,47,71,24,17,11,6,50,65,35,9,1,8,26,6,47,26,29,24,41,47,35,32,24,41,4.44,5.18,3.71,1.32,1.35,1.29,85,82,82,71,59,41,26,24,68,2,2,5,8,6,9,4,2,10,4,6,4,6,3,6,4,4,10
VfL Wolfsburg,Wolfsburg,2019/2020,Germany,34,17,17,0,13,4,9,10,7,3,11,6,5,1.44,1.12,1.76,7,14,6,7,48,46,2,94,42,52,19,29,23,23,-4,6,64,80,53,67,67,67,8,4,4,19,10,9,9,5,4,14,6,8,167,94,73,75,29,46,50,52,48,504,286,218,193,102,91,311,184,127,480,224,256,18,8,10,20,12,8,-2,-4,2,10,3,7,14,7,7,10,7,3,1.29,0.94,1.65,2.76,2.47,3.06,1.41,1.12,1.71,1.35,1.35,1.35,1.12,1.18,1.06,0.53,0.47,0.59,0.59,0.71,0.47,32,28,18,10,5,1,15,14,8,4,1,0,17,14,10,6,4,1,2,6,16,24,29,33,2,3,9,13,16,17,0,3,7,11,13,16,94,82,53,29,15,3,88,82,47,24,6,0,100,82,59,35,24,6,6,18,47,71,85,97,12,18,53,76,94,100,0,18,41,65,76,94,24,11,3,12,6,2,12,5,1,71,32,9,71,35,12,71,29,6,38,24,53,0,24,24,24,56,59,53,26,29,24,41,35,47,18,7,11,53,41,65,19,11,8,56,65,47,7,4,3,21,24,18,29,18,41,41,41,41,29,41,18,4.91,5.53,4.29,2.21,1.71,2.71,88,76,59,41,35,24,21,12,71,2,6,4,3,5,8,8,4,8,3,5,5,3,5,7,3,5,10
