
team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
BVB 09 Borussia Dortmund,Borussia Dortmund,2020/2021,Germany,3,2,1,0,2,2,0,0,0,0,1,0,1,2,3,0,5,2,15,5,7,2,5,9,7,2,7,0,0,2,7,-2,39,26,0,134,0,45,2,2,0,0,0,0,1,0,1,2,2,0,15,4,11,6,2,4,63,58,73,37,24,13,21,13,8,16,11,5,25,17,8,2,2,0,1,0,1,1,2,-1,2,2,0,0,0,0,1,0,1,2,3,0,3,3.5,2,2.33,3.5,0,0.67,0,2,1,1,1,0.67,1,0,0.33,0,1,3,3,2,1,0,0,2,2,2,1,0,0,1,1,0,0,0,0,0,0,1,2,3,3,0,0,0,1,2,2,0,0,1,1,1,1,100,100,67,33,0,0,100,100,100,50,0,0,100,100,0,0,0,0,0,0,33,67,100,100,0,0,0,50,100,100,0,0,100,100,100,100,3,0,0,2,0,0,1,0,0,100,0,0,100,0,0,100,0,0,67,100,0,75,67,100,0,0,0,0,33,0,100,67,100,0,2,2,0,67,100,0,1,0,1,33,0,100,0,0,0,0,0,0,67,100,0,0,0,0,33,0,100,5.00,2.00,11.00,2,1,4.00,33,33,33,33,33,33,33,33,0,0,0,0,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0
1. FSV Mainz 05,Mainz 05,2020/2021,Germany,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,17,18,17,17,2,11,-9,13,5,8,1,1,4,7,-3,-6,134,90,180,25,23,26,0,0,0,2,1,1,1,0,1,1,1,0,10,3,7,8,2,6,44,49,42,22,9,13,5,3,2,17,6,11,30,9,21,1,1,0,4,1,3,-3,0,-3,0,0,0,1,1,0,2,0,2,0.33,1,0,4.33,5,4,0.67,1,0.5,3.67,4,3.5,1.67,2,1.5,0.33,1,0,1.33,1,1.5,3,3,3,3,1,0,1,1,1,1,1,0,2,2,2,2,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,2,2,100,100,100,100,33,0,100,100,100,100,100,0,100,100,100,100,0,0,0,0,0,0,67,100,0,0,0,0,0,100,0,0,0,0,100,100,3,2,0,1,1,0,2,1,0,100,67,0,100,100,0,100,50,0,0,0,0,20,0,0,0,67,100,50,33,0,50,33,100,0,0,0,0,0,0,0,2,0,2,67,0,100,1,1,0,33,100,0,0,0,0,33,100,0,67,0,100,3.33,3.00,3.50,2.67,2,3.00,67,67,67,67,67,67,0,0,133,0,1,0,0,1,0,0,0,0,0,2,1,0,2,1,3,1,1
FC Schalke 04,Schalke 04,2020/2021,Germany,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,18,16,18,18,1,15,-14,16,4,12,1,0,3,12,-2,-12,273,90,0,18,30,15,0,0,0,1,1,0,2,0,2,0,0,0,11,8,3,12,7,5,41,57,34,20,10,10,11,6,5,9,4,5,35,19,16,0,0,0,8,2,6,-8,-2,-6,0,0,0,0,0,0,3,1,2,0,0,0,5.33,4,6,0.33,1,0,5,3,6,2.67,2,3,0,0,0,2.67,2,3,3,3,3,3,1,1,1,1,1,1,0,0,2,2,2,2,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,100,100,100,100,33,33,100,100,100,100,0,0,100,100,100,100,50,50,0,0,0,0,67,67,0,0,0,0,100,100,0,0,0,0,50,50,3,3,2,1,1,0,2,2,2,100,100,67,100,100,0,100,100,100,0,0,0,122,0,0,0,33,100,0,67,0,100,0,0,0,0,0,0,0,0,0,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,3.67,8.00,1.50,4,7,2.50,100,100,100,67,67,0,0,0,167,0,0,0,0,0,0,0,0,1,1,1,1,4,2,2,1,2,1
SV Werder Bremen,Werder Bremen,2020/2021,Germany,3,2,1,0,2,1,1,0,0,0,1,1,0,2,1.5,3,7,9,5,7,5,5,0,10,6,4,2,3,4,1,-2,2,54,90,30,54,45,90,1,1,0,2,1,1,0,0,0,2,1,1,12,9,3,6,4,2,41,40,43,35,25,10,17,12,5,18,13,5,37,24,13,3,1,2,2,2,0,1,-1,2,2,1,1,0,0,0,1,1,0,2,1.5,3,3.33,3,4,1.67,1,3,1.67,2,1,1.67,1.5,2,1,0.5,2,0.67,1,0,3,2,2,2,1,0,2,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,2,3,0,1,1,1,1,2,0,0,0,0,1,1,100,67,67,67,33,0,100,50,50,50,50,0,100,100,100,100,0,0,0,33,33,33,67,100,0,50,50,50,50,100,0,0,0,0,100,100,3,2,0,2,1,0,1,1,0,100,67,0,100,50,0,100,100,0,67,50,100,-30,33,50,0,67,50,100,0,0,0,67,50,100,2,1,1,67,50,100,1,1,0,33,50,0,0,0,0,0,0,0,67,50,100,0,0,0,33,50,0,4.00,4.50,3.00,2,2,2.00,67,67,67,67,67,0,0,0,67,0,0,2,1,0,1,1,0,0,0,0,0,0,2,0,1,0,2
FC Bayern München,Bayern München,2020/2021,Germany,3,2,1,0,2,2,0,0,0,0,1,0,1,2,3,0,4,1,16,4,13,7,6,20,15,5,12,1,3,4,9,-3,21,15,90,39,60,23,1,1,0,2,1,1,0,0,0,2,2,0,20,15,5,6,4,2,65,66,64,41,27,14,17,12,5,24,15,9,33,24,9,5,4,1,2,0,2,3,4,-1,2,2,0,0,0,0,1,0,1,2,3,0,6.67,7.5,5,4.33,6,1,2.33,1.5,4,2.33,2,3,1.67,2,1,0.67,0,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,100,100,100,100,100,67,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,100,3,2,2,2,1,1,1,1,1,100,67,67,100,50,50,100,100,100,67,100,0,38,33,50,0,67,50,100,0,0,0,67,100,0,2,2,0,67,100,0,0,0,0,0,0,0,1,0,1,33,0,100,67,100,0,0,0,0,33,0,100,6.67,7.50,5.00,2,2,2.00,100,67,33,33,33,0,0,0,167,1,1,0,3,1,2,1,1,3,0,1,1,0,0,1,0,2,2
Borussia VfL Mönchengladbach,Borussia M'gladbach,2020/2021,Germany,3,1,2,0,1,0,1,1,1,0,1,0,1,1.33,1,1.5,11,12,7,11,4,5,-1,9,2,7,1,3,1,4,0,-1,68,90,60,54,90,45,0,0,0,2,1,1,1,0,1,2,1,1,20,7,13,5,1,4,55,56,55,34,10,24,22,5,17,12,5,7,27,10,17,2,0,2,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1.33,1,1.5,3,2,3.5,1.33,1,1.5,1.67,1,2,1,0,1.5,0.67,0,1,0.33,0,0.5,3,3,2,1,0,0,1,1,0,0,0,0,2,2,2,1,0,0,0,0,1,2,3,3,0,0,1,1,1,1,0,0,0,1,2,2,100,100,67,33,0,0,100,100,0,0,0,0,100,100,100,50,0,0,0,0,33,67,100,100,0,0,100,100,100,100,0,0,0,50,100,100,2,1,0,0,0,0,2,1,0,67,33,0,0,0,0,100,50,0,33,0,50,8,0,0,0,67,100,50,33,0,50,67,100,50,2,1,1,67,100,50,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,33,100,0,33,0,50,6.67,7.00,6.50,1.67,1,2.00,67,67,67,67,67,67,33,33,67,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,1
Bayer 04 Leverkusen,Bayer Leverkusen,2020/2021,Germany,3,1,2,0,0,0,0,3,1,2,0,0,0,1,1,1,14,11,9,14,2,2,0,4,2,2,1,1,1,1,0,0,134,90,180,134,90,180,1,0,1,2,1,1,1,0,1,1,0,1,20,4,16,5,1,4,57,62,55,31,10,21,15,5,10,16,5,11,35,15,20,2,1,1,1,1,0,1,0,1,1,0,1,2,1,1,0,0,0,1.67,1,2,1.33,2,1,0.67,1,0.5,0.67,1,0.5,1,2,0.5,0.67,1,0.5,0.33,1,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,3,3,3,3,0,0,1,1,1,1,1,1,2,2,2,2,67,67,0,0,0,0,100,100,0,0,0,0,50,50,0,0,0,0,33,33,100,100,100,100,0,0,100,100,100,100,50,50,100,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,100,100,0,50,0,0,0,0,0,0,33,0,50,67,100,50,33,0,50,33,0,50,2,0,2,67,0,100,1,0,1,33,0,50,1,1,0,33,100,0,33,0,50,67,100,50,0,0,0,6.67,4.00,8.00,1.67,1,2.00,67,67,33,33,33,33,33,33,67,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1. FC Köln,Köln,2020/2021,Germany,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,16,17,14,16,3,7,-4,10,9,1,3,0,6,1,-3,-1,90,60,0,39,30,90,0,0,0,2,2,0,1,0,1,0,0,0,12,5,7,9,6,3,45,41,53,29,19,10,14,7,7,15,12,3,33,18,15,1,1,0,4,4,0,-3,-3,0,0,0,0,1,0,1,2,2,0,0.33,0,1,3.33,4.5,1,1,1.5,0,2.33,3,1,1.67,2.5,0,0.33,0.5,0,1.33,2,0,3,2,2,2,1,0,2,2,2,2,1,0,1,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,1,2,0,1,1,1,1,1,100,67,67,67,33,0,100,100,100,100,50,0,100,0,0,0,0,0,0,33,33,33,67,100,0,0,0,0,50,100,0,100,100,100,100,100,2,2,1,2,2,1,0,0,0,67,67,33,100,100,50,0,0,0,0,0,0,11,0,0,0,67,100,0,33,0,100,0,0,0,1,0,1,33,0,100,2,1,1,67,50,100,1,1,0,33,50,0,0,0,0,33,0,100,67,100,0,4.00,2.50,7.00,3,3,3.00,100,67,67,67,67,33,33,33,100,0,0,1,0,0,0,0,0,2,1,2,0,0,1,1,0,1,1
SC Freiburg,Freiburg,2020/2021,Germany,3,1,2,0,1,0,1,1,1,0,1,0,1,1.33,1,1.5,12,13,8,12,4,7,-3,11,2,9,1,3,1,6,0,-3,68,90,60,39,90,30,0,0,0,2,1,1,1,0,1,2,1,1,13,9,4,3,0,3,44,57,38,20,10,10,12,6,6,8,4,4,37,11,26,3,1,2,2,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1.33,1,1.5,3.67,2,4.5,1.33,1,1.5,2.33,1,3,1.67,2,1.5,1,1,1,0.67,1,0.5,3,3,2,2,1,0,1,1,0,0,0,0,2,2,2,2,1,0,0,0,1,1,2,3,0,0,1,1,1,1,0,0,0,0,1,2,100,100,67,67,33,0,100,100,0,0,0,0,100,100,100,100,50,0,0,0,33,33,67,100,0,0,100,100,100,100,0,0,0,0,50,100,3,2,0,1,1,0,2,1,0,100,67,0,100,100,0,100,50,0,33,0,50,16,0,0,0,67,100,50,33,0,50,67,100,50,1,0,1,33,0,50,1,0,1,33,0,50,1,1,0,33,100,0,33,0,50,33,100,0,33,0,50,4.33,9.00,2.00,1,0,1.50,67,67,67,33,0,0,0,0,67,1,1,1,0,1,0,0,0,0,0,0,0,1,2,0,1,1,2
VfL Wolfsburg,Wolfsburg,2020/2021,Germany,3,2,1,0,0,0,0,3,2,1,0,0,0,1,1,1,15,10,12,15,1,1,0,2,0,2,0,1,0,1,0,0,273,0,90,273,0,90,2,2,0,1,0,1,2,2,0,0,0,0,17,16,1,4,1,3,50,53,43,28,21,7,14,12,2,14,9,5,31,18,13,1,0,1,1,0,1,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,0.67,0,2,0.33,0,1,0.33,0,1,0.67,0,2,0.33,0,1,0.33,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,3,3,3,2,2,2,2,2,2,0,0,1,1,1,1,33,33,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,67,67,100,100,100,100,100,100,100,100,100,100,0,0,100,100,100,100,1,1,0,0,0,0,1,1,0,33,33,0,0,0,0,100,100,0,0,0,0,0,67,100,0,33,0,100,67,100,0,0,0,0,2,2,0,67,100,0,2,2,0,67,100,0,1,0,1,33,0,100,0,0,0,100,100,100,0,0,0,5.67,8.00,1.00,1.33,0.5,3.00,100,100,67,67,33,33,33,33,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
