team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
SSC Napoli,Napoli,2020/2021,Italy,9,5,4,0,6,3,3,0,0,0,3,2,1,2,1.8,2.25,5,5,5,2,20,10,10,30,21,9,15,5,6,4,9,1,41,30,72,81,75,90,4,2,2,3,2,1,2,1,1,5,3,2,65,41,24,10,8,2,55,52,58,147,93,54,63,45,18,84,48,36,70,34,36,7,6,1,5,1,4,2,5,-3,4,3,1,2,1,1,3,1,2,1.56,2,1,3.33,4.2,2.25,2.22,3,1.25,1.11,1.2,1,1.33,1.4,1.25,0.78,1.2,0.25,0.56,0.2,1,9,8,6,4,2,1,5,5,4,4,2,1,4,3,2,0,0,0,0,1,3,5,7,8,0,0,1,1,3,4,0,1,2,4,4,4,100,89,67,44,22,11,100,100,80,80,40,20,100,75,50,0,0,0,0,11,33,56,78,89,0,0,20,20,60,80,0,25,50,100,100,100,7,2,2,4,1,1,3,1,1,78,22,22,80,20,20,75,25,25,67,60,75,14,44,40,50,33,40,25,22,20,25,56,60,50,6,4,2,67,80,50,5,2,3,56,40,75,0,0,0,0,0,0,44,60,25,22,20,25,33,20,50,7.22,8.20,6.00,1.25,1.6,0.67,67,67,56,56,56,44,44,33,1.76,2.09,1.35,0.88,1.09,0.62,111,1,0,5,0,2,2,6,2,2,0,1,1,0,0,2,1,0,2,0,0,0,33,40,25,33
Juventus FC,Juventus,2020/2021,Italy,9,4,5,0,4,3,1,5,1,4,0,0,0,1.89,2.5,1.4,4,4,8,5,18,7,11,25,10,15,9,9,1,6,8,3,45,40,50,115,360,75,3,3,0,6,1,5,0,0,0,6,3,3,45,21,24,19,5,14,58,61,56,126,69,57,49,24,25,77,45,32,93,41,52,11,6,5,5,0,5,6,6,0,4,3,1,4,1,3,1,0,1,1.78,2.5,1.2,2.78,2.5,3,2,2.25,1.8,0.78,0.25,1.2,1.78,1.5,2,1.22,1.5,1,0.56,0,1,9,9,4,2,1,0,4,4,2,0,0,0,5,5,2,2,1,0,0,0,5,7,8,9,0,0,2,4,4,4,0,0,3,3,4,5,100,100,44,22,11,0,100,100,50,0,0,0,100,100,40,40,20,0,0,0,56,78,89,100,0,0,50,100,100,100,0,0,60,60,80,100,8,6,2,3,2,1,5,4,1,89,67,22,75,50,25,100,80,20,44,75,20,41,33,75,0,67,25,100,0,0,0,67,75,60,5,4,1,56,100,20,1,1,0,11,25,0,4,0,4,44,0,80,44,75,20,44,25,60,11,0,20,5.00,5.25,4.80,2.38,1.67,2.80,78,56,56,44,22,22,11,0,1.38,1.57,1.23,0.93,0.56,1.22,100,0,3,2,1,2,1,2,3,1,0,1,0,2,2,1,0,0,1,56,25,80,0,0,0,0
AS Roma,Roma,2020/2021,Italy,9,4,5,0,5,3,2,2,1,1,2,0,2,1.89,2.5,1.4,6,3,9,6,19,15,4,34,16,18,12,7,4,11,8,-4,43,30,64,54,90,41,3,2,1,4,2,2,2,0,2,5,3,2,48,22,26,12,8,4,50,48,52,151,70,81,60,29,31,91,41,50,112,56,56,10,8,2,7,2,5,3,6,-3,5,4,1,2,0,2,2,0,2,1.89,3,1,3.78,4,3.6,2.11,3,1.4,1.67,1,2.2,1.89,2.5,1.4,1.11,2,0.4,0.78,0.5,1,9,8,7,5,2,2,4,4,3,2,1,1,5,4,4,3,1,1,0,1,2,4,7,7,0,0,1,2,3,3,0,1,1,2,4,4,100,89,78,56,22,22,100,100,75,50,25,25,100,80,80,60,20,20,0,11,22,44,78,78,0,0,25,50,75,75,0,20,20,40,80,80,8,5,4,4,3,3,4,2,1,89,56,44,100,75,75,80,40,20,56,75,40,41,33,50,20,44,50,40,22,0,40,56,75,40,4,2,2,44,50,40,3,0,3,33,0,60,3,2,1,33,50,20,56,100,20,22,0,40,22,0,40,5.33,5.50,5.20,1.33,2,0.80,67,67,67,56,44,33,22,22,1.72,1.75,1.70,1.10,0.71,1.41,111,0,2,1,5,2,1,3,2,3,2,0,1,0,3,1,2,1,2,22,25,20,22,0,40,11
Cagliari Calcio,Cagliari,2020/2021,Italy,9,4,5,0,3,2,1,2,1,1,4,1,3,1.22,1.75,0.8,12,8,15,11,16,19,-3,35,14,21,8,8,6,13,2,-5,51,45,56,43,60,35,1,1,0,6,2,4,2,1,1,3,1,2,34,14,20,14,3,11,42,45,40,112,62,50,45,25,20,67,37,30,117,50,67,7,3,4,12,4,8,-5,-1,-4,2,1,1,3,1,2,4,2,2,1,1,1,3.89,3.5,4.2,1.78,2,1.6,2.11,1.5,2.6,2.11,1.75,2.4,0.78,0.75,0.8,1.33,1,1.6,9,9,5,5,4,2,4,4,2,2,1,1,5,5,3,3,3,1,0,0,4,4,5,7,0,0,2,2,3,3,0,0,2,2,2,4,100,100,56,56,44,22,100,100,50,50,25,25,100,100,60,60,60,20,0,0,44,44,56,78,0,0,50,50,75,75,0,0,40,40,40,80,7,5,3,3,1,1,4,4,2,78,56,33,75,25,25,80,80,40,33,50,20,21,11,25,0,67,50,80,22,25,20,33,25,40,2,1,1,22,25,20,5,3,2,56,75,40,4,1,3,44,25,60,22,25,20,33,25,40,44,50,40,3.78,3.50,4.00,1.56,0.75,2.20,78,78,67,44,11,11,0,0,1.21,1.42,1.05,1.94,1.43,2.36,167,0,3,2,1,3,3,1,2,1,3,0,2,3,5,2,0,1,3,22,25,20,44,25,60,0
Torino FC,Torino,2020/2021,Italy,9,5,4,0,1,0,1,3,2,1,5,3,2,0.67,0.4,1,18,18,13,18,16,22,-6,38,22,16,9,7,13,9,-4,-2,51,50,51,37,35,40,1,1,0,7,4,3,2,1,1,6,3,3,35,23,12,20,11,9,47,50,43,106,59,47,53,29,24,53,30,23,122,69,53,10,6,4,6,6,0,4,0,4,5,2,3,2,1,1,2,2,0,1.89,1.4,2.5,4.22,4.4,4,1.78,1.8,1.75,2.44,2.6,2.25,1.78,2.4,1,1.11,1.2,1,0.67,1.2,0,8,7,7,6,5,4,4,4,4,4,3,2,4,3,3,2,2,2,1,2,2,3,4,5,1,1,1,1,2,3,0,1,1,2,2,2,89,78,78,67,56,44,80,80,80,80,60,40,100,75,75,50,50,50,11,22,22,33,44,56,20,20,20,20,40,60,0,25,25,50,50,50,7,4,3,4,3,3,3,1,0,78,44,33,80,60,60,75,25,0,11,0,25,-3,11,20,0,78,80,75,22,20,25,67,60,75,6,2,4,67,40,100,2,1,1,22,20,25,3,3,0,33,60,0,56,40,75,22,20,25,22,40,0,3.89,4.60,3.00,2.22,2.2,2.25,67,56,22,11,11,11,11,11,1.23,1.29,1.17,1.45,1.40,1.52,156,2,2,3,1,3,0,1,3,1,0,4,1,0,2,2,3,3,7,33,40,25,56,60,50,0
FC Crotone,Crotone,2020/2021,Italy,9,4,5,0,0,0,0,2,1,1,7,3,4,0.22,0.25,0.2,20,20,20,20,6,20,-14,26,9,17,2,4,7,13,-5,-9,134,180,113,41,51,35,1,0,1,5,2,3,4,2,2,2,1,1,23,8,15,25,8,17,49,46,52,103,38,65,36,13,23,67,25,42,114,48,66,5,2,3,13,5,8,-8,-3,-5,0,0,0,2,1,1,7,3,4,0.22,0.25,0.2,2.89,2.25,3.4,0.67,0.5,0.8,2.22,1.75,2.6,2,1.75,2.2,0.56,0.5,0.6,1.44,1.25,1.6,8,7,4,3,3,1,4,4,1,0,0,0,4,3,3,3,3,1,1,2,5,6,6,8,0,0,3,4,4,4,1,2,2,2,2,4,89,78,44,33,33,11,100,100,25,0,0,0,80,60,60,60,60,20,11,22,56,67,67,89,0,0,75,100,100,100,20,40,40,40,40,80,8,4,3,4,2,1,4,2,2,89,44,33,100,50,25,80,40,40,0,0,0,-2,11,0,20,56,50,60,44,50,40,22,25,20,1,0,1,11,0,20,5,2,3,56,50,60,4,2,2,44,50,40,0,0,0,22,25,20,78,75,80,2.56,2.00,3.00,2.78,2,3.40,78,44,33,22,11,11,11,0,0.99,0.80,1.15,1.51,1.58,1.45,89,0,1,2,1,2,0,0,0,0,2,1,4,3,4,2,0,1,3,22,25,20,78,75,80,0
Genoa CFC,Genoa,2020/2021,Italy,9,5,4,0,1,1,0,2,0,2,6,4,2,0.56,0.6,0.5,19,17,18,19,8,18,-10,26,17,9,7,1,10,8,-3,-7,101,64,360,45,45,45,1,0,1,5,4,1,4,1,3,1,1,0,31,15,16,22,10,12,47,48,46,99,58,41,34,22,12,65,36,29,105,52,53,4,3,1,8,5,3,-4,-2,-2,1,1,0,3,1,2,5,3,2,0.67,0.8,0.5,2.89,3.4,2.25,0.89,1.4,0.25,2,2,2,1.33,1.6,1,0.44,0.6,0.25,0.89,1,0.75,8,7,5,3,2,1,5,5,4,2,1,0,3,2,1,1,1,1,1,2,4,6,7,8,0,0,1,3,4,5,1,2,3,3,3,3,89,78,56,33,22,11,100,100,80,40,20,0,75,50,25,25,25,25,11,22,44,67,78,89,0,0,20,60,80,100,25,50,75,75,75,75,7,3,1,4,2,1,3,1,0,78,33,11,80,40,20,75,25,0,11,20,0,0,11,0,25,56,80,25,44,20,75,11,20,0,2,1,1,22,20,25,7,4,3,78,80,75,2,1,1,22,20,25,11,20,0,33,20,50,56,60,50,3.44,3.00,4.00,2.44,2,3.00,78,67,67,56,33,22,11,11,0.83,0.93,0.71,1.47,1.45,1.49,89,2,0,1,1,2,0,0,1,1,3,0,3,1,3,1,4,2,1,22,0,50,67,80,50,11
AC Milan,AC Milan,2020/2021,Italy,9,5,4,0,7,3,4,2,2,0,0,0,0,2.56,2.2,3,1,1,1,1,21,8,13,29,17,12,12,9,5,3,7,6,39,38,40,101,90,120,4,3,1,5,2,3,0,0,0,8,4,4,54,35,19,22,10,12,53,56,50,160,100,60,60,35,25,100,65,35,124,71,53,10,5,5,4,3,1,6,2,4,6,2,4,2,2,0,1,1,0,2.22,1.6,3,3.22,3.4,3,2.33,2.4,2.25,0.89,1,0.75,1.56,1.6,1.5,1.11,1,1.25,0.44,0.6,0.25,9,9,6,3,1,1,5,5,3,2,1,1,4,4,3,1,0,0,0,0,3,6,8,8,0,0,2,3,4,4,0,0,1,3,4,4,100,100,67,33,11,11,100,100,60,40,20,20,100,100,75,25,0,0,0,0,33,67,89,89,0,0,40,60,80,80,0,0,25,75,100,100,8,4,2,4,3,1,4,1,1,89,44,22,80,60,20,100,25,25,78,60,100,-5,44,60,25,56,40,75,0,0,0,89,80,100,6,3,3,67,60,75,1,1,0,11,20,0,3,2,1,33,40,25,67,40,100,22,40,0,11,20,0,6.00,7.00,4.75,2.44,2,3.00,89,78,67,56,44,33,33,22,1.93,2.16,1.63,1.13,0.94,1.37,78,1,5,2,1,3,3,0,3,3,1,2,1,0,1,0,1,1,1,22,40,0,0,0,0,11
SS Lazio,Lazio,2020/2021,Italy,9,5,4,0,4,1,3,2,2,0,3,2,1,1.56,1,2.25,9,13,6,9,14,16,-2,30,16,14,6,8,10,6,-4,2,58,75,45,51,45,60,2,0,2,6,5,1,1,0,1,4,1,3,46,30,16,30,19,11,52,51,52,120,60,60,50,27,23,70,33,37,118,74,44,3,0,3,11,7,4,-8,-7,-1,2,0,2,1,1,0,6,4,2,0.78,0.2,1.5,3.33,3.2,3.5,1.56,1.2,2,1.78,2,1.5,1.56,1.4,1.75,0.33,0,0.75,1.22,1.4,1,9,9,5,3,2,1,5,5,3,2,1,0,4,4,2,1,1,1,0,0,4,6,7,8,0,0,2,3,4,5,0,0,2,3,3,3,100,100,56,33,22,11,100,100,60,40,20,0,100,100,50,25,25,25,0,0,44,67,78,89,0,0,40,60,80,100,0,0,50,75,75,75,8,4,2,4,2,1,4,2,1,89,44,22,80,40,20,100,50,25,44,20,75,-18,22,0,50,67,100,25,11,0,25,44,20,75,3,1,2,33,20,50,6,5,1,67,100,25,1,0,1,11,0,25,22,0,50,11,20,0,67,80,50,5.11,6.00,4.00,3.33,3.8,2.75,89,78,44,33,22,22,22,22,1.40,1.35,1.46,1.40,1.42,1.37,78,1,1,1,0,1,4,0,3,3,1,3,2,2,3,0,1,2,2,22,40,0,33,40,25,22
Atalanta Bergamasca Calcio,Atalanta,2020/2021,Italy,9,4,5,0,4,1,3,2,1,1,3,2,1,1.56,1,2,8,16,4,8,18,16,2,34,15,19,7,11,8,8,-1,3,45,51,41,51,45,56,1,0,1,7,3,4,2,1,1,3,1,2,28,12,16,20,6,14,54,58,50,146,73,73,58,28,30,88,45,43,124,43,81,12,4,8,9,2,7,3,2,1,4,1,3,3,2,1,2,1,1,1.67,1.25,2,3.78,3.75,3.8,2,1.75,2.2,1.78,2,1.6,2.33,1.5,3,1.33,1,1.6,1,0.5,1.4,8,8,6,5,4,2,4,4,2,2,1,1,4,4,4,3,3,1,1,1,3,4,5,7,0,0,2,2,3,3,1,1,1,2,2,4,89,89,67,56,44,22,100,100,50,50,25,25,80,80,80,60,60,20,11,11,33,44,56,78,0,0,50,50,75,75,20,20,20,40,40,80,6,5,5,2,1,1,4,4,4,67,56,56,50,25,25,80,80,80,44,25,60,-13,11,0,20,78,75,80,22,25,20,33,25,40,4,2,2,44,50,40,5,3,2,56,75,40,3,1,2,33,25,40,44,25,60,33,50,20,22,25,20,3.11,3.00,3.20,2.22,1.5,2.80,56,44,22,22,11,11,0,0,1.89,2.11,1.72,1.18,1.06,1.27,133,2,1,3,3,3,1,2,2,1,0,2,4,1,2,4,1,0,2,22,25,20,33,50,20,0
