team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Villarreal CF,Villarreal,2019/2020,Spain,38,19,19,0,18,9,9,6,5,1,14,5,9,1.58,1.68,1.47,5,7,5,5,63,49,14,112,62,50,37,26,25,24,12,2,54,46,66,70,68,71,12,7,5,25,12,13,3,2,1,24,13,11,147,72,75,80,39,41,50,53,48,532,279,253,201,107,94,331,172,159,470,216,254,25,13,12,15,7,8,10,6,4,16,8,8,15,9,6,7,2,5,1.66,1.74,1.58,2.95,3.26,2.63,1.66,1.95,1.37,1.29,1.32,1.26,1.05,1.05,1.05,0.66,0.68,0.63,0.39,0.37,0.42,36,30,26,12,4,2,17,15,13,9,4,2,19,15,13,3,0,0,2,8,12,26,34,36,2,4,6,10,15,17,0,4,6,16,19,19,95,79,68,32,11,5,89,79,68,47,21,11,100,79,68,16,0,0,5,21,32,68,89,95,11,21,32,53,79,89,0,21,32,84,100,100,26,10,3,12,5,2,14,5,1,68,26,8,63,26,11,74,26,5,47,47,47,8,32,37,26,66,63,68,8,11,5,63,68,58,27,14,13,71,74,68,17,8,9,45,42,47,6,4,2,16,21,11,42,42,42,39,47,32,18,11,26,3.87,3.79,3.95,2.11,2.05,2.16,84,74,61,53,34,21,16,16,76,6,10,2,3,5,8,6,7,16,3,4,3,2,10,4,9,9,5
FC Barcelona,FC Barcelona,2019/2020,Spain,38,19,19,0,25,16,9,7,2,5,6,1,5,2.16,2.63,1.68,2,1,3,2,86,38,48,124,68,56,52,34,16,22,36,12,40,33,50,90,107,78,15,8,7,19,11,8,6,1,5,25,16,9,185,101,84,98,52,46,62,63,61,524,285,239,256,140,116,268,145,123,409,198,211,44,28,16,16,8,8,28,20,8,19,11,8,14,7,7,5,1,4,1.87,2.11,1.63,3.26,3.58,2.95,2.26,2.74,1.79,1,0.84,1.16,1.58,1.89,1.26,1.16,1.47,0.84,0.42,0.42,0.42,36,29,24,18,10,4,18,14,13,9,7,4,18,15,11,9,3,0,2,9,14,20,28,34,1,5,6,10,12,15,1,4,8,10,16,19,95,76,63,47,26,11,95,74,68,47,37,21,95,79,58,47,16,0,5,24,37,53,74,89,5,26,32,53,63,79,5,21,42,53,84,100,28,17,10,14,12,7,14,5,3,74,45,26,74,63,37,74,26,16,66,84,47,19,39,42,37,50,58,42,16,5,26,66,84,47,23,11,12,61,58,63,15,6,9,39,32,47,10,7,3,26,37,16,50,58,42,37,37,37,13,5,21,4.87,5.32,4.42,2.58,2.74,2.42,71,63,50,39,34,16,8,5,103,8,9,5,12,16,9,7,11,9,3,7,3,1,4,1,8,3,8
Real Madrid CF,Real Madrid,2019/2020,Spain,38,19,19,0,26,15,11,9,4,5,3,0,3,2.29,2.58,2,1,2,1,1,70,25,45,95,51,44,40,30,11,14,29,16,49,43,57,136,155,122,19,11,8,17,8,9,6,2,4,26,15,11,192,111,81,84,41,43,55,57,54,597,344,253,264,151,113,333,193,140,482,238,244,30,17,13,7,2,5,23,15,8,15,9,6,21,9,12,2,1,1,1.74,1.89,1.58,2.5,2.68,2.32,1.84,2.11,1.58,0.66,0.58,0.74,0.97,1,0.95,0.79,0.89,0.68,0.18,0.11,0.26,34,26,19,11,4,1,17,15,9,6,3,1,17,11,10,5,1,0,4,12,19,27,34,37,2,4,10,13,16,18,2,8,9,14,18,19,89,68,50,29,11,3,89,79,47,32,16,5,89,58,53,26,5,0,11,32,50,71,89,97,11,21,53,68,84,95,11,42,47,74,95,100,21,11,5,11,5,3,10,6,2,55,29,13,58,26,16,53,32,11,68,79,58,14,50,58,42,45,42,47,16,11,21,68,79,58,31,17,14,82,89,74,19,9,10,50,47,53,5,1,4,13,5,21,39,47,32,55,47,63,5,5,5,5.05,5.84,4.26,2.21,2.16,2.26,79,66,50,45,32,21,11,5,61,6,6,5,9,7,7,10,10,10,3,2,0,1,3,1,3,6,6
Sevilla FC,Sevilla FC,2019/2020,Spain,38,19,19,0,19,10,9,13,7,6,6,2,4,1.84,1.95,1.74,4,5,2,4,54,34,20,88,40,48,26,28,14,20,12,8,63,66,61,101,122,86,17,9,8,19,9,10,4,2,2,26,12,14,226,138,88,98,44,54,55,57,52,527,296,231,207,103,104,320,193,127,521,262,259,24,8,16,15,5,10,9,3,6,13,4,9,19,12,7,6,3,3,1.53,1.26,1.79,2.32,2.11,2.53,1.42,1.37,1.47,0.89,0.74,1.05,1.03,0.68,1.37,0.63,0.42,0.84,0.39,0.26,0.53,36,28,14,7,3,0,18,13,4,3,2,0,18,15,10,4,1,0,2,10,24,31,35,38,1,6,15,16,17,19,1,4,9,15,18,19,95,74,37,18,8,0,95,68,21,16,11,0,95,79,53,21,5,0,5,26,63,82,92,100,5,32,79,84,89,100,5,21,47,79,95,100,24,11,3,9,4,0,15,7,3,63,29,8,47,21,0,79,37,16,50,53,47,7,45,47,42,50,47,53,11,11,11,68,63,74,27,14,13,71,74,68,19,13,6,50,68,32,6,2,4,16,11,21,34,21,47,50,63,37,16,16,16,5.95,7.26,4.63,2.58,2.32,2.84,84,74,61,53,42,24,13,11,58,0,10,3,5,8,6,9,6,7,1,3,3,5,4,2,5,5,6
Club Atlético de Madrid,Atlético Madrid,2019/2020,Spain,38,19,19,0,18,12,6,16,6,10,4,1,3,1.84,2.21,1.47,3,3,4,3,51,27,24,78,39,39,28,23,11,16,17,7,67,61,74,127,155,107,17,10,7,17,8,9,9,4,5,21,11,10,183,104,79,95,40,55,48,47,48,496,279,217,182,102,80,314,177,137,503,249,254,22,14,8,13,7,6,9,7,2,12,7,5,22,11,11,4,1,3,1.53,1.68,1.37,2.05,2.05,2.05,1.34,1.47,1.21,0.71,0.58,0.84,0.92,1.11,0.74,0.58,0.74,0.42,0.34,0.37,0.32,33,25,11,7,2,0,16,11,7,4,1,0,17,14,4,3,1,0,5,13,27,31,36,38,3,8,12,15,18,19,2,5,15,16,18,19,87,66,29,18,5,0,84,58,37,21,5,0,89,74,21,16,5,0,13,34,71,82,95,100,16,42,63,79,95,100,11,26,79,84,95,100,21,9,4,11,6,3,10,3,1,55,24,11,58,32,16,53,16,5,47,63,32,14,45,53,37,45,42,47,24,21,26,55,58,53,27,14,13,71,74,68,20,8,12,53,42,63,8,5,3,21,26,16,32,37,26,58,58,58,11,5,16,4.82,5.47,4.16,2.5,2.11,2.89,76,63,57,53,45,34,26,16,45,2,5,7,5,4,8,6,8,6,2,5,2,3,3,3,2,0,7
Deportivo Alavés,Deportivo Alavés,2019/2020,Spain,38,19,19,0,10,7,3,9,6,3,19,6,13,1.03,1.42,0.63,16,15,18,16,34,59,-25,93,39,54,20,14,19,40,1,-26,101,86,122,58,90,43,9,7,2,17,8,9,14,6,8,12,7,5,136,75,61,119,62,57,42,45,39,360,211,149,140,82,58,220,129,91,612,318,294,6,4,2,27,9,18,-21,-5,-16,2,2,0,21,11,10,15,6,9,0.71,0.89,0.53,2.45,2.05,2.84,0.89,1.05,0.74,1.55,1,2.11,0.87,0.68,1.05,0.16,0.21,0.11,0.71,0.47,0.95,36,30,15,5,5,2,17,14,6,1,1,0,19,16,9,4,4,2,2,8,23,33,33,36,2,5,13,18,18,19,0,3,10,15,15,17,95,79,39,13,13,5,89,74,32,5,5,0,100,84,47,21,21,11,5,21,61,87,87,95,11,26,68,95,95,100,0,16,53,79,79,89,19,8,4,9,3,1,10,5,3,50,21,11,47,16,5,53,26,16,26,37,16,27,24,37,11,45,42,47,37,32,42,32,37,26,21,12,9,55,63,47,33,16,17,87,84,89,3,1,2,8,5,11,5,11,0,55,58,53,39,32,47,3.58,3.95,3.21,3.13,3.26,3.00,66,61,45,39,28,13,13,3,63,0,1,3,2,4,5,4,5,10,1,8,5,6,11,7,6,7,8
CD Leganés,Leganés,2019/2020,Spain,38,19,19,0,8,5,3,12,5,7,18,9,9,0.95,1.05,0.84,18,19,13,18,30,51,-21,81,43,38,17,13,26,25,-9,-12,114,101,132,67,66,68,9,5,4,17,9,8,16,7,9,11,6,5,157,84,73,133,64,69,46,48,44,478,244,234,177,92,85,301,152,149,573,288,285,12,8,4,24,12,12,-12,-4,-8,7,5,2,18,8,10,13,6,7,1.03,1.21,0.84,2.13,2.26,2,0.79,0.89,0.68,1.34,1.37,1.32,0.95,1.05,0.84,0.32,0.42,0.21,0.63,0.63,0.63,34,26,15,4,2,0,17,13,10,2,1,0,17,13,5,2,1,0,4,12,23,34,36,38,2,6,9,17,18,19,2,6,14,17,18,19,89,68,39,11,5,0,89,68,53,11,5,0,89,68,26,11,5,0,11,32,61,89,95,100,11,32,47,89,95,100,11,32,74,89,95,100,23,10,3,13,6,1,10,4,2,61,26,8,68,32,5,53,21,11,21,26,16,6,24,26,21,45,47,42,42,37,47,29,32,26,21,11,10,55,58,53,28,12,16,74,63,84,4,2,2,11,11,11,18,26,11,47,42,53,34,32,37,4.13,4.42,3.84,3.5,3.37,3.63,57,50,42,34,26,16,13,5,37,2,5,0,3,6,4,2,4,4,8,4,7,3,4,5,8,4,8
SD Eibar,SD Eibar,2019/2020,Spain,38,19,19,0,11,8,3,9,3,6,18,8,10,1.11,1.42,0.79,14,16,14,14,39,56,-17,95,50,45,25,14,25,31,0,-17,87,68,122,61,68,55,11,6,5,17,8,9,15,6,9,12,8,4,189,106,83,94,54,40,49,53,46,471,257,214,194,107,87,277,150,127,530,259,271,18,9,9,25,11,14,-7,-2,-5,9,5,4,18,8,10,11,6,5,1.18,1.21,1.16,2.5,2.63,2.37,1.03,1.32,0.74,1.47,1.32,1.63,1.13,1.05,1.21,0.47,0.47,0.47,0.66,0.58,0.74,33,29,20,9,4,0,18,16,11,4,1,0,15,13,9,5,3,0,5,9,18,29,34,38,1,3,8,15,18,19,4,6,10,14,16,19,87,76,53,24,11,0,95,84,58,21,5,0,79,68,47,26,16,0,13,24,47,76,89,100,5,16,42,79,95,100,21,32,53,74,84,100,25,14,4,13,6,1,12,8,3,66,37,11,68,32,5,63,42,16,29,42,16,19,29,32,26,45,42,47,39,32,47,32,42,21,21,11,10,55,58,53,24,12,12,63,63,63,6,2,4,16,11,21,24,26,21,47,42,53,29,32,26,4.97,5.58,4.37,2.47,2.84,2.11,82,76,71,55,47,34,26,11,61,2,6,6,3,3,4,3,2,10,7,6,6,5,4,4,5,9,10
Reial Club Deportiu Espanyol,RCD Espanyol,2019/2020,Spain,38,19,19,0,5,2,3,10,6,4,23,11,12,0.66,0.63,0.68,20,20,16,20,27,58,-31,85,46,39,15,12,31,27,-16,-15,127,114,143,59,55,63,6,3,3,17,9,8,18,8,10,12,6,6,156,77,79,113,48,65,48,52,45,446,238,208,160,84,76,286,154,132,559,281,278,15,9,6,22,13,9,-7,-4,-3,9,6,3,16,5,11,13,8,5,1.13,1.21,1.05,2.24,2.42,2.05,0.71,0.79,0.63,1.53,1.63,1.42,0.97,1.16,0.79,0.39,0.47,0.32,0.58,0.68,0.47,35,26,15,7,1,1,18,14,7,5,1,1,17,12,8,2,0,0,3,12,23,31,37,37,1,5,12,14,18,18,2,7,11,17,19,19,92,68,39,18,3,3,95,74,37,26,5,5,89,63,42,11,0,0,8,32,61,82,97,97,5,26,63,74,95,95,11,37,58,89,100,100,27,9,1,16,5,1,11,4,0,71,24,3,84,26,5,58,21,0,13,11,16,2,16,16,16,45,47,42,47,42,53,32,32,32,19,8,11,50,42,58,24,11,13,63,58,68,6,3,3,16,16,16,24,32,16,42,26,58,34,42,26,4.11,4.05,4.16,2.97,2.53,3.42,74,63,50,42,28,16,5,3,47,2,2,4,4,7,1,1,3,3,3,9,2,5,9,8,5,8,9
Real Club Celta de Vigo,Celta de Vigo,2019/2020,Spain,38,19,19,0,7,5,2,16,8,8,15,6,9,0.97,1.21,0.74,17,18,15,17,37,49,-12,86,42,44,22,15,20,29,2,-14,93,78,114,70,86,59,12,6,6,19,9,10,14,6,8,13,7,6,176,93,83,112,57,55,50,53,47,415,233,182,175,88,87,240,145,95,472,238,234,14,9,5,18,9,9,-4,0,-4,6,3,3,22,10,12,10,6,4,1.05,1,1.11,2.26,2.21,2.32,0.97,1.16,0.79,1.29,1.05,1.53,0.84,0.95,0.74,0.37,0.47,0.26,0.47,0.47,0.47,31,23,14,11,5,2,17,11,6,5,2,1,14,12,8,6,3,1,7,15,24,27,33,36,2,8,13,14,17,18,5,7,11,13,16,18,82,61,37,29,13,5,89,58,32,26,11,5,74,63,42,32,16,5,18,39,63,71,87,95,11,42,68,74,89,95,26,37,58,68,84,95,19,7,4,11,3,2,8,4,2,50,18,11,58,16,11,42,21,11,18,26,11,20,32,32,32,50,47,53,37,32,42,34,37,32,25,11,14,66,58,74,28,14,14,74,74,74,4,2,2,11,11,11,16,16,16,58,53,63,26,32,21,4.63,4.89,4.37,2.95,3,2.89,92,82,71,68,37,24,18,11,47,2,5,1,2,8,2,3,5,9,2,5,5,4,6,9,4,4,10
