
team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Villarreal CF,Villarreal,2020/2021,Spain,5,3,2,0,2,2,0,2,1,1,1,0,1,1.6,2.33,0.5,4,1,17,4,6,7,-1,13,9,4,6,0,3,4,3,-4,75,45,0,64,90,45,1,0,1,3,3,0,2,0,2,1,1,0,17,12,5,5,2,3,54,59,47,43,33,10,23,18,5,20,15,5,39,24,15,2,2,0,6,2,4,-4,0,-4,1,1,0,2,1,1,2,1,1,1,1.33,0.5,2.6,3,2,1.2,2,0,1.4,1,2,1.6,1.33,2,0.4,0.67,0,1.2,0.67,2,4,4,3,2,0,0,3,3,2,1,0,0,1,1,1,1,0,0,1,1,2,3,5,5,0,0,1,2,3,3,1,1,1,1,2,2,80,80,60,40,0,0,100,100,67,33,0,0,50,50,50,50,0,0,20,20,40,60,100,100,0,0,33,67,100,100,50,50,50,50,100,100,3,2,2,2,1,1,1,1,1,60,40,40,67,33,33,50,50,50,40,67,0,48,20,0,50,60,100,0,40,0,100,20,33,0,2,1,1,40,33,50,4,2,2,80,67,100,1,1,0,20,33,0,20,33,0,40,33,50,40,33,50,3.40,4.00,2.50,1,0.67,1.50,80,60,60,60,40,40,0,0,120,0,1,0,0,1,0,3,1,0,0,2,0,2,3,0,0,0,0
FC Barcelona,FC Barcelona,2020/2021,Spain,3,2,1,1,2,1,1,1,1,0,0,0,0,2.33,2,3,5,5,6,5,8,1,7,9,6,3,5,3,1,0,4,3,34,36,30,273,180,0,2,1,1,1,1,0,0,0,0,2,1,1,17,10,7,6,1,5,51,48,57,25,18,7,17,12,5,8,6,2,26,16,10,6,5,1,1,1,0,5,4,1,2,1,1,1,1,0,0,0,0,2.33,2,3,3,3,3,2.67,2.5,3,0.33,0.5,0,2.33,3,1,2,2.5,1,0.33,0.5,0,3,3,2,1,0,0,2,2,1,1,0,0,1,1,1,0,0,0,0,0,1,2,3,3,0,0,1,1,2,2,0,0,0,1,1,1,100,100,67,33,0,0,100,100,50,50,0,0,100,100,100,0,0,0,0,0,33,67,100,100,0,0,50,50,100,100,0,0,0,100,100,100,3,2,1,2,2,1,1,0,0,100,67,33,100,100,50,100,0,0,67,50,100,-29,67,50,100,33,50,0,0,0,0,67,50,100,2,1,1,67,50,100,0,0,0,0,0,0,1,1,0,33,50,0,67,50,100,33,50,0,0,0,0,5.67,5.00,7.00,2,0.5,5.00,67,67,67,67,33,33,0,0,100,1,3,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Real Madrid CF,Real Madrid,2020/2021,Spain,4,1,3,1,3,1,2,1,0,1,0,0,0,2.5,3,2.33,1,10,1,1,6,2,4,8,1,7,1,5,0,2,1,3,60,90,54,180,0,134,3,1,2,1,0,1,1,0,1,3,1,2,24,4,20,7,2,5,57,62,55,43,16,27,17,6,11,26,10,16,39,11,28,2,0,2,2,0,2,0,0,0,1,0,1,2,1,1,1,0,1,1.25,1,1.33,2,1,2.33,1.5,1,1.67,0.5,0,0.67,1,0,1.33,0.5,0,0.67,0.5,0,0.67,3,2,1,1,1,0,1,0,0,0,0,0,2,2,1,1,1,0,1,2,3,3,3,4,0,1,1,1,1,1,1,1,2,2,2,3,75,50,25,25,25,0,100,0,0,0,0,0,67,67,33,33,33,0,25,50,75,75,75,100,0,100,100,100,100,100,33,33,67,67,67,100,2,1,1,0,0,0,2,1,1,50,25,25,0,0,0,67,33,33,75,100,67,34,75,100,67,25,0,33,25,0,33,75,100,67,3,1,2,75,100,67,2,1,1,50,100,33,1,0,1,25,0,33,25,0,33,50,100,33,25,0,33,6.00,4.00,6.67,1.75,2,1.67,100,100,100,100,75,25,0,0,50,0,2,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0
Sevilla FC,Sevilla FC,2020/2021,Spain,3,1,2,1,2,1,1,1,0,1,0,0,0,2.33,3,2,6,11,5,6,5,2,3,7,1,6,1,4,0,2,1,2,54,90,45,134,0,90,1,1,0,2,0,2,0,0,0,2,1,1,9,2,7,9,6,3,64,65,64,26,15,11,8,3,5,18,12,6,34,12,22,1,0,1,1,0,1,0,0,0,0,0,0,3,1,2,0,0,0,1,1,1,2.33,1,3,1.67,1,2,0.67,0,1,0.67,0,1,0.33,0,0.5,0.33,0,0.5,3,2,1,1,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,1,2,2,3,3,0,1,1,1,1,1,0,0,1,1,2,2,100,67,33,33,0,0,100,0,0,0,0,0,100,100,50,50,0,0,0,33,67,67,100,100,0,100,100,100,100,100,0,0,50,50,100,100,1,1,0,0,0,0,1,1,0,33,33,0,0,0,0,50,50,0,67,100,50,30,33,100,0,67,0,100,0,0,0,67,100,50,2,1,1,67,100,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,100,100,100,0,0,0,3.00,2.00,3.50,3,6,1.50,33,33,33,33,33,0,0,0,67,1,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0
Club Atlético de Madrid,Atlético Madrid,2020/2021,Spain,3,2,1,1,1,1,0,2,1,1,0,0,0,1.67,2,1,12,4,15,12,6,1,5,7,7,0,6,0,1,0,5,0,45,30,0,273,180,0,2,1,1,1,1,0,2,1,1,1,1,0,17,10,7,4,4,0,58,55,64,39,20,19,9,5,4,30,15,15,36,28,8,1,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,0,0,1.67,2,1,2.33,3.5,0,2,3,0,0.33,0.5,0,0.33,0.5,0,0.33,0.5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,33,33,33,33,33,33,50,50,50,50,50,50,0,0,0,0,0,0,67,67,67,67,67,67,50,50,50,50,50,50,100,100,100,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,50,0,0,0,0,0,33,50,0,-1,67,50,100,33,50,0,67,50,100,33,50,0,3,2,1,100,100,100,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,67,50,100,0,0,0,5.67,5.00,7.00,1.33,2,0.00,67,67,67,67,33,33,0,0,67,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1
Deportivo Alavés,Deportivo Alavés,2020/2021,Spain,5,3,2,0,1,1,0,1,1,0,3,1,2,0.8,1.33,0,17,8,19,17,3,6,-3,9,2,7,1,2,1,5,0,-3,150,273,90,75,273,36,2,2,0,2,0,2,2,2,0,1,1,0,11,7,4,12,7,5,43,44,41,33,22,11,13,7,6,20,15,5,78,52,26,2,0,2,3,0,3,-1,0,-1,0,0,0,4,3,1,1,0,1,0.8,1,0.5,1.8,0.67,3.5,0.6,0.33,1,1.2,0.33,2.5,1,0,2.5,0.4,0,1,0.6,0,1.5,4,2,2,1,0,0,2,0,0,0,0,0,2,2,2,1,0,0,1,3,3,4,5,5,1,3,3,3,3,3,0,0,0,1,2,2,80,40,40,20,0,0,67,0,0,0,0,0,100,100,100,50,0,0,20,60,60,80,100,100,33,100,100,100,100,100,0,0,0,50,100,100,2,2,1,0,0,0,2,2,1,40,40,20,0,0,0,100,100,50,20,33,0,14,40,67,0,40,0,100,40,67,0,20,33,0,3,3,0,60,100,0,3,3,0,60,100,0,2,0,2,40,0,100,0,0,0,80,100,50,20,0,50,2.20,2.33,2.00,2.4,2.33,2.50,40,40,20,20,0,0,0,0,40,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1
SD Eibar,SD Eibar,2020/2021,Spain,5,3,2,0,1,0,1,1,1,0,3,2,1,0.8,0.33,1.5,14,15,9,14,4,6,-2,10,4,6,1,3,3,3,-2,0,113,273,60,75,90,60,1,1,0,3,1,2,2,2,0,2,0,2,18,11,7,13,7,6,52,55,46,49,29,20,18,9,9,31,20,11,71,41,30,1,0,1,3,2,1,-2,-2,0,0,0,0,3,1,2,2,2,0,0.6,0.33,1,2,1.33,3,0.8,0.33,1.5,1.2,1,1.5,0.8,0.67,1,0.2,0,0.5,0.6,0.67,0.5,4,3,3,0,0,0,2,1,1,0,0,0,2,2,2,0,0,0,1,2,2,5,5,5,1,2,2,3,3,3,0,0,0,2,2,2,80,60,60,0,0,0,67,33,33,0,0,0,100,100,100,0,0,0,20,40,40,100,100,100,33,67,67,100,100,100,0,0,0,100,100,100,3,1,0,2,0,0,1,1,0,60,20,0,67,0,0,50,50,0,20,0,50,-21,20,33,0,60,33,100,40,67,0,40,0,100,2,1,1,40,33,50,4,3,1,80,100,50,1,0,1,20,0,50,0,0,0,60,33,100,40,67,0,3.60,3.67,3.50,2.6,2.33,3.00,60,20,20,0,0,0,0,0,80,0,0,1,0,2,0,0,0,1,0,0,0,3,0,0,1,1,1
Real Club Celta de Vigo,Celta de Vigo,2020/2021,Spain,5,2,3,0,1,1,0,2,0,2,2,1,1,1,1.5,0.67,13,13,14,13,3,7,-4,10,6,4,2,1,4,3,-2,-2,150,90,273,64,45,90,1,0,1,2,1,1,3,1,2,2,1,1,18,9,9,19,8,11,48,48,48,42,19,23,19,9,10,23,10,13,75,34,41,2,1,1,2,1,1,0,0,0,2,1,1,1,0,1,2,1,1,1.4,1.5,1.33,2,3,1.33,0.6,1,0.33,1.4,2,1,0.8,1,0.67,0.4,0.5,0.33,0.4,0.5,0.33,4,4,2,0,0,0,2,2,2,0,0,0,2,2,0,0,0,0,1,1,3,5,5,5,0,0,0,2,2,2,1,1,3,3,3,3,80,80,40,0,0,0,100,100,100,0,0,0,67,67,0,0,0,0,20,20,60,100,100,100,0,0,0,100,100,100,33,33,100,100,100,100,4,0,0,2,0,0,2,0,0,80,0,0,100,0,0,67,0,0,20,50,0,12,20,0,33,40,50,33,60,50,67,40,50,33,3,1,2,60,50,67,3,1,2,60,50,67,0,0,0,0,0,0,40,50,33,20,0,33,40,50,33,3.60,4.50,3.00,3.8,4,3.67,60,60,60,60,40,20,0,0,40,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1
Granada CF,Granada CF,2020/2021,Spain,4,2,2,0,2,2,0,1,0,1,1,0,1,1.75,3,0.5,10,3,18,10,6,8,-2,14,5,9,4,2,1,7,3,-5,60,45,90,45,180,26,1,1,0,3,1,2,0,0,0,3,2,1,11,5,6,7,3,4,52,52,52,25,10,15,14,3,11,11,7,4,47,18,29,2,1,1,2,1,1,0,0,0,1,0,1,2,2,0,1,0,1,1.25,1,1.5,3.5,2.5,4.5,1.5,2,1,2,0.5,3.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,4,4,2,1,1,1,2,2,1,0,0,0,2,2,1,1,1,1,0,0,2,3,3,3,0,0,1,2,2,2,0,0,1,1,1,1,100,100,50,25,25,25,100,100,50,0,0,0,100,100,50,50,50,50,0,0,50,75,75,75,0,0,50,100,100,100,0,0,50,50,50,50,3,1,0,1,1,0,2,0,0,75,25,0,50,50,0,100,0,0,50,100,0,54,25,50,0,75,50,100,0,0,0,75,100,50,2,1,1,50,50,50,2,1,1,50,50,50,1,1,0,25,50,0,25,0,50,50,100,0,25,0,50,2.75,2.50,3.00,1.75,1.5,2.00,50,25,0,0,0,0,0,0,125,1,0,1,0,1,1,0,1,1,1,0,1,0,2,0,1,1,2
Real Betis Balompié,Real Betis,2020/2021,Spain,5,2,3,0,3,1,2,0,0,0,2,1,1,1.8,1.5,2,2,9,3,2,7,6,1,13,7,6,4,3,3,3,1,0,64,45,90,75,60,90,3,1,2,1,1,0,1,0,1,3,1,2,28,13,15,19,10,9,55,51,58,57,22,35,29,11,18,28,11,17,60,28,32,5,4,1,4,1,3,1,3,-2,3,2,1,1,0,1,1,0,1,2,3,1.33,2.6,3.5,2,1.4,2,1,1.2,1.5,1,1.8,2.5,1.33,1,2,0.33,0.8,0.5,1,5,4,2,1,1,0,2,2,1,1,1,0,3,2,1,0,0,0,0,1,3,4,4,5,0,0,1,1,1,2,0,1,2,3,3,3,100,80,40,20,20,0,100,100,50,50,50,0,100,67,33,0,0,0,0,20,60,80,80,100,0,0,50,50,50,100,0,33,67,100,100,100,4,3,2,2,2,1,2,1,1,80,60,40,100,100,50,67,33,33,60,50,67,9,60,50,67,20,50,0,20,0,33,60,50,67,3,1,2,60,50,67,2,0,2,40,0,67,1,1,0,20,50,0,60,100,33,20,0,33,20,0,33,5.60,6.50,5.00,3.8,5,3.00,80,80,60,60,40,0,0,0,80,1,2,0,2,0,0,0,1,1,0,2,0,1,2,0,0,0,1
