timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1600453800,Sep 18 2020 - 6:30pm,complete,N/A,Bayern München,Schalke 04,Felix Zwayer,0.00,0.00,3.00,0.00,8,0,8,3,3,0,"4,19,31,47,59,69,71,81","",9,2,1,0,2,0,0,1,1,1,12,4,6,3,6,1,11,11,66,34,1.62,0.60,0.00,0,0,0,0,0,0,0,0.00,0.00,1.10,12.25,24.50,1.04,1.20,1.53,2.20,1.95,1.77,Allianz Arena (München)
1600522200,Sep 19 2020 - 1:30pm,complete,N/A,Eintracht Frankfurt,Arminia Bielefeld,Benjamin Brand,0.00,0.00,1.00,1.00,1,1,2,0,0,0,"62","51",14,3,2,0,2,0,1,1,1,1,15,13,8,6,7,7,14,12,63,37,1.99,1.47,0.00,0,0,0,0,0,0,0,0.00,0.00,1.74,4.20,4.60,1.18,1.59,2.50,4.40,1.57,2.20,Deutsche Bank Park (Frankfurt am Main)
1600522200,Sep 19 2020 - 1:30pm,complete,N/A,Union Berlin,Augsburg,Marco Fritz,0.00,0.00,0.00,3.00,1,3,4,1,0,1,"75","40,82,89",8,1,2,0,0,0,1,1,0,0,8,5,4,4,4,1,9,9,53,47,1.24,0.79,0.00,0,0,0,0,0,0,0,0.00,0.00,2.35,3.30,3.30,1.37,2.15,3.95,7.75,1.83,1.83,Stadion An der Alten Försterei (Berlin)
1600522200,Sep 19 2020 - 1:30pm,complete,N/A,Köln,Hoffenheim,Daniel Siebert,0.00,0.00,0.00,3.00,2,3,5,3,1,2,"22,86","3,45'3,90'2",1,6,3,0,4,0,1,2,1,3,10,11,4,6,6,5,11,13,42,58,1.21,1.39,0.00,0,0,0,0,0,0,0,0.00,0.00,2.65,3.45,2.75,1.19,1.62,2.55,4.55,1.51,2.35,RheinEnergieStadion (Köln)
1600522200,Sep 19 2020 - 1:30pm,complete,N/A,Werder Bremen,Hertha BSC,Sascha Stegemann,0.00,0.00,0.00,3.00,1,4,5,2,0,2,"69","42,45'2,62,90",7,4,2,0,0,0,0,2,0,0,15,8,8,3,7,5,12,16,43,57,1.82,0.97,0.00,0,0,0,0,0,0,0,0.00,0.00,2.60,3.40,2.85,1.24,1.77,2.95,5.55,1.61,2.15,wohninvest WESERSTADION (Bremen)
1600522200,Sep 19 2020 - 1:30pm,complete,N/A,Stuttgart,Freiburg,Benjamin Cortus,0.00,0.00,0.00,3.00,2,3,5,2,0,2,"71,81","8,26,47",7,2,2,0,2,0,2,0,1,1,17,3,6,3,11,0,12,17,59,41,1.89,0.67,0.00,0,0,0,0,0,0,0,0.00,0.00,2.20,3.80,3.25,1.18,1.61,2.55,4.45,1.53,2.30,Mercedes-Benz-Arena (Stuttgart)
1600533000,Sep 19 2020 - 4:30pm,complete,N/A,Borussia Dortmund,Borussia M'gladbach,Felix Brych,0.00,0.00,3.00,0.00,3,0,3,1,1,0,"35,54,77","",1,3,1,0,1,0,1,0,1,0,7,8,5,6,2,2,10,8,50,50,1.00,1.28,0.00,0,0,0,0,0,0,0,0.00,0.00,1.69,4.05,5.10,1.19,1.62,2.55,4.55,1.59,2.15,Signal-Iduna-Park (Dortmund)
1600608600,Sep 20 2020 - 1:30pm,complete,N/A,RB Leipzig,Mainz 05,Manuel Gräfe,0.00,0.00,3.00,0.00,3,1,4,2,2,0,"17,21,51","48",7,5,1,0,2,0,0,1,1,1,16,7,8,2,8,5,5,10,67,33,2.00,0.82,0.00,0,0,0,0,0,0,0,0.00,0.00,1.37,5.75,8.00,1.10,1.36,1.95,3.10,1.57,2.20,Red Bull Arena (Leipzig)
1600617600,Sep 20 2020 - 4:00pm,complete,N/A,Wolfsburg,Bayer Leverkusen,Sven Jablonski,0.00,0.00,1.00,1.00,0,0,0,0,0,0,"","",4,4,1,0,2,0,1,0,1,1,6,4,2,3,4,1,13,11,44,56,0.82,0.76,0.00,0,0,0,0,0,0,0,0.00,0.00,3.20,3.65,2.25,1.20,1.65,2.65,4.75,1.54,2.30,VOLKSWAGEN ARENA (Wolfsburg)
1601058600,Sep 25 2020 - 6:30pm,complete,4000,Hertha BSC,Eintracht Frankfurt,Bastian Dankert,0.00,0.00,0.00,3.00,1,3,4,2,0,2,"77","30,36,71",4,3,3,0,4,0,1,2,0,4,12,6,10,0,2,6,12,16,57,43,1.75,0.65,0.00,0,0,0,0,0,0,0,0.00,0.00,2.35,3.80,2.90,1.15,1.51,2.30,3.95,1.44,2.55,Olympiastadion Berlin (Berlin)
