team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Arsenal FC,Arsenal,2020/2021,England,11,5,6,0,4,2,2,1,0,1,6,3,3,1.18,1.2,1.17,15,12,15,15,10,14,-4,24,13,11,5,5,8,6,-3,-1,99,90,108,71,56,90,3,0,3,4,3,1,5,2,3,5,2,3,56,29,27,18,6,12,53,59,47,117,56,61,42,19,23,75,37,38,110,51,59,4,2,2,9,4,5,-5,-2,-3,1,0,1,5,3,2,5,2,3,0.73,0.6,0.83,2.18,2.6,1.83,0.91,1,0.83,1.27,1.6,1,1.18,1.2,1.17,0.36,0.4,0.33,0.82,0.8,0.83,10,7,6,1,0,0,5,4,4,0,0,0,5,3,2,1,0,0,1,4,5,10,11,11,0,1,1,5,5,5,1,3,4,5,6,6,91,64,55,9,0,0,100,80,80,0,0,0,83,50,33,17,0,0,9,36,45,91,100,100,0,20,20,100,100,100,17,50,67,83,100,100,7,4,2,3,2,1,4,2,1,64,36,18,60,40,20,67,33,17,36,40,33,-8,27,0,50,36,60,17,45,40,50,45,40,50,5,2,3,45,40,50,7,3,4,64,60,67,3,2,1,27,40,17,9,0,17,45,60,33,45,40,50,5.09,5.80,4.50,1.64,1.2,2.00,82,82,73,64,55,45,0,0,1.00,1.04,0.96,1.33,1.19,1.45,64,1,0,3,0,1,1,3,0,1,0,1,4,1,3,0,0,3,2,9,0,17,55,60,50,0
Tottenham Hotspur FC,Tottenham Hotspur,2020/2021,England,11,6,5,0,7,3,4,3,2,1,1,1,0,2.18,1.83,2.6,1,3,3,1,23,9,14,32,16,16,10,13,6,3,4,10,43,54,35,110,90,150,5,2,3,5,3,2,2,1,1,7,5,2,45,25,20,13,7,6,49,46,54,131,66,65,68,38,30,63,28,35,137,82,55,13,8,5,2,0,2,11,8,3,6,5,1,5,1,4,0,0,0,2.09,2.67,1.4,2.91,2.67,3.2,2.09,1.67,2.6,0.82,1,0.6,1.36,1.33,1.4,1.18,1.33,1,0.18,0,0.4,10,7,4,3,3,3,6,5,2,1,1,1,4,2,2,2,2,2,1,4,7,8,8,8,0,1,4,5,5,5,1,3,3,3,3,3,91,64,36,27,27,27,100,83,33,17,17,17,80,40,40,40,40,40,9,36,64,73,73,73,0,17,67,83,83,83,20,60,60,60,60,60,7,4,2,5,2,1,2,2,1,64,36,18,83,33,17,40,40,20,64,50,80,-21,45,33,60,45,50,40,18,17,20,64,83,40,9,6,3,82,100,60,4,1,3,36,17,60,2,0,2,18,0,40,55,83,20,45,17,80,0,0,0,4.09,4.17,4.00,1.18,1.17,1.20,73,73,64,45,27,27,18,18,1.29,1.25,1.34,1.24,1.29,1.17,100,5,3,2,1,3,1,2,4,2,1,0,0,1,0,2,0,0,5,27,33,20,9,17,0,9
Manchester City FC,Manchester City,2020/2021,England,10,5,5,1,5,3,2,3,1,2,2,1,1,1.8,2,1.6,7,4,12,7,17,11,6,28,17,11,11,6,6,5,5,1,53,41,75,82,75,90,4,3,1,5,2,3,1,0,1,7,4,3,66,25,41,14,8,6,64,64,63,168,77,91,63,30,33,105,47,58,111,61,50,12,8,4,4,2,2,8,6,2,6,3,3,2,2,0,2,0,2,2,2.2,1.8,2.8,3.4,2.2,1.7,2.2,1.2,1.1,1.2,1,1.6,2,1.2,1.2,1.6,0.8,0.4,0.4,0.4,10,8,3,3,2,1,5,4,2,2,2,1,5,4,1,1,0,0,0,2,7,7,8,9,0,1,3,3,3,4,0,1,4,4,5,5,100,80,30,30,20,10,100,80,40,40,40,20,100,80,20,20,0,0,0,20,70,70,80,90,0,20,60,60,60,80,0,20,80,80,100,100,10,5,1,5,4,1,5,1,0,100,50,10,100,80,20,100,20,0,50,60,40,10,40,60,20,50,40,60,10,0,20,70,80,60,6,3,3,60,60,60,2,0,2,20,0,40,2,2,0,20,40,0,60,60,60,20,40,0,20,0,40,6.60,5.00,8.20,1.4,1.6,1.20,80,70,70,70,40,40,10,10,1.93,1.78,2.08,0.82,0.85,0.79,60,3,2,4,2,1,1,2,0,2,1,2,0,1,0,3,1,2,1,30,20,40,20,20,20,10
Leicester City FC,Leicester City,2020/2021,England,11,5,6,0,7,2,5,0,0,0,4,3,1,1.91,1.2,2.5,4,11,2,4,21,15,6,36,14,22,6,15,8,7,-2,8,47,75,36,66,56,77,3,1,2,5,2,3,3,2,1,5,1,4,57,35,22,24,9,15,54,61,48,123,57,66,57,19,38,66,38,28,106,63,43,6,2,4,9,5,4,-3,-3,0,2,1,1,6,2,4,3,2,1,1.09,1,1.17,3.27,2.8,3.67,1.91,1.2,2.5,1.36,1.6,1.17,1.36,1.4,1.33,0.55,0.4,0.67,0.82,1,0.67,11,8,8,3,3,2,5,3,3,1,1,1,6,5,5,2,2,1,0,3,3,8,8,9,0,2,2,4,4,4,0,1,1,4,4,5,100,73,73,27,27,18,100,60,60,20,20,20,100,83,83,33,33,17,0,27,27,73,73,82,0,40,40,80,80,80,0,17,17,67,67,83,8,7,0,4,3,0,4,4,0,73,64,0,80,60,0,67,67,0,64,40,83,-28,27,20,33,45,40,50,27,40,17,45,20,67,5,2,3,45,40,50,6,3,3,55,60,50,3,1,2,27,20,33,18,20,17,55,40,67,27,40,17,5.18,7.00,3.67,2.18,1.8,2.50,91,82,82,64,55,36,27,9,1.24,1.21,1.27,1.33,1.29,1.37,73,1,2,2,1,1,3,1,5,5,2,1,3,2,2,0,0,1,4,0,0,0,36,60,17,9
West Bromwich Albion FC,West Bromwich Albion,2020/2021,England,11,6,5,0,1,1,0,3,2,1,7,3,4,0.55,0.83,0.2,19,15,19,19,8,23,-15,31,17,14,5,3,12,11,-7,-8,123,108,150,43,45,41,2,2,0,4,2,2,6,3,3,3,2,1,48,40,8,17,11,6,42,42,42,115,70,45,42,23,19,73,47,26,129,72,57,6,5,1,7,1,6,-1,4,-5,2,2,0,5,4,1,4,0,4,1,1.67,0.2,2.82,2.83,2.8,0.73,0.83,0.6,2.09,2,2.2,1.18,1,1.4,0.55,0.83,0.2,0.64,0.17,1.2,10,7,4,3,3,3,5,3,3,2,2,2,5,4,1,1,1,1,1,4,7,8,8,8,1,3,3,4,4,4,0,1,4,4,4,4,91,64,36,27,27,27,83,50,50,33,33,33,100,80,20,20,20,20,9,36,64,73,73,73,17,50,50,67,67,67,0,20,80,80,80,80,7,4,2,3,2,1,4,2,1,64,36,18,50,33,17,80,40,20,9,17,0,9,18,33,0,36,33,40,55,50,60,27,33,20,6,5,1,55,83,20,7,3,4,64,50,80,2,1,1,18,17,20,18,33,0,45,67,20,36,0,80,4.36,6.67,1.60,1.55,1.83,1.20,91,73,64,64,36,36,18,18,0.83,0.94,0.72,1.74,1.87,1.59,91,2,1,3,0,1,0,0,0,1,1,0,2,2,2,6,5,1,4,27,33,20,64,50,80,18
Crystal Palace FC,Crystal Palace,2020/2021,England,11,5,6,0,5,2,3,1,1,0,5,2,3,1.45,1.4,1.5,11,9,8,11,17,16,1,33,13,20,7,10,6,10,1,0,58,64,54,62,75,54,1,1,0,6,3,3,4,1,3,6,3,3,57,26,31,18,10,8,41,39,42,118,45,73,52,21,31,66,24,42,113,56,57,9,6,3,7,3,4,2,3,-1,5,3,2,3,1,2,3,1,2,1.64,2,1.33,3,2.6,3.33,1.55,1.4,1.67,1.45,1.2,1.67,1.45,1.8,1.17,0.82,1.2,0.5,0.64,0.6,0.67,11,9,6,4,2,1,5,4,2,1,1,0,6,5,4,3,1,1,0,2,5,7,9,10,0,1,3,4,4,5,0,1,2,3,5,5,100,82,55,36,18,9,100,80,40,20,20,0,100,83,67,50,17,17,0,18,45,64,82,91,0,20,60,80,80,100,0,17,33,50,83,83,9,4,2,4,2,2,5,2,0,82,36,18,80,40,40,83,33,0,45,40,50,4,9,20,0,55,60,50,36,20,50,55,60,50,6,3,3,55,60,50,4,1,3,36,20,50,3,2,1,27,40,17,45,60,33,27,20,33,27,20,33,5.18,5.20,5.17,1.64,2,1.33,100,91,82,73,45,36,27,0,1.04,0.90,1.15,1.49,1.41,1.55,91,3,3,2,0,1,2,3,1,2,2,1,3,1,1,0,1,2,5,9,20,0,45,40,50,0
Everton FC,Everton,2020/2021,England,11,5,6,0,5,2,3,2,1,1,4,2,2,1.55,1.4,1.67,9,8,6,9,20,18,2,38,22,16,12,8,10,8,2,0,49,38,68,55,45,68,1,0,1,8,4,4,2,1,1,5,2,3,52,25,27,20,11,9,52,50,54,138,63,75,68,33,35,70,30,40,120,55,65,12,6,6,10,5,5,2,1,1,4,2,2,5,2,3,2,1,1,1.55,1.6,1.5,3.45,4.4,2.67,1.82,2.4,1.33,1.64,2,1.33,2,2.2,1.83,1.09,1.2,1,0.91,1,0.83,11,9,7,5,3,2,5,4,4,4,2,2,6,5,3,1,1,0,0,2,4,6,8,9,0,1,1,1,3,3,0,1,3,5,5,6,100,82,64,45,27,18,100,80,80,80,40,40,100,83,50,17,17,0,0,18,36,55,73,82,0,20,20,20,60,60,0,17,50,83,83,100,8,8,5,4,4,3,4,4,2,73,73,45,80,80,60,67,67,33,45,40,50,5,9,0,17,73,80,67,18,20,17,45,40,50,3,1,2,27,20,33,4,1,3,36,20,50,7,4,3,64,80,50,36,40,33,45,40,50,18,20,17,4.73,5.00,4.50,1.82,2.2,1.50,91,64,55,36,36,36,18,0,1.39,1.44,1.34,1.47,1.65,1.32,118,2,3,1,3,3,3,3,0,2,3,1,3,2,2,1,1,2,3,18,20,17,36,40,33,0
Burnley FC,Burnley,2020/2021,England,10,5,5,1,1,1,0,3,1,2,6,3,3,0.6,0.8,0.4,18,16,18,18,5,18,-13,23,8,15,2,3,6,12,-4,-9,180,225,150,50,75,38,3,1,2,3,1,2,6,3,3,3,2,1,44,27,17,13,6,7,42,43,41,98,50,48,38,17,21,60,33,27,88,46,42,3,2,1,8,3,5,-5,-1,-4,1,1,0,5,2,3,4,2,2,0.8,1,0.6,2.3,1.6,3,0.5,0.4,0.6,1.8,1.2,2.4,1.1,1,1.2,0.3,0.4,0.2,0.8,0.6,1,8,5,4,3,2,1,5,2,1,0,0,0,3,3,3,3,2,1,2,5,6,7,8,9,0,3,4,5,5,5,2,2,2,2,3,4,80,50,40,30,20,10,100,40,20,0,0,0,60,60,60,60,40,20,20,50,60,70,80,90,0,60,80,100,100,100,40,40,40,40,60,80,7,3,1,4,1,0,3,2,1,70,30,10,80,20,0,60,40,20,10,20,0,7,30,20,40,30,20,40,60,60,60,30,40,20,4,2,2,40,40,40,7,3,4,70,60,80,2,1,1,20,20,20,10,20,0,50,40,60,40,40,40,4.40,5.40,3.40,1.3,1.2,1.40,100,80,70,60,30,20,10,10,0.78,0.76,0.79,1.54,1.38,1.71,40,3,0,0,0,0,0,1,1,0,2,2,2,0,3,0,6,3,0,30,20,40,60,60,60,10
Southampton FC,Southampton,2020/2021,England,11,5,6,0,6,3,3,2,0,2,3,2,1,1.82,1.8,1.83,5,6,5,5,21,17,4,38,18,20,10,11,8,9,2,2,47,45,49,58,56,60,4,3,1,6,2,4,1,0,1,8,5,3,39,24,15,16,9,7,54,55,53,129,70,59,64,37,27,65,33,32,137,70,67,13,7,6,5,1,4,8,6,2,6,4,2,3,1,2,2,0,2,1.91,2.6,1.33,3.45,3.6,3.33,1.91,2,1.83,1.55,1.6,1.5,1.64,1.6,1.67,1.18,1.4,1,0.45,0.2,0.67,11,9,5,4,4,3,5,5,2,2,2,1,6,4,3,2,2,2,0,2,6,7,7,8,0,0,3,3,3,4,0,2,3,4,4,4,100,82,45,36,36,27,100,100,40,40,40,20,100,67,50,33,33,33,0,18,55,64,64,73,0,0,60,60,60,80,0,33,50,67,67,67,10,6,2,5,3,0,5,3,2,91,55,18,100,60,0,83,50,33,55,60,50,1,36,60,17,55,40,67,9,0,17,73,100,50,7,4,3,64,80,50,2,0,2,18,0,33,3,1,2,27,20,33,55,80,33,27,20,33,18,0,33,3.55,4.80,2.50,1.45,1.8,1.17,82,73,64,55,27,18,9,9,1.27,1.50,1.08,1.31,1.00,1.57,64,2,1,2,4,4,3,1,0,4,0,2,2,0,2,2,2,3,4,18,0,33,27,40,17,0
Manchester United FC,Manchester United,2020/2021,England,10,5,5,1,6,1,5,1,1,0,3,3,0,1.9,0.8,3,6,17,1,6,19,17,2,36,13,23,3,16,10,7,-7,9,47,150,28,53,45,64,2,2,0,7,2,5,2,2,0,2,2,0,57,34,23,18,13,5,55,56,54,135,57,78,64,24,40,71,33,38,127,59,68,5,1,4,11,5,6,-6,-4,-2,1,0,1,5,3,2,4,2,2,0.8,0.6,1,3.6,2.6,4.6,1.9,0.6,3.2,1.7,2,1.4,1.6,1.2,2,0.5,0.2,0.8,1.1,1,1.2,9,7,7,7,4,1,4,2,2,2,1,1,5,5,5,5,3,0,1,3,3,3,6,9,1,3,3,3,4,4,0,0,0,0,2,5,90,70,70,70,40,10,80,40,40,40,20,20,100,100,100,100,60,0,10,30,30,30,60,90,20,60,60,60,80,80,0,0,0,0,40,100,7,5,2,2,1,1,5,4,1,70,50,20,40,20,20,100,80,20,60,20,100,-43,20,40,0,70,40,100,20,40,0,20,40,0,3,3,0,30,60,0,6,4,2,60,80,40,4,1,3,40,20,60,10,0,20,50,60,40,40,40,40,5.70,6.80,4.60,1.8,2.6,1.00,90,70,60,40,30,30,20,20,1.49,1.32,1.66,1.18,1.10,1.26,110,1,0,2,1,1,3,2,3,6,4,1,2,4,0,1,1,2,2,10,20,0,30,60,0,10
