team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
AS Monaco FC,Monaco,2020/2021,Monaco,13,7,6,0,7,5,2,2,2,0,4,0,4,1.77,2.43,1,5,2,15,5,24,18,6,42,26,16,18,6,8,10,10,-4,49,35,90,65,79,54,3,2,1,9,5,4,1,0,1,7,4,3,91,53,38,33,16,17,59,63,54,200,123,77,67,43,24,133,80,53,166,85,81,11,8,3,9,4,5,2,4,-2,7,4,3,2,1,1,4,2,2,1.77,1.86,1.67,3.23,3.71,2.67,1.85,2.57,1,1.38,1.14,1.67,1.54,1.71,1.33,0.85,1.14,0.5,0.69,0.57,0.83,13,11,10,5,3,0,7,7,6,4,2,0,6,4,4,1,1,0,0,2,3,8,10,13,0,0,1,3,5,7,0,2,2,5,5,6,100,85,77,38,23,0,100,100,86,57,29,0,100,67,67,17,17,0,0,15,23,62,77,100,0,0,14,43,71,100,0,33,33,83,83,100,11,5,3,6,4,2,5,1,1,85,38,23,86,57,29,83,17,17,54,71,33,28,23,29,17,69,71,67,8,0,17,54,57,50,9,5,4,69,71,67,5,2,3,38,29,50,1,1,0,8,14,0,54,57,50,15,14,17,31,29,33,7.00,7.57,6.33,2.54,2.29,2.83,77,77,69,54,54,38,31,23,1.63,1.97,1.30,1.04,0.78,1.29,100,2,1,5,1,3,5,3,2,2,2,1,2,2,3,2,4,0,2,15,29,0,31,0,67,8
Olympique Lyonnais,Olympique Lyonnais,2020/2021,France,13,6,7,0,7,4,3,5,2,3,1,0,1,2,2.33,1.71,3,3,3,3,24,11,13,35,18,17,14,10,4,7,10,3,49,39,63,106,134,90,4,2,2,9,4,5,2,1,1,5,2,3,86,50,36,37,19,18,56,60,53,210,103,107,71,35,36,139,68,71,173,89,84,14,9,5,6,3,3,8,6,2,5,3,2,6,2,4,2,1,1,1.62,1.83,1.43,2.69,3,2.43,1.85,2.33,1.43,0.85,0.67,1,1.54,2,1.14,1.08,1.5,0.71,0.46,0.5,0.43,11,10,7,4,3,0,5,5,4,2,2,0,6,5,3,2,1,0,2,3,6,9,10,13,1,1,2,4,4,6,1,2,4,5,6,7,85,77,54,31,23,0,83,83,67,33,33,0,86,71,43,29,14,0,15,23,46,69,77,100,17,17,33,67,67,100,14,29,57,71,86,100,9,5,3,5,3,2,4,2,1,69,38,23,83,50,33,57,29,14,54,67,43,24,31,33,29,69,67,71,15,17,14,38,33,43,7,3,4,54,50,57,6,2,4,46,33,57,4,2,2,31,33,29,38,50,29,46,33,57,15,17,14,6.62,8.33,5.14,2.85,3.17,2.57,77,77,69,62,62,38,38,31,1.85,2.01,1.71,1.18,0.94,1.39,85,0,3,3,2,8,1,3,3,1,0,2,1,2,2,2,1,1,0,38,33,43,8,0,14,23
Paris Saint-Germain FC,PSG,2020/2021,France,13,6,7,0,9,4,5,1,1,0,3,1,2,2.15,2.17,2.14,1,4,2,1,33,9,24,42,20,22,16,17,4,5,12,12,35,34,37,130,134,127,7,3,4,4,2,2,2,1,1,10,4,6,71,38,33,35,18,17,62,60,64,208,96,112,91,49,42,117,47,70,158,75,83,15,8,7,3,2,1,12,6,6,8,4,4,4,1,3,1,1,0,2.15,2.17,2.14,3.23,3.33,3.14,2.54,2.67,2.43,0.69,0.67,0.71,1.38,1.67,1.14,1.15,1.33,1,0.23,0.33,0.14,13,10,9,6,2,1,6,4,4,3,1,1,7,6,5,3,1,0,0,3,4,7,11,12,0,2,2,3,5,5,0,1,2,4,6,7,100,77,69,46,15,8,100,67,67,50,17,17,100,86,71,43,14,0,0,23,31,54,85,92,0,33,33,50,83,83,0,14,29,57,86,100,10,7,1,5,4,1,5,3,0,77,54,8,83,67,17,71,43,0,69,67,71,4,54,50,57,31,33,29,15,17,14,77,67,86,10,4,6,77,67,86,4,2,2,31,33,29,2,1,1,15,17,14,62,67,57,31,17,43,8,17,0,5.46,6.33,4.71,2.69,3,2.43,62,62,54,46,23,15,15,15,2.01,2.04,1.99,1.01,1.04,0.98,85,3,1,5,5,3,1,3,4,8,1,0,0,1,1,4,1,0,1,8,17,0,23,17,29,8
FC Girondins de Bordeaux,Bordeaux,2020/2021,France,13,7,6,0,5,3,2,4,3,1,4,1,3,1.46,1.71,1.17,10,5,10,10,13,13,0,26,8,18,6,7,2,11,4,-4,90,105,77,90,310,49,8,6,2,3,0,3,5,4,1,6,3,3,65,36,29,28,14,14,47,50,42,148,97,51,54,29,25,94,68,26,161,80,81,6,2,4,6,0,6,0,2,-2,3,1,2,7,6,1,3,0,3,1.23,1.29,1.17,2,1.14,3,1,0.86,1.17,1,0.29,1.83,0.92,0.29,1.67,0.46,0.29,0.67,0.46,0,1,10,8,5,3,0,0,4,3,1,0,0,0,6,5,4,3,0,0,3,5,8,10,13,13,3,4,6,7,7,7,0,1,2,3,6,6,77,62,38,23,0,0,57,43,14,0,0,0,100,83,67,50,0,0,23,38,62,77,100,100,43,57,86,100,100,100,0,17,33,50,100,100,6,4,2,1,1,0,5,3,2,46,31,15,14,14,0,83,50,33,38,43,33,29,62,86,33,23,0,50,38,57,17,46,43,50,10,7,3,77,100,50,9,6,3,69,86,50,1,0,1,8,0,17,23,14,33,54,86,17,23,0,50,5.00,5.14,4.83,2.15,2,2.33,92,85,77,62,46,38,31,31,1.00,1.19,0.77,1.28,1.21,1.36,54,1,1,3,1,0,1,0,1,5,1,0,4,1,2,3,2,0,0,31,43,17,31,14,50,15
AS Saint-Étienne,Saint-Étienne,2020/2021,France,13,6,7,0,3,2,1,3,1,2,7,3,4,0.92,1.17,0.71,15,14,18,15,12,20,-8,32,14,18,6,6,8,12,-2,-6,98,90,105,58,68,53,4,2,2,5,2,3,5,2,3,6,3,3,58,32,26,30,13,17,48,48,48,131,57,74,44,24,20,87,33,54,178,80,98,6,2,4,10,4,6,-4,-2,-2,5,2,3,2,1,1,6,3,3,1.31,1.17,1.43,2.46,2.33,2.57,0.92,1,0.86,1.54,1.33,1.71,1.23,1,1.43,0.46,0.33,0.57,0.77,0.67,0.86,12,11,5,3,1,0,6,5,2,1,0,0,6,6,3,2,1,0,1,2,8,10,12,13,0,1,4,5,6,6,1,1,4,5,6,7,92,85,38,23,8,0,100,83,33,17,0,0,86,86,43,29,14,0,8,15,62,77,92,100,0,17,67,83,100,100,14,14,57,71,86,100,11,2,1,5,1,0,6,1,1,85,15,8,83,17,0,86,14,14,23,33,14,12,31,33,29,38,33,43,38,33,43,46,50,43,7,3,4,54,50,57,7,4,3,54,67,43,1,0,1,8,0,14,38,33,43,15,17,14,46,50,43,4.46,5.33,3.71,2.31,2.17,2.43,85,77,62,54,31,15,8,0,0.95,0.95,0.94,1.19,1.13,1.23,54,2,1,1,2,0,3,1,1,1,3,2,2,3,0,1,2,3,4,23,17,29,54,50,57,0
Montpellier HSC,Montpellier,2020/2021,France,13,7,6,0,7,4,3,2,0,2,4,3,1,1.77,1.71,1.83,6,7,6,6,22,19,3,41,28,13,14,8,14,5,0,3,53,45,68,62,45,108,3,0,3,8,5,3,2,2,0,8,4,4,70,43,27,32,19,13,44,44,45,166,103,63,67,44,23,99,59,40,169,92,77,9,8,1,10,8,2,-1,0,-1,4,3,1,6,3,3,3,1,2,1.38,1.71,1,3.15,4,2.17,1.69,2,1.33,1.46,2,0.83,1.46,2.29,0.5,0.69,1.14,0.17,0.77,1.14,0.33,13,10,8,6,2,1,7,6,6,5,2,1,6,4,2,1,0,0,0,3,5,7,11,12,0,1,1,2,5,6,0,2,4,5,6,6,100,77,62,46,15,8,100,86,86,71,29,14,100,67,33,17,0,0,0,23,38,54,85,92,0,14,14,29,71,86,0,33,67,83,100,100,9,4,3,6,4,3,3,0,0,69,31,23,86,57,43,50,0,0,54,57,50,-10,23,0,50,62,71,50,15,29,0,62,57,67,7,3,4,54,43,67,7,2,5,54,29,83,3,3,0,23,43,0,31,43,17,46,43,50,23,14,33,5.38,6.14,4.50,2.46,2.71,2.17,77,77,69,62,46,38,31,31,1.31,1.54,1.05,1.37,1.46,1.28,69,1,4,0,2,5,3,3,1,3,2,1,4,2,1,2,2,2,3,15,0,33,31,43,17,23
FC Metz,Metz,2020/2021,France,13,7,6,0,4,3,1,4,1,3,5,3,2,1.23,1.43,1,13,9,14,13,13,14,-1,27,18,9,9,4,9,5,0,-1,90,70,134,83,70,108,2,1,1,7,4,3,4,2,2,4,2,2,65,47,18,29,12,17,45,51,38,148,93,55,67,42,25,81,51,30,154,82,72,7,4,3,8,6,2,-1,-2,1,2,1,1,8,3,5,3,3,0,1.08,0.86,1.33,2.08,2.57,1.5,1,1.29,0.67,1.08,1.29,0.83,1.15,1.43,0.83,0.54,0.57,0.5,0.62,0.86,0.33,13,9,3,2,0,0,7,6,3,2,0,0,6,3,0,0,0,0,0,4,10,11,13,13,0,1,4,5,7,7,0,3,6,6,6,6,100,69,23,15,0,0,100,86,43,29,0,0,100,50,0,0,0,0,0,31,77,85,100,100,0,14,57,71,100,100,0,50,100,100,100,100,10,5,0,7,3,0,3,2,0,77,38,0,100,43,0,50,33,0,31,43,17,5,15,14,17,54,57,50,31,29,33,31,29,33,5,1,4,38,14,67,6,3,3,46,43,50,5,3,2,38,43,33,15,14,17,62,43,83,23,43,0,5.00,6.71,3.00,2.23,1.71,2.83,100,85,69,69,54,15,15,8,1.27,1.59,0.94,1.37,1.13,1.61,46,1,2,1,1,2,1,1,3,1,0,3,2,2,2,1,1,0,3,31,14,50,38,43,33,8
FC Nantes,Nantes,2020/2021,France,13,6,7,0,3,2,1,4,2,2,6,2,4,1,1.33,0.71,14,13,17,14,14,22,-8,36,20,16,8,6,12,10,-4,-4,83,68,105,53,45,63,2,0,2,8,4,4,4,2,2,4,3,1,55,25,30,31,17,14,47,49,46,145,73,72,51,24,27,94,49,45,169,86,83,6,5,1,10,4,6,-4,1,-5,2,2,0,5,2,3,6,2,4,0.85,1.33,0.43,2.77,3.33,2.29,1.08,1.33,0.86,1.69,2,1.43,1.23,1.5,1,0.46,0.83,0.14,0.77,0.67,0.86,12,12,8,4,0,0,6,6,5,3,0,0,6,6,3,1,0,0,1,1,5,9,13,13,0,0,1,3,6,6,1,1,4,6,7,7,92,92,62,31,0,0,100,100,83,50,0,0,86,86,43,14,0,0,8,8,38,69,100,100,0,0,17,50,100,100,14,14,57,86,100,100,10,6,0,5,4,0,5,2,0,77,46,0,83,67,0,71,29,0,23,33,14,3,15,0,29,62,67,57,31,33,29,31,50,14,5,3,2,38,50,29,9,3,6,69,50,86,2,1,1,15,17,14,15,33,0,38,33,43,46,33,57,4.23,4.17,4.29,2.38,2.83,2.00,77,77,54,54,31,15,8,0,1.18,1.23,1.13,1.45,1.50,1.42,46,0,2,3,0,1,0,1,4,3,3,1,2,2,3,2,5,1,3,31,33,29,46,33,57,0
Lille OSC Métropole,Lille,2020/2021,France,13,7,6,0,7,5,2,5,2,3,1,0,1,2,2.43,1.5,2,1,8,2,24,9,15,33,18,15,15,9,3,6,12,3,49,42,60,130,209,90,6,4,2,7,3,4,0,0,0,10,7,3,66,42,24,28,13,15,54,55,54,191,116,75,79,47,32,112,69,43,172,89,83,8,5,3,5,1,4,3,4,-1,6,4,2,5,3,2,2,0,2,1.77,2.14,1.33,2.54,2.57,2.5,1.85,2.14,1.5,0.69,0.43,1,1,0.86,1.17,0.62,0.71,0.5,0.38,0.14,0.67,13,11,5,3,1,0,7,6,3,2,0,0,6,5,2,1,1,0,0,2,8,10,12,13,0,1,4,5,7,7,0,1,4,5,5,6,100,85,38,23,8,0,100,86,43,29,0,0,100,83,33,17,17,0,0,15,62,77,92,100,0,14,57,71,100,100,0,17,67,83,83,100,9,2,1,5,1,0,4,1,1,69,15,8,71,14,0,67,17,17,54,71,33,27,46,57,33,54,43,67,0,0,0,77,100,50,10,6,4,77,86,67,5,2,3,38,29,50,2,1,1,15,14,17,46,57,33,38,43,33,15,0,33,5.08,6.00,4.00,2.15,1.86,2.50,69,69,62,46,46,31,23,8,1.61,1.76,1.44,0.94,0.91,0.98,46,0,1,3,2,4,6,4,1,3,0,2,0,1,3,0,0,1,2,38,29,50,8,0,17,0
Stade Rennais FC,Rennes,2020/2021,France,13,7,6,0,5,3,2,4,1,3,4,3,1,1.46,1.43,1.5,9,10,9,9,19,18,1,37,19,18,9,10,10,8,-1,2,62,70,54,65,63,68,1,0,1,9,5,4,3,2,1,5,2,3,78,49,29,28,16,12,60,64,56,185,103,82,62,31,31,123,72,51,168,86,82,8,4,4,10,5,5,-2,-1,-1,5,2,3,2,2,0,6,3,3,1.31,1.14,1.5,2.85,2.71,3,1.46,1.29,1.67,1.38,1.43,1.33,1.38,1.29,1.5,0.62,0.57,0.67,0.77,0.71,0.83,13,12,8,2,1,1,7,6,5,1,0,0,6,6,3,1,1,1,0,1,5,11,12,12,0,1,2,6,7,7,0,0,3,5,5,5,100,92,62,15,8,8,100,86,71,14,0,0,100,100,50,17,17,17,0,8,38,85,92,92,0,14,29,86,100,100,0,0,50,83,83,83,12,4,2,6,2,1,6,2,1,92,31,15,86,29,14,100,33,17,38,43,33,-8,8,0,17,69,71,67,23,29,17,38,29,50,4,2,2,31,29,33,7,4,3,54,57,50,3,2,1,23,29,17,38,29,50,15,29,0,46,43,50,6.00,7.00,4.83,2.15,2.29,2.00,85,85,77,46,31,23,8,8,1.56,1.58,1.52,1.03,1.01,1.07,62,0,2,3,3,0,2,2,3,4,0,2,5,3,0,4,1,2,1,31,14,50,31,43,17,8
