team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
BVB 09 Borussia Dortmund,Borussia Dortmund,2020/2021,Germany,9,5,4,0,6,3,3,0,0,0,3,2,1,2,1.8,2.25,4,4,3,4,21,9,12,30,18,12,13,8,5,4,8,4,39,35,45,90,90,90,5,3,2,3,2,1,1,0,1,5,3,2,53,21,32,12,5,7,64,61,68,142,68,74,63,32,31,79,36,43,98,49,49,3,3,0,4,2,2,-1,1,-2,2,2,0,4,2,2,3,1,2,1.11,1.6,0.5,3.33,3.6,3,2.33,2.6,2,1,1,1,0.78,1,0.5,0.33,0.6,0,0.44,0.4,0.5,9,8,6,3,2,1,5,5,5,2,1,0,4,3,1,1,1,1,0,1,3,6,7,8,0,0,0,3,4,5,0,1,3,3,3,3,100,89,67,33,22,11,100,100,100,40,20,0,100,75,25,25,25,25,0,11,33,67,78,89,0,0,0,60,80,100,0,25,75,75,75,75,6,1,0,4,1,0,2,0,0,67,11,0,80,20,0,50,0,0,67,60,75,0,56,60,50,33,40,25,11,0,25,56,60,50,5,3,2,56,60,50,6,2,4,67,40,100,1,1,0,11,20,0,22,40,0,44,40,50,33,20,50,5.89,4.20,8.00,1.33,1,1.75,78,56,44,33,22,22,11,11,1.71,1.48,2.00,0.73,0.76,0.69,78,0,0,0,2,4,3,4,6,2,1,0,0,2,2,2,0,2,0,0,0,0,33,40,25,0
1. FSV Mainz 05,Mainz 05,2020/2021,Germany,9,5,4,0,1,0,1,2,2,0,6,3,3,0.56,0.4,0.75,16,16,16,16,11,22,-11,33,17,16,6,5,11,11,-5,-6,74,75,72,37,41,33,0,0,0,7,4,3,2,1,1,4,3,1,39,27,12,19,11,8,39,39,40,107,60,47,40,24,16,67,36,31,121,78,43,9,6,3,8,4,4,1,2,-1,4,3,1,1,1,0,4,1,3,1.44,2,0.75,3.67,3.4,4,1.22,1.2,1.25,2.44,2.2,2.75,1.89,2,1.75,1,1.2,0.75,0.89,0.8,1,9,8,7,7,2,0,5,4,3,3,2,0,4,4,4,4,0,0,0,1,2,2,7,9,0,1,2,2,3,5,0,0,0,0,4,4,100,89,78,78,22,0,100,80,60,60,40,0,100,100,100,100,0,0,0,11,22,22,78,100,0,20,40,40,60,100,0,0,0,0,100,100,9,5,3,5,3,2,4,2,1,100,56,33,100,60,40,100,50,25,11,0,25,4,0,0,0,78,80,75,22,20,25,44,60,25,2,1,1,22,20,25,4,1,3,44,20,75,3,3,0,33,60,0,44,60,25,11,20,0,44,20,75,4.33,5.40,3.00,2.11,2.2,2.00,78,78,67,67,56,56,33,11,0.98,1.04,0.90,1.73,1.64,1.85,100,2,1,1,4,2,0,1,0,0,0,3,2,2,2,1,5,3,4,22,40,0,67,60,75,11
FC Schalke 04,Schalke 04,2020/2021,Germany,9,4,5,0,0,0,0,3,2,1,6,2,4,0.33,0.5,0.2,18,15,18,18,6,28,-22,34,10,24,3,3,7,21,-4,-18,134,120,150,29,51,21,0,0,0,5,3,2,4,1,3,1,1,0,40,22,18,22,12,10,46,51,42,97,49,48,33,22,11,64,27,37,104,48,56,3,1,2,14,4,10,-11,-3,-8,1,1,0,2,1,1,6,2,4,0.56,1,0.2,3.78,2.5,4.8,0.67,0.75,0.6,3.11,1.75,4.2,1.89,1.25,2.4,0.33,0.25,0.4,1.56,1,2,9,9,6,5,2,1,4,4,1,1,0,0,5,5,5,4,2,1,0,0,3,4,7,8,0,0,3,3,4,4,0,0,0,1,3,4,100,100,67,56,22,11,100,100,25,25,0,0,100,100,100,80,40,20,0,0,33,44,78,89,0,0,75,75,100,100,0,0,0,20,60,80,7,6,4,3,2,0,4,4,4,78,67,44,75,50,0,80,80,80,0,0,0,28,0,0,0,56,75,40,44,25,60,11,25,0,3,2,1,33,50,20,6,3,3,67,75,60,2,0,2,22,0,40,11,25,0,22,25,20,67,50,80,4.44,5.50,3.60,2.44,3,2.00,100,89,89,56,44,22,11,0,0.86,1.05,0.70,1.91,1.82,1.97,89,0,1,1,1,0,0,1,0,2,3,2,2,5,3,6,2,4,1,33,50,20,67,50,80,0
SV Werder Bremen,Werder Bremen,2020/2021,Germany,9,4,5,0,2,1,1,5,2,3,2,1,1,1.22,1.25,1.2,11,10,8,11,13,15,-2,28,10,18,4,9,6,9,-2,0,63,90,50,54,60,50,1,1,0,8,3,5,0,0,0,6,2,4,29,11,18,22,8,14,41,49,34,108,49,59,45,18,27,63,31,32,114,55,59,8,2,6,7,3,4,1,-1,2,3,1,2,4,2,2,2,1,1,1.44,1.25,1.6,3.11,2.5,3.6,1.44,1,1.8,1.67,1.5,1.8,1.67,1.25,2,0.89,0.5,1.2,0.78,0.75,0.8,9,8,3,3,2,1,4,3,1,1,1,0,5,5,2,2,1,1,0,1,6,6,7,8,0,1,3,3,3,4,0,0,3,3,4,4,100,89,33,33,22,11,100,75,25,25,25,0,100,100,40,40,20,20,0,11,67,67,78,89,0,25,75,75,75,100,0,0,60,60,80,80,7,5,1,3,2,0,4,3,1,78,56,11,75,50,0,80,60,20,22,25,20,-11,11,25,0,89,75,100,0,0,0,67,50,80,5,2,3,56,50,60,3,2,1,33,50,20,3,1,2,33,25,40,33,25,40,44,50,40,22,25,20,3.22,2.75,3.60,2.44,2,2.80,56,56,33,33,22,0,0,0,1.04,1.04,1.04,1.53,1.22,1.77,78,1,1,3,2,2,2,1,0,1,0,1,3,1,2,0,4,1,3,56,50,60,22,25,20,0
FC Bayern München,Bayern München,2020/2021,Germany,9,4,5,0,7,3,4,1,1,0,1,0,1,2.44,2.5,2.4,1,3,1,1,31,13,18,44,22,22,18,13,4,9,14,4,26,20,35,63,90,50,2,2,0,7,2,5,0,0,0,5,3,2,55,32,23,16,8,8,63,65,62,157,82,75,72,39,33,85,43,42,88,40,48,15,6,9,5,1,4,10,5,5,6,3,3,1,0,1,2,1,1,2.11,2.25,2,4.89,5.5,4.4,3.44,4.5,2.6,1.44,1,1.8,2.22,1.75,2.6,1.67,1.5,1.8,0.56,0.25,0.8,9,9,8,7,6,2,4,4,3,3,3,2,5,5,5,4,3,0,0,0,1,2,3,7,0,0,1,1,1,2,0,0,0,1,2,5,100,100,89,78,67,22,100,100,75,75,75,50,100,100,100,80,60,0,0,0,11,22,33,78,0,0,25,25,25,50,0,0,0,20,40,100,9,7,4,4,2,1,5,5,3,100,78,44,100,50,25,100,100,60,78,75,80,31,22,50,0,78,50,100,0,0,0,56,75,40,5,3,2,56,75,40,1,1,0,11,25,0,3,0,3,33,0,60,67,75,60,11,0,20,22,25,20,6.11,8.00,4.60,1.78,2,1.60,89,56,56,44,33,22,22,11,2.12,2.50,1.82,1.12,0.86,1.32,111,3,2,2,4,6,4,2,3,5,0,2,1,0,2,2,0,2,4,11,25,0,11,0,20,11
Borussia VfL Mönchengladbach,Borussia M'gladbach,2020/2021,Germany,9,5,4,0,4,2,2,3,3,0,2,0,2,1.67,1.8,1.5,7,5,9,7,17,14,3,31,12,19,8,9,4,10,4,-1,48,56,40,58,113,36,1,1,0,7,4,3,1,0,1,8,5,3,43,21,22,17,8,9,53,53,54,123,64,59,59,28,31,64,36,28,93,52,41,8,3,5,6,1,5,2,2,0,3,2,1,4,3,1,2,0,2,1.44,1.8,1,3.44,2.4,4.75,1.89,1.6,2.25,1.56,0.8,2.5,1.56,0.8,2.5,0.89,0.6,1.25,0.67,0.2,1.25,9,8,5,4,3,1,5,4,1,1,1,0,4,4,4,3,2,1,0,1,4,5,6,8,0,1,4,4,4,5,0,0,0,1,2,3,100,89,56,44,33,11,100,80,20,20,20,0,100,100,100,75,50,25,0,11,44,56,67,89,0,20,80,80,80,100,0,0,0,25,50,75,6,4,3,2,1,1,4,3,2,67,44,33,40,20,20,100,75,50,44,40,50,17,11,20,0,78,80,75,11,0,25,89,100,75,5,4,1,56,80,25,4,3,1,44,60,25,3,1,2,33,20,50,33,40,25,44,60,25,22,0,50,4.78,4.20,5.50,1.89,1.6,2.25,67,67,56,33,22,22,11,11,1.45,1.36,1.57,1.17,1.25,1.09,78,1,5,1,1,0,4,0,3,2,0,1,2,2,1,1,1,2,4,33,60,0,22,0,50,0
Bayer 04 Leverkusen,Bayer Leverkusen,2020/2021,Germany,9,4,5,0,5,2,3,4,2,2,0,0,0,2.11,2,2.2,3,7,2,3,16,9,7,25,13,12,8,8,5,4,3,4,51,45,56,90,72,113,3,1,2,6,3,3,2,1,1,4,1,3,53,19,34,16,8,8,61,60,61,124,60,64,51,22,29,73,38,35,109,59,50,9,4,5,4,3,1,5,1,4,5,1,4,4,3,1,0,0,0,2.11,1.5,2.6,2.78,3.25,2.4,1.78,2,1.6,1,1.25,0.8,1.44,1.75,1.2,1,1,1,0.44,0.75,0.2,7,6,4,3,2,2,3,3,2,2,1,1,4,3,2,1,1,1,2,3,5,6,7,7,1,1,2,2,3,3,1,2,3,4,4,4,78,67,44,33,22,22,75,75,50,50,25,25,80,60,40,20,20,20,22,33,56,67,78,78,25,25,50,50,75,75,20,40,60,80,80,80,7,3,2,3,2,1,4,1,1,78,33,22,75,50,25,80,20,20,56,50,60,-7,33,25,40,67,75,60,22,25,20,44,25,60,6,2,4,67,50,80,2,1,1,22,25,20,3,2,1,33,50,20,56,25,80,44,75,20,0,0,0,5.89,4.75,6.80,1.78,2,1.60,78,67,33,33,11,11,11,11,1.40,1.45,1.37,0.78,0.81,0.76,56,1,2,4,0,2,0,2,2,3,1,2,1,0,1,1,0,2,1,44,50,40,0,0,0,11
1. FC Köln,Köln,2020/2021,Germany,9,5,4,0,1,0,1,3,1,2,5,4,1,0.67,0.2,1.25,15,17,13,15,10,15,-5,25,17,8,6,4,11,4,-5,0,81,75,90,54,41,90,0,0,0,8,5,3,1,0,1,2,0,2,34,17,17,23,11,12,42,43,40,97,53,44,38,22,16,59,31,28,113,57,56,4,2,2,9,8,1,-5,-6,1,1,0,1,4,1,3,4,4,0,0.78,0.2,1.5,2.78,3.4,2,1.11,1.2,1,1.67,2.2,1,1.44,2,0.75,0.44,0.4,0.5,1,1.6,0.25,9,8,5,2,1,0,5,5,4,2,1,0,4,3,1,0,0,0,0,1,4,7,8,9,0,0,1,3,4,5,0,1,3,4,4,4,100,89,56,22,11,0,100,100,80,40,20,0,100,75,25,0,0,0,0,11,44,78,89,100,0,0,20,60,80,100,0,25,75,100,100,100,7,5,1,5,4,1,2,1,0,78,56,11,100,80,20,50,25,0,11,0,25,-12,0,0,0,89,100,75,11,0,25,22,0,50,3,0,3,33,0,75,5,3,2,56,60,50,3,2,1,33,40,25,11,0,25,44,20,75,44,80,0,3.78,3.40,4.25,2.56,2.2,3.00,78,67,44,33,22,11,11,11,0.92,0.94,0.89,1.32,1.41,1.22,89,1,0,2,1,0,2,1,0,3,2,3,1,0,3,1,0,3,2,33,20,50,56,80,25,0
SC Freiburg,Freiburg,2020/2021,Germany,9,4,5,0,1,0,1,4,2,2,4,2,2,0.78,0.5,1,14,14,15,14,10,20,-10,30,14,16,5,5,9,11,-4,-6,81,72,90,41,40,41,0,0,0,7,4,3,2,0,2,6,3,3,37,26,11,16,5,11,48,57,41,107,67,40,47,22,25,60,45,15,97,36,61,6,3,3,10,7,3,-4,-4,0,1,0,1,4,2,2,4,2,2,0.78,0.5,1,3.33,3.5,3.2,1.11,1.25,1,2.22,2.25,2.2,1.78,2.5,1.2,0.67,0.75,0.6,1.11,1.75,0.6,9,9,5,4,2,1,4,4,2,2,1,1,5,5,3,2,1,0,0,0,4,5,7,8,0,0,2,2,3,3,0,0,2,3,4,5,100,100,56,44,22,11,100,100,50,50,25,25,100,100,60,40,20,0,0,0,44,56,78,89,0,0,50,50,75,75,0,0,40,60,80,100,8,6,2,4,4,2,4,2,0,89,67,22,100,100,50,80,40,0,11,0,20,6,0,0,0,78,100,60,22,0,40,67,75,60,2,0,2,22,0,40,4,1,3,44,25,60,4,3,1,44,75,20,11,0,20,44,50,40,44,50,40,4.11,6.50,2.20,1.78,1.25,2.20,67,56,44,33,11,11,11,0,1.24,1.61,0.94,1.54,1.44,1.62,89,2,2,1,1,1,0,2,1,0,1,0,3,4,3,0,3,3,3,44,50,40,44,50,40,0
VfL Wolfsburg,Wolfsburg,2020/2021,Germany,9,5,4,0,4,3,1,5,2,3,0,0,0,1.89,2.2,1.5,5,2,7,5,14,8,6,22,14,8,9,5,5,3,4,2,58,50,72,101,90,120,3,2,1,6,3,3,2,2,0,3,2,1,38,23,15,13,6,7,52,52,52,122,65,57,52,26,26,70,39,31,101,49,52,11,7,4,4,2,2,7,5,2,4,3,1,5,2,3,0,0,0,1.89,2.2,1.5,2.44,2.8,2,1.56,1.8,1.25,0.89,1,0.75,1.67,1.8,1.5,1.22,1.4,1,0.44,0.4,0.5,7,7,3,1,1,1,3,3,3,1,1,1,4,4,0,0,0,0,2,2,6,8,8,8,2,2,2,4,4,4,0,0,4,4,4,4,78,78,33,11,11,11,60,60,60,20,20,20,100,100,0,0,0,0,22,22,67,89,89,89,40,40,40,80,80,80,0,0,100,100,100,100,6,6,1,3,3,1,3,3,0,67,67,11,60,60,20,75,75,0,44,60,25,2,33,40,25,67,60,75,22,40,0,33,40,25,6,4,2,67,80,50,3,2,1,33,40,25,3,1,2,33,20,50,44,60,25,56,40,75,0,0,0,4.22,4.60,3.75,1.44,1.2,1.75,89,78,67,56,22,22,22,22,1.39,1.41,1.37,1.19,0.94,1.50,33,2,3,4,1,1,0,0,1,2,1,2,0,1,1,0,0,2,1,56,40,75,0,0,0,0
