team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
SSC Napoli,Napoli,2020/2021,Italy,10,5,5,0,7,3,4,0,0,0,3,2,1,2.1,1.8,2.4,3,6,3,3,24,10,14,34,21,13,15,9,6,4,9,5,38,30,50,90,75,113,5,2,3,3,2,1,2,1,1,6,3,3,66,41,25,13,8,5,55,52,58,160,93,67,70,45,25,90,48,42,79,34,45,8,6,2,5,1,4,3,5,-2,5,3,2,2,1,1,3,1,2,1.7,2,1.4,3.4,4.2,2.6,2.4,3,1.8,1,1.2,0.8,1.3,1.4,1.2,0.8,1.2,0.4,0.5,0.2,0.8,10,9,7,5,2,1,5,5,4,4,2,1,5,4,3,1,0,0,0,1,3,5,8,9,0,0,1,1,3,4,0,1,2,4,5,5,100,90,70,50,20,10,100,100,80,80,40,20,100,80,60,20,0,0,0,10,30,50,80,90,0,0,20,20,60,80,0,20,40,80,100,100,8,2,2,4,1,1,4,1,1,80,20,20,80,20,20,80,20,20,70,60,80,3,50,40,60,30,40,20,20,20,20,60,60,60,7,4,3,70,80,60,5,2,3,50,40,60,0,0,0,0,0,0,50,60,40,20,20,20,30,20,40,6.60,8.20,5.00,1.44,1.6,1.25,60,60,50,50,50,40,40,30,1.75,2.09,1.42,0.88,1.09,0.67,100,1,0,5,1,2,3,6,3,3,0,1,1,0,0,2,1,0,2,0,0,0,30,40,20,30
Juventus FC,Juventus,2020/2021,Italy,10,5,5,0,5,4,1,5,1,4,0,0,0,2,2.6,1.4,4,1,8,4,20,8,12,28,13,15,11,9,2,6,9,3,45,41,50,113,225,75,3,3,0,7,2,5,0,0,0,6,3,3,58,34,24,24,10,14,59,62,56,143,86,57,54,29,25,89,57,32,110,58,52,11,6,5,6,1,5,5,5,0,4,3,1,4,1,3,2,1,1,1.6,2,1.2,2.8,2.6,3,2,2.2,1.8,0.8,0.4,1.2,1.7,1.4,2,1.1,1.2,1,0.6,0.2,1,10,10,5,2,1,0,5,5,3,0,0,0,5,5,2,2,1,0,0,0,5,8,9,10,0,0,2,5,5,5,0,0,3,3,4,5,100,100,50,20,10,0,100,100,60,0,0,0,100,100,40,40,20,0,0,0,50,80,90,100,0,0,40,100,100,100,0,0,60,60,80,100,9,6,2,4,2,1,5,4,1,90,60,20,80,40,20,100,80,20,50,80,20,30,30,60,0,70,40,100,0,0,0,60,60,60,5,4,1,50,80,20,2,2,0,20,40,0,4,0,4,40,0,80,40,60,20,40,20,60,20,20,20,5.80,6.80,4.80,2.67,2.5,2.80,80,60,60,50,30,30,20,10,1.44,1.66,1.23,0.92,0.61,1.22,100,0,3,2,1,2,1,2,4,2,1,1,0,2,2,1,0,0,1,50,20,80,0,0,0,0
AS Roma,Roma,2020/2021,Italy,10,5,5,0,5,3,2,3,2,1,2,0,2,1.8,2.2,1.4,6,3,9,6,19,15,4,34,16,18,12,7,4,11,8,-4,47,38,64,60,113,41,4,3,1,4,2,2,3,1,2,5,3,2,60,34,26,17,13,4,49,47,52,168,87,81,63,32,31,105,55,50,122,66,56,10,8,2,7,2,5,3,6,-3,5,4,1,3,1,2,2,0,2,1.8,2.6,1,3.4,3.2,3.6,1.9,2.4,1.4,1.5,0.8,2.2,1.7,2,1.4,1,1.6,0.4,0.7,0.4,1,9,8,7,5,2,2,4,4,3,2,1,1,5,4,4,3,1,1,1,2,3,5,8,8,1,1,2,3,4,4,0,1,1,2,4,4,90,80,70,50,20,20,80,80,60,40,20,20,100,80,80,60,20,20,10,20,30,50,80,80,20,20,40,60,80,80,0,20,20,40,80,80,8,5,4,4,3,3,4,2,1,80,50,40,80,60,60,80,40,20,50,60,40,37,40,60,20,40,40,40,30,20,40,50,60,40,5,3,2,50,60,40,4,1,3,40,20,60,3,2,1,30,40,20,50,80,20,30,20,40,20,0,40,6.00,6.80,5.20,1.7,2.6,0.80,70,70,70,60,50,40,30,30,1.71,1.72,1.70,1.09,0.78,1.41,100,0,2,1,5,2,1,3,2,3,2,0,1,0,3,1,2,1,2,30,40,20,20,0,40,20
Cagliari Calcio,Cagliari,2020/2021,Italy,10,4,6,0,3,2,1,3,1,2,4,1,3,1.2,1.75,0.83,11,8,12,11,17,20,-3,37,14,23,8,9,6,14,2,-5,53,45,60,45,60,39,1,1,0,7,2,5,2,1,1,3,1,2,39,14,25,14,3,11,43,45,41,125,62,63,48,25,23,77,37,40,131,50,81,7,3,4,13,4,9,-6,-1,-5,2,1,1,3,1,2,5,2,3,0.9,1,0.83,3.7,3.5,3.83,1.7,2,1.5,2,1.5,2.33,2,1.75,2.17,0.7,0.75,0.67,1.3,1,1.5,10,10,5,5,4,2,4,4,2,2,1,1,6,6,3,3,3,1,0,0,5,5,6,8,0,0,2,2,3,3,0,0,3,3,3,5,100,100,50,50,40,20,100,100,50,50,25,25,100,100,50,50,50,17,0,0,50,50,60,80,0,0,50,50,75,75,0,0,50,50,50,83,8,5,3,3,1,1,5,4,2,80,50,30,75,25,25,83,67,33,30,50,17,22,10,25,0,70,50,83,20,25,17,30,25,33,2,1,1,20,25,17,6,3,3,60,75,50,4,1,3,40,25,50,20,25,17,30,25,33,50,50,50,3.90,3.50,4.17,1.4,0.75,1.83,80,80,70,50,20,20,0,0,1.24,1.42,1.12,1.90,1.43,2.22,150,0,3,2,1,4,3,1,2,1,3,0,3,3,5,2,0,1,3,30,25,33,40,25,50,0
Torino FC,Torino,2020/2021,Italy,10,5,5,0,1,0,1,3,2,1,6,3,3,0.6,0.4,0.8,18,18,14,18,17,24,-7,41,22,19,9,8,13,11,-4,-3,53,50,56,38,35,41,1,1,0,8,4,4,2,1,1,7,3,4,36,23,13,23,11,12,46,50,42,113,59,54,56,29,27,57,30,27,132,69,63,11,6,5,6,6,0,5,0,5,6,2,4,2,1,1,2,2,0,2,1.4,2.6,4.1,4.4,3.8,1.7,1.8,1.6,2.4,2.6,2.2,1.7,2.4,1,1.1,1.2,1,0.6,1.2,0,9,8,8,6,5,4,4,4,4,4,3,2,5,4,4,2,2,2,1,2,2,4,5,6,1,1,1,1,2,3,0,1,1,3,3,3,90,80,80,60,50,40,80,80,80,80,60,40,100,80,80,40,40,40,10,20,20,40,50,60,20,20,20,20,40,60,0,20,20,60,60,60,8,4,3,4,3,3,4,1,0,80,40,30,80,60,60,80,20,0,10,0,20,-1,10,20,0,80,80,80,20,20,20,70,60,80,7,2,5,70,40,100,2,1,1,20,20,20,3,3,0,30,60,0,60,40,80,20,20,20,20,40,0,3.60,4.60,2.60,2.3,2.2,2.40,70,60,30,20,20,20,20,20,1.07,1.16,0.99,1.51,1.40,1.61,150,3,2,3,1,3,0,1,3,1,0,4,1,0,2,2,3,4,8,30,40,20,60,60,60,0
FC Crotone,Crotone,2020/2021,Italy,10,5,5,0,0,0,0,2,1,1,8,4,4,0.2,0.2,0.2,20,20,20,20,6,24,-18,30,13,17,2,4,11,13,-9,-9,150,225,113,38,41,35,1,0,1,5,2,3,5,3,2,2,1,1,27,12,15,30,13,17,48,45,52,110,45,65,38,15,23,72,30,42,128,62,66,5,2,3,14,6,8,-9,-4,-5,0,0,0,2,1,1,8,4,4,0.2,0.2,0.2,3,2.6,3.4,0.6,0.4,0.8,2.4,2.2,2.6,1.9,1.6,2.2,0.5,0.4,0.6,1.4,1.2,1.6,9,8,5,4,3,1,5,5,2,1,0,0,4,3,3,3,3,1,1,2,5,6,7,9,0,0,3,4,5,5,1,2,2,2,2,4,90,80,50,40,30,10,100,100,40,20,0,0,80,60,60,60,60,20,10,20,50,60,70,90,0,0,60,80,100,100,20,40,40,40,40,80,9,4,3,5,2,1,4,2,2,90,40,30,100,40,20,80,40,40,0,0,0,-13,10,0,20,50,40,60,50,60,40,20,20,20,1,0,1,10,0,20,6,3,3,60,60,60,4,2,2,40,40,40,0,0,0,20,20,20,80,80,80,2.70,2.40,3.00,3,2.6,3.40,70,40,30,20,10,10,10,0,0.86,0.70,1.02,1.53,1.60,1.45,80,0,1,2,1,2,0,0,0,0,2,1,4,4,4,3,0,2,4,20,20,20,80,80,80,0
Genoa CFC,Genoa,2020/2021,Italy,10,5,5,0,1,1,0,3,0,3,6,4,2,0.6,0.6,0.6,19,17,17,19,9,19,-10,28,17,11,7,2,10,9,-3,-7,100,64,225,47,45,50,1,0,1,6,4,2,4,1,3,2,1,1,32,15,17,24,10,14,46,48,45,105,58,47,38,22,16,67,36,31,125,52,73,4,3,1,8,5,3,-4,-2,-2,1,1,0,4,1,3,5,3,2,0.7,0.8,0.6,2.8,3.4,2.2,0.9,1.4,0.4,1.9,2,1.8,1.2,1.6,0.8,0.4,0.6,0.2,0.8,1,0.6,9,8,5,3,2,1,5,5,4,2,1,0,4,3,1,1,1,1,1,2,5,7,8,9,0,0,1,3,4,5,1,2,4,4,4,4,90,80,50,30,20,10,100,100,80,40,20,0,80,60,20,20,20,20,10,20,50,70,80,90,0,0,20,60,80,100,20,40,80,80,80,80,7,3,1,4,2,1,3,1,0,70,30,10,80,40,20,60,20,0,10,20,0,26,10,0,20,60,80,40,40,20,60,20,20,20,3,1,2,30,20,40,8,4,4,80,80,80,2,1,1,20,20,20,10,20,0,40,20,60,50,60,40,3.20,3.00,3.40,2.4,2,2.80,70,60,60,50,30,20,10,10,0.82,0.93,0.72,1.52,1.45,1.58,80,2,0,1,1,2,0,0,1,2,3,0,3,1,3,1,4,2,2,30,0,60,60,80,40,10
AC Milan,AC Milan,2020/2021,Italy,10,5,5,0,8,3,5,2,2,0,0,0,0,2.6,2.2,3,1,4,1,1,23,9,14,32,17,15,12,11,5,4,7,7,39,38,41,100,90,113,4,3,1,6,2,4,0,0,0,9,4,5,60,35,25,23,10,13,54,56,52,174,100,74,64,35,29,110,65,45,141,71,70,11,5,6,4,3,1,7,2,5,7,2,5,2,2,0,1,1,0,2.3,1.6,3,3.2,3.4,3,2.3,2.4,2.2,0.9,1,0.8,1.5,1.6,1.4,1.1,1,1.2,0.4,0.6,0.2,10,10,7,3,1,1,5,5,3,2,1,1,5,5,4,1,0,0,0,0,3,7,9,9,0,0,2,3,4,4,0,0,1,4,5,5,100,100,70,30,10,10,100,100,60,40,20,20,100,100,80,20,0,0,0,0,30,70,90,90,0,0,40,60,80,80,0,0,20,80,100,100,9,4,2,4,3,1,5,1,1,90,40,20,80,60,20,100,20,20,80,60,100,-4,40,60,20,60,40,80,0,0,0,90,80,100,7,3,4,70,60,80,1,1,0,10,20,0,3,2,1,30,40,20,70,40,100,20,40,0,10,20,0,6.00,7.00,5.00,2.3,2,2.60,90,80,70,60,50,40,40,30,1.90,2.16,1.66,1.13,0.94,1.32,80,1,5,2,1,4,3,0,4,3,1,2,1,0,1,0,1,1,2,20,40,0,0,0,0,20
SS Lazio,Lazio,2020/2021,Italy,10,5,5,0,5,1,4,2,2,0,3,2,1,1.7,1,2.4,7,13,4,7,16,17,-1,33,16,17,6,10,10,7,-4,3,56,75,45,53,45,64,2,0,2,7,5,2,1,0,1,5,1,4,46,30,16,31,19,12,50,51,49,125,60,65,53,27,26,72,33,39,130,74,56,5,0,5,11,7,4,-6,-7,1,3,0,3,1,1,0,6,4,2,1,0.2,1.8,3.3,3.2,3.4,1.6,1.2,2,1.7,2,1.4,1.6,1.4,1.8,0.5,0,1,1.1,1.4,0.8,10,10,6,3,2,1,5,5,3,2,1,0,5,5,3,1,1,1,0,0,4,7,8,9,0,0,2,3,4,5,0,0,2,4,4,4,100,100,60,30,20,10,100,100,60,40,20,0,100,100,60,20,20,20,0,0,40,70,80,90,0,0,40,60,80,100,0,0,40,80,80,80,9,5,2,4,2,1,5,3,1,90,50,20,80,40,20,100,60,20,50,20,80,-22,20,0,40,70,100,40,10,0,20,50,20,80,4,1,3,40,20,60,6,5,1,60,100,20,1,0,1,10,0,20,30,0,60,10,20,0,60,80,40,4.60,6.00,3.20,3.1,3.8,2.40,90,70,40,30,20,20,20,20,1.32,1.35,1.29,1.48,1.42,1.54,80,1,2,1,1,1,4,0,3,3,1,3,2,2,3,0,2,2,2,20,40,0,30,40,20,20
Atalanta Bergamasca Calcio,Atalanta,2020/2021,Italy,9,4,5,1,4,1,3,2,1,1,3,2,1,1.56,1,2,9,16,6,9,18,16,2,34,15,19,7,11,8,8,-1,3,45,51,41,51,45,56,1,0,1,7,3,4,2,1,1,3,1,2,28,12,16,20,6,14,54,58,50,146,73,73,58,28,30,88,45,43,124,43,81,12,4,8,9,2,7,3,2,1,4,1,3,3,2,1,2,1,1,1.67,1.25,2,3.78,3.75,3.8,2,1.75,2.2,1.78,2,1.6,2.33,1.5,3,1.33,1,1.6,1,0.5,1.4,8,8,6,5,4,2,4,4,2,2,1,1,4,4,4,3,3,1,1,1,3,4,5,7,0,0,2,2,3,3,1,1,1,2,2,4,89,89,67,56,44,22,100,100,50,50,25,25,80,80,80,60,60,20,11,11,33,44,56,78,0,0,50,50,75,75,20,20,20,40,40,80,6,5,5,2,1,1,4,4,4,67,56,56,50,25,25,80,80,80,44,25,60,-13,11,0,20,78,75,80,22,25,20,33,25,40,4,2,2,44,50,40,5,3,2,56,75,40,3,1,2,33,25,40,44,25,60,33,50,20,22,25,20,3.11,3.00,3.20,2.22,1.5,2.80,56,44,22,22,11,11,0,0,1.89,2.11,1.72,1.18,1.06,1.27,133,2,1,3,3,3,1,2,2,1,0,2,4,1,2,4,1,0,2,22,25,20,33,50,20,0
