team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Villarreal CF,Villarreal,2020/2021,Spain,12,7,5,0,5,4,1,6,3,3,1,0,1,1.75,2.14,1.2,3,2,11,3,15,11,4,26,16,10,11,4,5,6,6,-2,72,57,113,98,127,75,4,2,2,7,5,2,4,1,3,5,3,2,46,29,17,23,11,12,56,58,54,138,100,38,57,40,17,81,60,21,125,82,43,8,5,3,10,4,6,-2,1,-3,3,2,1,6,3,3,3,2,1,1.25,1.29,1.2,2.17,2.29,2,1.25,1.57,0.8,0.92,0.71,1.2,1.5,1.29,1.8,0.67,0.71,0.6,0.83,0.57,1.2,9,9,5,3,0,0,6,6,3,1,0,0,3,3,2,2,0,0,3,3,7,9,12,12,1,1,4,6,7,7,2,2,3,3,5,5,75,75,42,25,0,0,86,86,43,14,0,0,60,60,40,40,0,0,25,25,58,75,100,100,14,14,57,86,100,100,40,40,60,60,100,100,8,6,3,5,3,1,3,3,2,67,50,25,71,43,14,60,60,40,42,57,20,25,33,29,40,58,71,40,33,14,60,42,43,40,5,3,2,42,43,40,7,4,3,58,57,60,4,2,2,33,29,40,25,29,20,50,43,60,25,29,20,3.83,4.14,3.40,1.92,1.57,2.40,57,50,42,42,17,17,0,0,1.30,1.59,0.89,1.03,0.96,1.12,92,2,3,1,1,1,0,5,2,0,1,3,0,4,3,0,0,0,0,50,43,60,8,0,20,0
FC Barcelona,FC Barcelona,2020/2021,Spain,10,5,5,1,4,3,1,2,1,1,4,1,3,1.4,2,0.8,9,5,15,9,20,11,9,31,21,10,15,5,6,5,9,0,45,30,90,82,75,90,3,2,1,5,3,2,2,0,2,4,3,1,79,35,44,20,7,13,63,58,68,153,79,74,69,37,32,84,42,42,76,39,37,10,9,1,6,3,3,4,6,-2,3,2,1,4,3,1,3,0,3,1.3,1.8,0.8,3.1,4.2,2,2,3,1,1.1,1.2,1,1.6,2.4,0.8,1,1.8,0.2,0.6,0.6,0.6,10,8,6,4,1,1,5,5,4,4,1,1,5,3,2,0,0,0,0,2,4,6,9,9,0,0,1,1,4,4,0,2,3,5,5,5,100,80,60,40,10,10,100,100,80,80,20,20,100,60,40,0,0,0,0,20,40,60,90,90,0,0,20,20,80,80,0,40,60,100,100,100,9,5,1,5,5,1,4,0,0,90,50,10,100,100,20,80,0,0,40,60,20,21,30,40,20,50,60,40,20,0,40,40,60,20,4,2,2,40,40,40,4,0,4,40,0,80,3,3,0,30,60,0,30,40,20,40,60,20,30,0,60,7.90,7.00,8.80,2,1.4,2.60,100,100,90,80,70,60,50,50,1.94,1.95,1.93,0.97,1.22,0.72,70,2,3,2,1,3,3,2,1,3,3,0,0,1,2,1,2,1,1,20,20,20,40,20,60,30
Real Madrid CF,Real Madrid,2020/2021,Spain,11,4,7,1,6,2,4,2,0,2,3,2,1,1.82,1.5,2,4,12,2,4,17,12,5,29,10,19,6,11,4,8,2,3,58,60,57,83,90,79,4,1,3,6,2,4,2,1,1,8,2,6,66,26,40,20,6,14,59,66,54,164,62,102,59,20,39,105,42,63,129,42,87,7,2,5,7,2,5,0,0,0,3,1,2,4,1,3,4,2,2,1.18,1,1.29,2.64,2.5,2.71,1.55,1.5,1.57,1.09,1,1.14,1.27,1,1.43,0.64,0.5,0.71,0.64,0.5,0.71,10,7,5,4,3,0,4,2,2,1,1,0,6,5,3,3,2,0,1,4,6,7,8,11,0,2,2,3,3,4,1,2,4,4,5,7,91,64,45,36,27,0,100,50,50,25,25,0,86,71,43,43,29,0,9,36,55,64,73,100,0,50,50,75,75,100,14,29,57,57,71,100,8,4,2,3,1,0,5,3,2,73,36,18,75,25,0,71,43,29,55,50,57,3,36,25,43,55,50,57,18,25,14,73,50,86,6,2,4,55,50,57,5,3,2,45,75,29,3,0,3,27,0,43,27,25,29,36,25,43,36,50,29,6.00,6.50,5.71,1.82,1.5,2.00,91,82,82,64,55,36,27,27,1.76,1.78,1.74,1.14,1.09,1.18,100,2,2,1,1,2,2,2,0,5,2,1,0,3,2,1,1,2,0,18,0,29,27,50,14,18
Sevilla FC,Sevilla FC,2020/2021,Spain,10,5,5,1,5,3,2,1,0,1,4,2,2,1.6,1.8,1.4,6,8,8,6,12,9,3,21,10,11,6,6,4,5,2,1,75,75,75,100,113,90,3,2,1,4,1,3,3,2,1,6,3,3,47,25,22,26,11,15,62,64,59,129,70,59,43,25,18,86,45,41,132,63,69,4,2,2,4,3,1,0,-1,1,1,0,1,8,4,4,1,1,0,1.1,0.8,1.4,2.1,2,2.2,1.2,1.2,1.2,0.9,0.8,1,0.8,1,0.6,0.4,0.4,0.4,0.4,0.6,0.2,10,4,3,2,1,1,5,1,1,1,1,1,5,3,2,1,0,0,0,6,7,8,9,9,0,4,4,4,4,4,0,2,3,4,5,5,100,40,30,20,10,10,100,20,20,20,20,20,100,60,40,20,0,0,0,60,70,80,90,90,0,80,80,80,80,80,0,40,60,80,100,100,4,2,1,2,1,1,2,1,0,40,20,10,40,20,20,40,20,0,50,60,40,6,30,40,20,40,20,60,30,40,20,60,60,60,7,3,4,70,60,80,7,4,3,70,80,60,2,1,1,20,20,20,10,0,20,80,80,80,10,20,0,4.70,5.00,4.40,2.6,2.2,3.00,60,40,40,40,40,10,10,10,1.33,1.54,1.12,0.93,0.66,1.19,60,3,0,0,0,1,1,1,0,6,2,0,0,1,2,1,0,1,2,10,0,20,40,40,40,10
Club Atlético de Madrid,Atlético Madrid,2020/2021,Spain,10,6,4,1,8,5,3,2,1,1,0,0,0,2.6,2.67,2.5,1,1,4,1,21,2,19,23,16,7,15,6,1,1,14,5,43,36,60,450,529,360,8,5,3,2,1,1,2,1,1,8,5,3,52,32,20,26,15,11,55,52,59,135,85,50,57,36,21,78,49,29,132,80,52,6,4,2,0,0,0,6,4,2,5,3,2,5,3,2,0,0,0,2,2,2,2.3,2.67,1.75,2.1,2.5,1.5,0.2,0.17,0.25,0.6,0.67,0.5,0.6,0.67,0.5,0,0,0,8,6,3,3,1,1,5,4,2,2,1,1,3,2,1,1,0,0,2,4,7,7,9,9,1,2,4,4,5,5,1,2,3,3,4,4,80,60,30,30,10,10,83,67,33,33,17,17,75,50,25,25,0,0,20,40,70,70,90,90,17,33,67,67,83,83,25,50,75,75,100,100,5,1,0,3,1,0,2,0,0,50,10,0,50,17,0,50,0,0,80,83,75,17,80,83,75,20,17,25,20,17,25,80,83,75,10,6,4,100,100,100,5,3,2,50,50,50,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,5.20,5.33,5.00,2.6,2.5,2.75,80,80,70,50,40,40,20,10,1.45,1.55,1.33,1.09,1.23,0.89,30,3,0,1,0,4,2,2,3,6,0,0,0,0,0,0,0,1,1,20,17,25,0,0,0,10
Deportivo Alavés,Deportivo Alavés,2020/2021,Spain,12,7,5,0,3,1,2,5,4,1,4,2,2,1.17,1,1.4,12,10,9,12,11,13,-2,24,10,14,4,7,6,7,-2,0,98,158,64,83,105,64,4,3,1,6,2,4,4,4,0,6,3,3,35,17,18,31,17,14,40,39,41,110,64,46,37,18,19,73,46,27,165,101,64,7,3,4,4,1,3,3,2,1,4,2,2,6,4,2,2,1,1,1.5,1.43,1.6,2,1.43,2.8,0.92,0.57,1.4,1.08,0.86,1.4,0.92,0.57,1.4,0.58,0.43,0.8,0.33,0.14,0.6,10,8,4,2,0,0,5,3,1,1,0,0,5,5,3,1,0,0,2,4,8,10,12,12,2,4,6,6,7,7,0,0,2,4,5,5,83,67,33,17,0,0,71,43,14,14,0,0,100,100,60,20,0,0,17,33,67,83,100,100,29,57,86,86,100,100,0,0,40,80,100,100,7,3,1,3,1,0,4,2,1,58,25,8,43,14,0,80,40,20,25,14,40,-9,33,43,20,50,29,80,33,57,0,50,43,60,9,6,3,75,86,60,6,5,1,50,71,20,2,0,2,17,0,40,33,29,40,50,57,40,17,14,20,2.92,2.43,3.60,2.58,2.43,2.80,57,57,42,33,25,25,25,17,0.70,0.69,0.71,1.50,1.52,1.47,42,3,1,1,2,1,1,0,1,1,1,1,0,1,1,1,2,3,3,42,57,20,33,29,40,17
SD Eibar,SD Eibar,2020/2021,Spain,12,7,5,0,3,0,3,5,4,1,4,3,1,1.17,0.57,2,11,19,5,11,8,9,-1,17,6,11,1,7,5,4,-4,3,134,643,64,120,127,113,6,4,2,4,1,3,6,6,0,5,0,5,50,35,15,26,16,10,50,57,40,133,89,44,52,31,21,81,58,23,178,93,85,3,0,3,5,4,1,-2,-4,2,2,0,2,7,4,3,3,3,0,1.08,0.57,1.8,1.42,0.86,2.2,0.67,0.14,1.4,0.75,0.71,0.8,0.67,0.57,0.8,0.25,0,0.6,0.42,0.57,0.2,8,6,3,0,0,0,3,2,1,0,0,0,5,4,2,0,0,0,4,6,9,12,12,12,4,5,6,7,7,7,0,1,3,5,5,5,67,50,25,0,0,0,43,29,14,0,0,0,100,80,40,0,0,0,33,50,75,100,100,100,57,71,86,100,100,100,0,20,60,100,100,100,6,2,0,3,1,0,3,1,0,50,17,0,43,14,0,60,20,0,25,0,60,-37,50,57,40,33,14,60,50,86,0,42,0,100,8,4,4,67,57,80,9,7,2,75,100,40,1,0,1,8,0,20,17,0,40,58,57,60,25,43,0,4.17,5.00,3.00,2.17,2.29,2.00,83,50,33,17,17,17,17,8,1.22,1.43,0.93,1.21,1.03,1.46,58,0,0,1,1,4,1,0,0,1,0,0,0,5,0,0,2,1,1,42,57,20,33,43,20,8
Real Club Celta de Vigo,Celta de Vigo,2020/2021,Spain,12,5,7,0,3,2,1,4,0,4,5,3,2,1.08,1.2,1,16,17,10,16,13,20,-7,33,17,16,6,7,11,9,-5,-2,83,75,90,54,41,70,2,0,2,7,3,4,4,2,2,3,1,2,48,27,21,41,20,21,50,52,49,130,69,61,54,26,28,76,43,33,188,80,108,6,2,4,9,5,4,-3,-3,0,2,1,1,6,1,5,4,3,1,1,0.8,1.14,2.75,3.4,2.29,1.08,1.2,1,1.67,2.2,1.29,1.25,1.4,1.14,0.5,0.4,0.57,0.75,1,0.57,11,11,5,3,2,1,5,5,4,2,1,0,6,6,1,1,1,1,1,1,7,9,10,11,0,0,1,3,4,5,1,1,6,6,6,6,92,92,42,25,17,8,100,100,80,40,20,0,86,86,14,14,14,14,8,8,58,75,83,92,0,0,20,60,80,100,14,14,86,86,86,86,9,4,1,5,2,0,4,2,1,75,33,8,100,40,0,57,29,14,25,40,14,-11,17,0,29,58,60,57,33,40,29,25,20,29,5,1,4,42,20,57,7,3,4,58,60,57,3,1,2,25,20,29,17,20,14,50,20,71,33,60,14,4.00,5.40,3.00,3.42,4,3.00,50,50,42,33,25,17,0,0,1.12,1.38,0.94,1.17,0.97,1.32,75,1,1,1,1,2,2,1,2,2,3,1,3,1,3,2,1,1,5,33,0,57,42,60,29,0
Granada CF,Granada CF,2020/2021,Spain,11,6,5,0,4,3,1,3,2,1,4,1,3,1.36,1.83,0.8,7,4,19,7,14,20,-6,34,18,16,10,4,8,12,2,-8,71,54,113,49,68,38,3,2,1,7,4,3,1,0,1,7,4,3,28,21,7,27,17,10,44,47,40,112,70,42,43,27,16,69,43,26,131,68,63,6,3,3,8,4,4,-2,-1,-1,2,0,2,6,5,1,3,1,2,1.09,0.83,1.4,3.09,3,3.2,1.27,1.67,0.8,1.82,1.33,2.4,1.27,1.17,1.4,0.55,0.5,0.6,0.73,0.67,0.8,11,9,5,4,2,2,6,5,3,2,1,1,5,4,2,2,1,1,0,2,6,7,9,9,0,1,3,4,5,5,0,1,3,3,4,4,100,82,45,36,18,18,100,83,50,33,17,17,100,80,40,40,20,20,0,18,55,64,82,82,0,17,50,67,83,83,0,20,60,60,80,80,9,5,0,4,3,0,5,2,0,82,45,0,67,50,0,100,40,0,36,50,20,29,27,33,20,64,67,60,9,0,20,64,67,60,4,2,2,36,33,40,5,3,2,45,50,40,4,3,1,36,50,20,18,0,40,55,83,20,27,17,40,2.55,3.50,1.40,2.45,2.83,2.00,64,45,18,18,9,9,9,9,0.92,1.08,0.72,1.44,1.28,1.62,100,2,0,2,0,3,1,1,1,4,1,0,5,1,4,1,1,1,6,27,33,20,36,17,60,9
Real Betis Balompié,Real Betis,2020/2021,Spain,12,5,7,0,5,2,3,0,0,0,7,3,4,1.25,1.2,1.29,8,14,6,8,14,23,-9,37,16,21,7,7,9,14,-2,-7,77,64,90,47,50,45,4,1,3,3,2,1,5,2,3,5,2,3,59,26,33,33,16,17,56,56,57,150,64,86,61,26,35,89,38,51,143,64,79,8,6,2,8,2,6,0,4,-4,4,3,1,5,1,4,3,1,2,1.42,2,1,3.08,3.2,3,1.17,1.4,1,1.92,1.8,2,1.33,1.6,1.14,0.67,1.2,0.29,0.67,0.4,0.86,12,11,6,4,2,1,5,5,3,2,1,0,7,6,3,2,1,1,0,1,6,8,10,11,0,0,2,3,4,5,0,1,4,5,6,6,100,92,50,33,17,8,100,100,60,40,20,0,100,86,43,29,14,14,0,8,50,67,83,92,0,0,40,60,80,100,0,14,57,71,86,86,8,6,2,4,3,1,4,3,1,67,50,17,80,60,20,57,43,14,42,40,43,13,33,20,43,25,40,14,42,40,43,42,40,43,7,3,4,58,60,57,7,2,5,58,40,71,2,1,1,17,20,14,33,60,14,42,20,57,25,20,29,4.92,5.20,4.71,2.75,3.2,2.43,83,75,50,42,33,17,17,8,1.38,1.37,1.38,1.16,1.01,1.27,75,2,2,1,2,1,1,0,3,2,1,2,1,2,6,3,2,1,5,0,0,0,58,60,57,0
