team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Arsenal FC,Arsenal,2019/2020,England,28,15,13,7,9,7,2,13,5,8,6,3,3,1.43,1.73,1.08,9,6,12,9,40,36,4,76,46,30,26,14,20,16,6,-2,63,52,83,70,68,73,7,4,3,18,10,8,5,1,4,12,9,3,174,105,69,69,36,33,49,50,49,327,191,136,135,81,54,192,110,82,243,138,105,17,13,4,20,12,8,-3,1,-4,8,6,2,9,5,4,11,4,7,1.18,1.53,0.77,2.71,3.07,2.31,1.43,1.73,1.08,1.29,1.33,1.23,1.32,1.67,0.92,0.61,0.87,0.31,0.71,0.8,0.62,26,22,15,11,2,0,15,13,10,6,2,0,11,9,5,5,0,0,2,6,13,17,26,28,0,2,5,9,13,15,2,4,8,8,13,13,93,79,54,39,7,0,100,87,67,40,13,0,85,69,38,38,0,0,7,21,46,61,93,100,0,13,33,60,87,100,15,31,62,62,100,100,22,9,5,13,7,4,9,2,1,79,32,18,87,47,27,69,15,8,32,47,15,9,25,27,23,64,67,62,18,7,31,43,60,23,13,7,6,46,47,46,15,5,10,54,33,77,6,5,1,21,33,8,29,40,15,32,33,31,39,27,54,6.21,7.00,5.31,2.46,2.4,2.54,86,82,75,61,56,50,46,36,68,4,4,4,2,5,7,5,2,7,4,2,3,6,6,5,1,4,5
Tottenham Hotspur FC,Tottenham Hotspur,2019/2020,England,29,14,15,6,11,8,3,8,2,6,10,4,6,1.41,1.86,1,8,5,11,8,47,40,7,87,42,45,27,20,15,25,12,-5,56,47,68,65,84,54,4,3,1,20,8,12,6,3,3,14,8,6,145,79,66,69,31,38,43,44,42,381,194,187,163,69,94,218,125,93,229,104,125,24,13,11,20,9,11,4,4,0,12,6,6,5,2,3,12,6,6,1.41,1.43,1.4,3,3,3,1.62,1.93,1.33,1.38,1.07,1.67,1.52,1.57,1.47,0.83,0.93,0.73,0.69,0.64,0.73,28,25,19,10,5,0,14,12,8,5,3,0,14,13,11,5,2,0,1,4,10,19,24,29,0,2,6,9,11,14,1,2,4,10,13,15,97,86,66,34,17,0,100,86,57,36,21,0,93,87,73,33,13,0,3,14,34,66,83,100,0,14,43,64,79,100,7,13,27,67,87,100,25,11,7,12,5,4,13,6,3,86,38,24,86,36,29,87,40,20,38,57,20,21,14,21,7,69,57,80,21,21,20,48,57,40,12,6,6,41,43,40,15,8,7,52,57,47,6,2,4,21,14,27,41,43,40,17,14,20,41,43,40,5.00,5.64,4.40,2.38,2.21,2.53,93,79,59,55,41,34,24,17,72,6,1,7,5,8,5,3,5,7,5,6,2,5,4,3,5,6,4
Manchester City FC,Manchester City,2019/2020,England,28,13,15,7,18,9,9,3,2,1,7,2,5,2.04,2.23,1.87,2,3,2,2,68,31,37,99,45,54,33,35,12,19,21,16,37,35,39,81,98,71,10,5,5,15,7,8,3,1,2,18,7,11,232,126,106,57,23,34,51,53,49,526,267,259,213,102,111,313,165,148,213,93,120,31,14,17,15,7,8,16,7,9,13,6,7,9,4,5,6,3,3,1.71,1.69,1.73,3.54,3.46,3.6,2.43,2.54,2.33,1.11,0.92,1.27,1.64,1.62,1.67,1.11,1.08,1.13,0.54,0.54,0.53,28,26,20,14,6,2,13,13,10,5,1,1,15,13,10,9,5,1,0,2,8,14,22,26,0,0,3,8,12,12,0,2,5,6,10,14,100,93,71,50,21,7,100,100,77,38,8,8,100,87,67,60,33,7,0,7,29,50,79,93,0,0,23,62,92,92,0,13,33,40,67,93,21,14,8,9,6,4,12,8,4,75,50,29,69,46,31,80,53,27,64,69,60,11,36,38,33,54,54,53,11,8,13,64,54,73,16,7,9,57,54,60,12,7,5,43,54,33,7,3,4,25,23,27,46,46,47,32,31,33,21,23,20,8.29,9.69,7.07,2.04,1.77,2.27,82,75,71,50,39,36,36,28,104,4,7,10,4,10,7,7,6,13,1,3,8,2,2,3,1,3,8
Leicester City FC,Leicester City,2019/2020,England,29,15,14,6,16,9,7,5,3,2,8,3,5,1.83,2,1.64,3,2,4,3,58,28,30,86,45,41,30,28,15,13,15,15,45,45,45,93,90,97,10,5,5,15,8,7,6,3,3,16,7,9,168,97,71,33,13,20,45,48,42,410,215,195,179,83,96,231,132,99,242,119,123,22,9,13,14,7,7,8,2,6,9,4,5,13,8,5,7,3,4,1.38,1.33,1.43,2.97,3,2.93,2,2,2,0.97,1,0.93,1.24,1.07,1.43,0.76,0.6,0.93,0.48,0.47,0.5,27,24,18,9,4,1,14,13,10,6,2,0,13,11,8,3,2,1,2,5,11,20,25,28,1,2,5,9,13,15,1,3,6,11,12,13,93,83,62,31,14,3,93,87,67,40,13,0,93,79,57,21,14,7,7,17,38,69,86,97,7,13,33,60,87,100,7,21,43,79,86,93,20,10,4,10,5,1,10,5,3,69,34,14,67,33,7,71,36,21,55,60,50,-2,34,33,36,52,53,50,21,20,21,55,47,64,16,8,8,55,53,57,15,8,7,52,53,50,7,4,3,24,27,21,31,27,36,45,53,36,24,20,29,5.79,6.47,5.07,1.14,0.87,1.43,93,90,86,55,34,28,24,10,90,1,6,2,8,6,8,9,6,12,2,2,5,2,5,1,3,6,2
Crystal Palace FC,Crystal Palace,2019/2020,England,29,15,14,6,10,6,4,9,4,5,10,5,5,1.34,1.47,1.21,11,12,8,11,26,32,-6,58,25,33,12,14,13,19,-1,-5,100,113,90,82,103,66,9,6,3,12,5,7,10,5,5,11,6,5,138,86,52,50,30,20,38,37,40,315,192,123,125,71,54,190,121,69,249,127,122,7,3,4,12,4,8,-5,-1,-4,6,3,3,16,9,7,7,3,4,1.17,1.2,1.14,2,1.67,2.36,0.9,0.8,1,1.1,0.87,1.36,0.66,0.47,0.86,0.24,0.2,0.29,0.41,0.27,0.57,27,19,8,4,0,0,14,9,2,0,0,0,13,10,6,4,0,0,2,10,21,25,29,29,1,6,13,15,15,15,1,4,8,10,14,14,93,66,28,14,0,0,93,60,13,0,0,0,93,71,43,29,0,0,7,34,72,86,100,100,7,40,87,100,100,100,7,29,57,71,100,100,13,3,2,6,1,0,7,2,2,45,10,7,40,7,0,50,14,14,34,40,29,5,31,40,21,41,33,50,34,33,36,38,40,36,22,12,10,76,80,71,22,12,10,76,80,71,1,0,1,3,0,7,21,20,21,55,60,50,24,20,29,4.76,5.73,3.71,1.72,2,1.43,93,83,72,62,52,45,38,31,45,0,0,2,3,4,3,3,4,7,4,2,3,1,5,7,0,2,8
Everton FC,Everton,2019/2020,England,29,14,15,6,10,7,3,7,4,3,12,3,9,1.28,1.79,0.8,12,7,15,12,37,46,-9,83,34,49,19,18,15,31,4,-13,70,66,75,57,84,43,6,5,1,18,7,11,7,3,4,14,9,5,176,94,82,59,23,36,43,46,40,383,203,180,157,86,71,226,117,109,273,123,150,23,10,13,18,4,14,5,6,-1,11,7,4,14,6,8,4,1,3,1.62,1.93,1.33,2.86,2.43,3.27,1.28,1.36,1.2,1.59,1.07,2.07,1.41,1,1.8,0.79,0.71,0.87,0.62,0.29,0.93,27,23,15,11,5,1,13,10,5,5,1,0,14,13,10,6,4,1,2,6,14,18,24,28,1,4,9,9,13,14,1,2,5,9,11,14,93,79,52,38,17,3,93,71,36,36,7,0,93,87,67,40,27,7,7,21,48,62,83,97,7,29,64,64,93,100,7,13,33,60,73,93,22,10,4,10,3,1,12,7,3,76,34,14,71,21,7,80,47,20,34,50,20,20,21,36,7,62,50,73,24,21,27,48,64,33,17,10,7,59,71,47,10,5,5,34,36,33,9,3,6,31,21,40,38,50,27,48,43,53,14,7,20,6.07,6.71,5.47,2.03,1.64,2.40,90,76,66,55,48,38,34,24,66,6,5,3,3,7,2,1,5,5,3,3,5,5,4,8,3,7,8
Burnley FC,Burnley,2019/2020,England,29,15,14,6,11,7,4,6,2,4,12,6,6,1.34,1.53,1.14,10,10,10,10,34,40,-6,74,39,35,20,14,19,21,1,-7,77,68,90,65,71,60,11,7,4,11,5,6,9,4,5,13,7,6,135,81,54,58,26,32,40,39,42,313,186,127,118,74,44,195,112,83,255,126,129,10,5,5,22,10,12,-12,-5,-7,5,3,2,13,5,8,11,7,4,0.97,0.93,1,2.55,2.6,2.5,1.17,1.33,1,1.38,1.27,1.5,1.1,1,1.21,0.34,0.33,0.36,0.76,0.67,0.86,27,23,16,4,3,1,14,12,8,2,2,1,13,11,8,2,1,0,2,6,13,25,26,28,1,3,7,13,13,14,1,3,6,12,13,14,93,79,55,14,10,3,93,80,53,13,13,7,93,79,57,14,7,0,7,21,45,86,90,97,7,20,47,87,87,93,7,21,43,86,93,100,19,11,2,10,5,0,9,6,2,66,38,7,67,33,0,64,43,14,38,47,29,11,38,47,29,38,33,43,31,27,36,45,47,43,15,8,7,52,53,50,21,12,9,72,80,64,3,0,3,10,0,21,17,20,14,45,33,57,38,47,29,4.66,5.40,3.86,2,1.73,2.29,97,83,79,59,45,38,24,10,66,2,4,1,1,2,7,4,4,9,2,3,4,6,10,4,2,6,3
Southampton FC,Southampton,2019/2020,England,29,15,14,6,10,4,6,4,2,2,15,9,6,1.17,0.93,1.43,14,20,6,14,35,52,-17,87,47,40,16,19,31,21,-15,-2,74,84,66,50,43,60,6,2,4,18,10,8,5,3,2,13,4,9,160,75,85,48,23,25,44,40,49,385,185,200,158,74,84,227,111,116,273,132,141,17,8,9,22,16,6,-5,-8,3,8,4,4,11,3,8,10,8,2,1.21,1,1.43,3,3.13,2.86,1.21,1.07,1.36,1.79,2.07,1.5,1.34,1.6,1.07,0.59,0.53,0.64,0.76,1.07,0.43,29,25,18,8,3,1,15,12,9,4,3,1,14,13,9,4,0,0,0,4,11,21,26,28,0,3,6,11,12,14,0,1,5,10,14,14,100,86,62,28,10,3,100,80,60,27,20,7,100,93,64,29,0,0,0,14,38,72,90,97,0,20,40,73,80,93,0,7,36,71,100,100,21,11,4,13,6,2,8,5,2,72,38,14,87,40,13,57,36,14,34,27,43,-14,21,13,29,62,67,57,17,20,14,45,27,64,16,6,10,55,40,71,15,9,6,52,60,43,6,2,4,21,13,29,28,27,29,38,20,57,34,53,14,5.52,5.00,6.07,1.66,1.53,1.79,86,76,72,59,59,59,52,34,86,2,5,4,5,3,6,1,4,5,5,6,3,5,5,6,7,7,8
AFC Bournemouth,AFC Bournemouth,2019/2020,England,29,14,15,6,7,4,3,6,5,1,16,5,11,0.93,1.21,0.67,18,16,17,18,29,47,-18,76,38,38,17,12,21,26,-4,-14,90,74,113,56,60,52,4,2,2,16,9,7,11,4,7,12,6,6,138,63,75,63,28,35,38,40,36,305,152,153,122,59,63,183,93,90,190,89,101,17,9,8,23,10,13,-6,-1,-5,6,4,2,11,5,6,12,5,7,1,1.21,0.8,2.62,2.71,2.53,1,1.21,0.8,1.62,1.5,1.73,1.38,1.36,1.4,0.59,0.64,0.53,0.79,0.71,0.87,27,21,18,9,1,0,13,11,9,5,0,0,14,10,9,4,1,0,2,8,11,20,28,29,1,3,5,9,14,14,1,5,6,11,14,15,93,72,62,31,3,0,93,79,64,36,0,0,93,67,60,27,7,0,7,28,38,69,97,100,7,21,36,64,100,100,7,33,40,73,93,100,22,14,4,11,7,1,11,7,3,76,48,14,79,50,7,73,47,20,24,29,20,14,14,14,13,55,64,47,38,29,47,41,43,40,13,7,6,45,50,40,16,7,9,55,50,60,7,3,4,24,21,27,21,29,13,38,36,40,41,36,47,4.76,4.50,5.00,2.17,2,2.33,97,93,93,69,62,52,41,28,86,3,5,1,4,5,3,2,3,3,3,3,4,6,8,4,7,5,7
Manchester United FC,Manchester United,2019/2020,England,29,15,14,6,12,8,4,9,5,4,8,2,6,1.55,1.93,1.14,5,4,9,5,44,30,14,74,41,33,29,15,12,18,17,-3,59,47,84,87,113,70,8,6,2,14,8,6,8,2,6,15,9,6,149,67,82,56,24,32,49,51,46,416,228,188,175,93,82,241,135,106,245,127,118,23,14,9,13,6,7,10,8,2,15,9,6,6,3,3,8,3,5,1.76,2,1.5,2.55,2.73,2.36,1.52,1.93,1.07,1.03,0.8,1.29,1.24,1.33,1.14,0.79,0.93,0.64,0.45,0.4,0.5,28,25,11,7,2,1,14,13,8,5,1,0,14,12,3,2,1,1,1,4,18,22,27,28,1,2,7,10,14,15,0,2,11,12,13,13,97,86,38,24,7,3,93,87,53,33,7,0,100,86,21,14,7,7,3,14,62,76,93,97,7,13,47,67,93,100,0,14,79,86,93,93,26,8,1,14,4,1,12,4,0,90,28,3,93,27,7,86,29,0,41,53,29,25,28,40,14,48,53,43,28,13,43,52,60,43,17,9,8,59,60,57,11,4,7,38,27,50,4,3,1,14,20,7,52,60,43,21,20,21,28,20,36,5.32,4.79,5.86,1.93,1.6,2.29,82,75,64,54,39,32,28,25,72,3,3,8,3,7,4,5,7,4,2,4,0,4,4,6,2,1,7
