team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
BVB 09 Borussia Dortmund,Borussia Dortmund,2019/2020,Germany,25,12,13,0,15,9,6,6,3,3,4,0,4,2.04,2.5,1.62,2,1,4,2,68,33,35,101,51,50,41,27,10,23,31,4,33,26,43,68,108,51,10,7,3,14,5,9,2,0,2,16,9,7,155,84,71,27,8,19,48,54,42,357,207,150,159,96,63,198,111,87,197,94,103,23,13,10,13,5,8,10,8,2,13,8,5,8,3,5,4,1,3,1.88,2.25,1.54,4.04,4.25,3.85,2.72,3.42,2.08,1.32,0.83,1.77,1.44,1.5,1.38,0.92,1.08,0.77,0.52,0.42,0.62,24,22,21,17,8,6,12,10,10,9,6,4,12,12,11,8,2,2,1,3,4,8,17,19,0,2,2,3,6,8,1,1,2,5,11,11,96,88,84,68,32,24,100,83,83,75,50,33,92,92,85,62,15,15,4,12,16,32,68,76,0,17,17,25,50,67,8,8,15,38,85,85,21,10,4,10,6,2,11,4,2,84,40,16,83,50,17,85,31,15,60,75,46,32,40,58,23,56,42,69,8,0,15,64,75,54,15,9,6,60,75,46,8,3,5,32,25,38,6,2,4,24,17,31,52,67,38,32,25,38,16,8,23,6.20,7.00,5.46,1.08,0.67,1.46,72,72,52,48,32,24,20,16,152,4,8,5,4,7,11,13,6,10,3,2,2,3,8,4,1,5,5
1. FSV Mainz 05,Mainz 05,2019/2020,Germany,25,13,12,0,8,4,4,2,2,0,15,7,8,1.04,1.08,1,15,14,13,15,34,53,-19,87,36,51,15,19,21,32,-6,-13,66,78,57,42,56,34,3,2,1,15,8,7,8,4,4,11,4,7,120,66,54,55,24,31,38,41,36,363,199,164,133,71,62,230,128,102,296,147,149,17,6,11,25,12,13,-8,-6,-2,6,2,4,9,5,4,10,6,4,1.08,0.85,1.33,3.48,2.77,4.25,1.36,1.15,1.58,2.12,1.62,2.67,1.68,1.38,2,0.68,0.46,0.92,1,0.92,1.08,24,21,19,12,5,3,12,10,8,5,1,0,12,11,11,7,4,3,1,4,6,13,20,22,1,3,5,8,12,13,0,1,1,5,8,9,96,84,76,48,20,12,92,77,62,38,8,0,100,92,92,58,33,25,4,16,24,52,80,88,8,23,38,62,92,100,0,8,8,42,67,75,20,13,5,10,6,1,10,7,4,80,52,20,77,46,8,83,58,33,32,31,33,5,12,15,8,60,62,58,32,31,33,44,31,58,10,5,5,40,38,42,13,8,5,52,62,42,7,3,4,28,23,33,24,15,33,36,38,33,40,46,33,4.80,5.08,4.50,2.2,1.85,2.58,96,92,84,64,48,36,28,20,136,3,6,2,5,2,2,3,1,10,3,3,6,7,9,2,5,5,13
FC Schalke 04,Schalke 04,2019/2020,Germany,25,13,12,0,9,5,4,10,6,4,6,2,4,1.48,1.62,1.33,6,7,10,6,33,36,-3,69,36,33,18,15,18,18,0,-3,68,65,72,63,65,60,7,4,3,13,7,6,9,3,6,13,10,3,126,75,51,44,23,21,44,40,49,299,168,131,128,71,57,171,97,74,241,122,119,11,6,5,10,3,7,1,3,-2,7,5,2,13,6,7,5,2,3,1.36,1.62,1.08,2.76,2.77,2.75,1.32,1.38,1.25,1.44,1.38,1.5,0.84,0.69,1,0.44,0.46,0.42,0.4,0.23,0.58,21,20,14,7,5,2,12,11,7,3,2,1,9,9,7,4,3,1,4,5,11,18,20,23,1,2,6,10,11,12,3,3,5,8,9,11,84,80,56,28,20,8,92,85,54,23,15,8,75,75,58,33,25,8,16,20,44,72,80,92,8,15,46,77,85,92,25,25,42,67,75,92,15,6,0,8,1,0,7,5,0,60,24,0,62,8,0,58,42,0,36,38,33,5,28,31,25,52,54,50,36,23,50,52,77,25,17,10,7,68,77,58,15,7,8,60,54,67,3,1,2,12,8,17,28,38,17,52,46,58,20,15,25,5.04,5.77,4.25,1.76,1.77,1.75,88,76,68,56,40,24,16,12,64,0,1,3,4,6,5,2,5,7,4,2,0,3,3,3,5,7,9
SV Werder Bremen,Werder Bremen,2019/2020,Germany,24,11,13,1,4,1,3,6,2,4,14,8,6,0.75,0.45,1,17,18,12,17,27,55,-28,82,34,48,8,19,26,29,-18,-10,80,123,62,39,38,40,1,0,1,15,5,10,8,6,2,12,3,9,113,70,43,56,17,39,38,43,33,316,176,140,124,68,56,192,108,84,249,112,137,15,4,11,23,10,13,-8,-6,-2,7,2,5,8,5,3,9,4,5,1.21,1,1.38,3.42,3.09,3.69,1.13,0.73,1.46,2.29,2.36,2.23,1.58,1.27,1.85,0.63,0.36,0.85,0.96,0.91,1,24,21,18,12,5,1,11,10,7,4,2,0,13,11,11,8,3,1,0,3,6,12,19,23,0,1,4,7,9,11,0,2,2,5,10,12,100,88,75,50,21,4,100,91,64,36,18,0,100,85,85,62,23,8,0,12,25,50,79,96,0,9,36,64,82,100,0,15,15,38,77,92,19,12,6,7,4,2,12,8,4,79,50,25,64,36,18,92,62,31,17,9,23,-19,4,0,8,63,45,77,33,55,15,50,27,69,9,5,4,38,45,31,12,8,4,50,73,31,8,2,6,33,18,46,29,18,38,33,45,23,38,36,38,4.71,6.36,3.31,2.33,1.55,3.00,83,83,71,63,50,21,13,8,108,7,1,4,2,3,3,2,1,4,3,7,2,6,7,10,6,6,8
FC Bayern München,Bayern München,2019/2020,Germany,25,13,12,0,17,9,8,4,2,2,4,2,2,2.2,2.23,2.17,1,2,1,1,73,26,47,99,49,50,38,35,11,15,27,20,31,31,31,87,106,72,10,6,4,15,7,8,1,1,0,18,8,10,183,121,62,47,23,24,50,45,56,483,264,219,208,117,91,275,147,128,204,104,100,31,12,19,12,7,5,19,5,14,13,6,7,9,5,4,3,2,1,1.92,1.77,2.08,3.96,3.77,4.17,2.92,2.92,2.92,1.04,0.85,1.25,1.72,1.46,2,1.24,0.92,1.58,0.48,0.54,0.42,24,24,21,16,8,4,12,12,10,7,4,2,12,12,11,9,4,2,1,1,4,9,17,21,1,1,3,6,9,11,0,0,1,3,8,10,96,96,84,64,32,16,92,92,77,54,31,15,100,100,92,75,33,17,4,4,16,36,68,84,8,8,23,46,69,85,0,0,8,25,67,83,19,13,9,9,6,4,10,7,5,76,52,36,69,46,31,83,58,42,68,69,67,9,40,46,33,60,54,67,4,8,0,72,62,83,16,8,8,64,62,67,6,4,2,24,31,17,9,5,4,36,38,33,52,46,58,36,38,33,12,15,8,7.32,9.31,5.17,1.88,1.77,2.00,88,76,72,68,48,40,28,24,128,8,10,4,5,11,7,7,13,8,3,0,2,4,4,3,3,2,5
Borussia VfL Mönchengladbach,Borussia M'gladbach,2019/2020,Germany,24,12,12,0,14,8,6,4,2,2,6,2,4,1.92,2.17,1.67,5,3,5,5,47,29,18,76,43,33,28,19,15,14,13,5,46,39,57,74,72,77,5,2,3,16,10,6,5,1,4,12,6,6,126,66,60,61,33,28,45,44,46,332,181,151,153,87,66,179,94,85,252,111,141,20,11,9,10,5,5,10,6,4,8,4,4,12,5,7,4,3,1,1.5,1.42,1.58,3.17,3.58,2.75,1.96,2.33,1.58,1.21,1.25,1.17,1.25,1.33,1.17,0.83,0.92,0.75,0.42,0.42,0.42,22,20,16,10,5,3,11,11,9,6,3,3,11,9,7,4,2,0,2,4,8,14,19,21,1,1,3,6,9,9,1,3,5,8,10,12,92,83,67,42,21,13,92,92,75,50,25,25,92,75,58,33,17,0,8,17,33,58,79,87,8,8,25,50,75,75,8,25,42,67,83,100,17,10,2,9,5,1,8,5,1,71,42,8,75,42,8,67,42,8,58,67,50,8,21,17,25,67,83,50,21,8,33,50,50,50,14,7,7,58,58,58,11,6,5,46,50,42,6,2,4,25,17,33,33,33,33,50,42,58,17,25,8,5.25,5.50,5.00,2.54,2.75,2.33,92,75,54,46,46,28,25,21,88,3,6,5,3,7,5,2,8,8,3,4,2,1,4,5,0,3,7
Bayer 04 Leverkusen,Bayer Leverkusen,2019/2020,Germany,25,13,12,0,14,7,7,5,4,1,6,2,4,1.88,1.92,1.83,4,5,3,4,45,30,15,75,38,37,25,20,13,17,12,3,50,47,54,75,90,63,8,5,3,13,7,6,5,2,3,17,9,8,148,101,47,50,21,29,54,54,53,407,235,172,163,84,79,244,151,93,234,125,109,27,14,13,15,8,7,12,6,6,10,5,5,12,7,5,3,1,2,1.68,1.69,1.67,3,2.92,3.08,1.8,1.92,1.67,1.2,1,1.42,1.68,1.69,1.67,1.08,1.08,1.08,0.6,0.62,0.58,24,22,15,8,4,1,12,11,7,4,2,1,12,11,8,4,2,0,1,3,10,17,21,24,1,2,6,9,11,12,0,1,4,8,10,12,96,88,60,32,16,4,92,85,54,31,15,8,100,92,67,33,17,0,4,12,40,68,84,96,8,15,46,69,85,92,0,8,33,67,83,100,20,14,6,10,7,3,10,7,3,80,56,24,77,54,23,83,58,25,56,54,58,12,32,38,25,52,54,50,20,15,25,68,69,67,14,8,6,56,62,50,7,3,4,28,23,33,9,5,4,36,38,33,40,38,42,48,54,42,12,8,17,5.92,7.77,3.92,2,1.62,2.42,72,68,68,52,36,32,24,12,96,5,8,6,7,2,3,2,3,9,3,3,4,4,3,1,3,3,6
1. FC Köln,Köln,2019/2020,Germany,24,12,12,0,10,6,4,2,1,1,12,5,7,1.33,1.58,1.08,10,9,11,10,38,43,-5,81,36,45,20,18,16,27,4,-9,57,54,60,50,68,40,6,5,1,13,5,8,5,2,3,11,8,3,128,61,67,63,30,33,36,34,38,300,148,152,120,60,60,180,88,92,292,138,154,17,9,8,19,6,13,-2,3,-5,9,7,2,3,1,2,12,4,8,1.25,1.83,0.67,3.38,3,3.75,1.58,1.67,1.5,1.79,1.33,2.25,1.5,1.25,1.75,0.71,0.75,0.67,0.79,0.5,1.08,24,22,17,11,5,2,12,10,8,5,1,0,12,12,9,6,4,2,0,2,7,13,19,22,0,2,4,7,11,12,0,0,3,6,8,10,100,92,71,46,21,8,100,83,67,42,8,0,100,100,75,50,33,17,0,8,29,54,79,92,0,17,33,58,92,100,0,0,25,50,67,83,22,9,4,11,3,1,11,6,3,92,38,17,92,25,8,92,50,25,42,50,33,16,25,42,8,54,42,67,21,17,25,46,67,25,11,8,3,46,67,25,12,5,7,50,42,58,3,0,3,13,0,25,38,58,17,13,8,17,50,33,67,5.33,5.08,5.58,2.63,2.5,2.75,92,79,63,63,57,50,38,33,75,3,1,5,6,2,3,5,3,10,5,3,5,5,5,3,6,5,6
SC Freiburg,Freiburg,2019/2020,Germany,25,12,13,0,10,6,4,6,2,4,9,4,5,1.44,1.67,1.23,8,8,9,8,34,35,-1,69,30,39,16,18,14,21,2,-3,66,68,65,64,77,56,5,4,1,14,6,8,6,2,4,11,8,3,116,66,50,37,18,19,37,32,41,332,158,174,128,62,66,204,96,108,198,101,97,15,5,10,14,4,10,1,1,0,7,4,3,10,5,5,8,3,5,1.24,1.42,1.08,2.76,2.5,3,1.36,1.33,1.38,1.4,1.17,1.62,1.16,0.75,1.54,0.6,0.42,0.77,0.56,0.33,0.77,25,20,14,8,1,1,12,9,6,3,0,0,13,11,8,5,1,1,0,5,11,17,24,24,0,3,6,9,12,12,0,2,5,8,12,12,100,80,56,32,4,4,100,75,50,25,0,0,100,85,62,38,8,8,0,20,44,68,96,96,0,25,50,75,100,100,0,15,38,62,92,92,20,8,1,8,1,0,12,7,1,80,32,4,67,8,0,92,54,8,40,50,31,7,20,33,8,56,50,62,24,17,31,44,67,23,11,8,3,44,67,23,13,7,6,52,58,46,6,1,5,24,8,38,28,33,23,40,42,38,32,25,38,4.64,5.50,3.85,1.48,1.5,1.46,84,80,80,68,60,44,32,32,52,2,1,4,5,3,7,1,1,10,4,3,2,4,3,5,3,2,9
VfL Wolfsburg,Wolfsburg,2019/2020,Germany,25,13,12,0,9,4,5,9,6,3,7,3,4,1.44,1.38,1.5,7,12,7,7,34,30,4,64,29,35,16,18,13,17,3,1,66,73,60,75,90,63,7,4,3,14,8,6,6,3,3,9,5,4,134,79,55,46,16,30,37,41,34,352,210,142,136,78,58,216,132,84,301,140,161,13,6,7,13,7,6,0,-1,1,6,2,4,13,7,6,6,4,2,1.24,1,1.5,2.56,2.23,2.92,1.36,1.23,1.5,1.2,1,1.42,1.04,1,1.08,0.52,0.46,0.58,0.52,0.54,0.5,23,20,11,6,3,1,11,10,5,2,1,0,12,10,6,4,2,1,2,5,14,19,22,24,2,3,8,11,12,13,0,2,6,8,10,11,92,80,44,24,12,4,85,77,38,15,8,0,100,83,50,33,17,8,8,20,56,76,88,96,15,23,62,85,92,100,0,17,50,67,83,92,16,8,2,8,4,1,8,4,1,64,32,8,62,31,8,67,33,8,36,31,42,4,28,31,25,56,62,50,24,23,25,36,38,33,14,7,7,56,54,58,14,8,6,56,62,50,6,3,3,24,23,25,24,15,33,52,54,50,24,31,17,5.36,6.08,4.58,1.84,1.23,2.50,96,84,64,48,40,28,24,12,56,2,4,3,3,3,5,5,3,6,1,5,3,1,3,6,1,2,8
