team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Arsenal FC,Arsenal,2019/2020,England,35,17,18,0,12,8,4,14,6,8,9,3,6,1.43,1.76,1.11,9,8,10,9,51,44,7,95,52,43,31,20,21,23,10,-3,62,49,81,71,73,70,10,5,5,21,11,10,6,1,5,18,11,7,215,121,94,86,40,46,50,50,49,381,210,171,166,93,73,215,117,98,314,158,156,23,16,7,22,12,10,1,4,-3,12,8,4,11,5,6,12,4,8,1.34,1.71,1,2.71,3.06,2.39,1.46,1.82,1.11,1.26,1.24,1.28,1.29,1.65,0.94,0.66,0.94,0.39,0.63,0.71,0.56,33,29,19,12,2,0,17,15,11,7,2,0,16,14,8,5,0,0,2,6,16,23,33,35,0,2,6,10,15,17,2,4,10,13,18,18,94,83,54,34,6,0,100,88,65,41,12,0,89,78,44,28,0,0,6,17,46,66,94,100,0,12,35,59,88,100,11,22,56,72,100,100,28,11,5,15,8,4,13,3,1,80,31,14,88,47,24,72,17,6,34,47,22,14,29,29,28,60,65,56,17,6,28,51,65,39,18,9,9,51,53,50,17,5,12,49,29,67,7,5,2,20,29,11,34,47,22,31,29,33,34,24,44,6.14,7.12,5.22,2.46,2.35,2.56,89,83,71,60,54,43,40,31,60,4,6,5,4,6,7,7,2,10,4,3,3,6,7,6,1,5,9
Tottenham Hotspur FC,Tottenham Hotspur,2019/2020,England,35,18,17,0,14,11,3,10,3,7,11,4,7,1.49,2,0.94,8,3,13,8,54,45,9,99,50,49,33,21,17,28,16,-7,58,49,73,70,96,55,7,5,2,23,10,13,7,3,4,17,11,6,187,106,81,81,41,40,44,45,43,437,237,200,182,86,96,255,151,104,304,161,143,27,16,11,22,10,12,5,6,-1,14,8,6,8,4,4,13,6,7,1.43,1.56,1.29,2.83,2.78,2.88,1.54,1.83,1.24,1.29,0.94,1.65,1.4,1.44,1.35,0.77,0.89,0.65,0.63,0.56,0.71,33,29,21,11,5,0,18,15,9,5,3,0,15,14,12,6,2,0,2,6,14,24,30,35,0,3,9,13,15,18,2,3,5,11,15,17,94,83,60,31,14,0,100,83,50,28,17,0,88,82,71,35,12,0,6,17,40,69,86,100,0,17,50,72,83,100,12,18,29,65,88,100,29,12,7,15,6,4,14,6,3,83,34,20,83,33,22,82,35,18,40,61,18,23,20,28,12,66,56,76,20,17,24,49,61,35,16,9,7,46,50,41,18,9,9,51,50,53,7,3,4,20,17,24,40,44,35,23,22,24,37,33,41,5.34,5.89,4.76,2.31,2.28,2.35,91,80,63,60,49,37,28,17,66,6,2,9,5,8,5,4,5,10,5,7,2,6,4,3,6,6,6
Manchester City FC,Manchester City,2019/2020,England,35,17,18,0,23,13,10,3,2,1,9,2,7,2.06,2.41,1.72,2,2,2,2,91,34,57,125,62,63,50,41,12,22,38,19,35,31,39,93,127,74,15,9,6,16,7,9,4,1,3,23,11,12,274,142,132,66,27,39,54,56,53,604,317,287,247,126,121,357,191,166,254,124,130,42,23,19,17,7,10,25,16,9,18,10,8,9,4,5,8,3,5,1.8,2,1.61,3.57,3.65,3.5,2.6,2.94,2.28,0.97,0.71,1.22,1.69,1.76,1.61,1.2,1.35,1.06,0.49,0.41,0.56,35,32,26,18,9,2,17,17,14,8,3,1,18,15,12,10,6,1,0,3,9,17,26,33,0,0,3,9,14,16,0,3,6,8,12,17,100,91,74,51,26,6,100,100,82,47,18,6,100,83,67,56,33,6,0,9,26,49,74,94,0,0,18,53,82,94,0,17,33,44,67,94,28,18,10,13,9,6,15,9,4,80,51,29,76,53,35,83,50,22,66,76,56,20,43,53,33,46,41,50,11,6,17,66,65,67,21,11,10,60,65,56,14,7,7,40,41,39,7,3,4,20,18,22,51,59,44,26,24,28,23,18,28,7.83,8.35,7.33,1.89,1.59,2.17,80,71,66,46,37,34,31,26,103,5,7,14,5,15,13,10,6,16,1,4,8,3,2,3,1,4,8
Leicester City FC,Leicester City,2019/2020,England,35,17,18,0,17,10,7,8,4,4,10,3,7,1.69,2,1.39,4,5,6,4,65,36,29,101,48,53,33,32,15,21,18,11,48,46,51,87,102,77,12,7,5,19,8,11,7,4,3,18,8,10,193,106,87,42,17,25,47,49,45,464,228,236,202,88,114,262,140,122,297,136,161,23,9,14,17,7,10,6,2,4,10,4,6,16,10,6,9,3,6,1.31,1.29,1.33,2.89,2.82,2.94,1.86,1.94,1.78,1.03,0.88,1.17,1.14,0.94,1.33,0.66,0.53,0.78,0.49,0.41,0.56,32,29,21,10,5,1,15,14,11,6,2,0,17,15,10,4,3,1,3,6,14,25,30,34,2,3,6,11,15,17,1,3,8,14,15,17,91,83,60,29,14,3,88,82,65,35,12,0,94,83,56,22,17,6,9,17,40,71,86,97,12,18,35,65,88,100,6,17,44,78,83,94,23,11,4,10,5,1,13,6,3,66,31,11,59,29,6,72,33,17,49,59,39,10,34,41,28,54,47,61,20,24,17,51,47,56,20,10,10,57,59,56,20,10,10,57,59,56,7,4,3,20,24,17,29,24,33,46,59,33,26,18,33,5.51,6.24,4.83,1.2,1,1.39,89,86,77,51,34,26,23,9,86,1,6,3,8,7,9,9,7,15,3,3,6,2,5,1,5,6,5
Crystal Palace FC,Crystal Palace,2019/2020,England,35,17,18,0,11,6,5,9,4,5,15,7,8,1.2,1.29,1.11,14,14,11,14,30,45,-15,75,31,44,14,16,17,28,-3,-12,105,110,101,70,90,58,10,6,4,13,6,7,14,6,8,12,6,6,160,102,58,61,32,29,39,39,40,354,209,145,140,80,60,214,129,85,316,150,166,10,4,6,17,6,11,-7,-2,-5,7,3,4,18,10,8,10,4,6,1.11,1.12,1.11,2.14,1.82,2.44,0.86,0.82,0.89,1.29,1,1.56,0.77,0.59,0.94,0.29,0.24,0.33,0.49,0.35,0.61,33,24,11,6,1,0,16,10,3,1,1,0,17,14,8,5,0,0,2,11,24,29,34,35,1,7,14,16,16,17,1,4,10,13,18,18,94,69,31,17,3,0,94,59,18,6,6,0,94,78,44,28,0,0,6,31,69,83,97,100,6,41,82,94,94,100,6,22,56,72,100,100,17,6,3,7,2,1,10,4,2,49,17,9,41,12,6,56,22,11,31,35,28,9,29,35,22,37,35,39,40,35,44,34,35,33,25,13,12,71,76,67,26,13,13,74,76,72,2,1,1,6,6,6,20,18,22,51,59,44,29,24,33,4.57,6.00,3.22,1.74,1.88,1.61,86,77,69,60,49,43,37,31,40,0,1,3,4,4,3,3,5,7,5,2,5,1,8,9,2,4,9
Everton FC,Everton,2019/2020,England,35,17,18,0,12,8,4,9,6,3,14,3,11,1.29,1.76,0.83,11,9,16,11,41,52,-11,93,39,54,22,19,17,35,5,-16,77,70,85,60,90,46,8,6,2,20,9,11,10,4,6,16,10,6,196,101,95,70,29,41,42,44,41,426,222,204,182,95,87,244,127,117,350,161,189,26,13,13,21,5,16,5,8,-3,12,8,4,17,8,9,6,1,5,1.51,1.88,1.17,2.66,2.29,3,1.17,1.29,1.06,1.49,1,1.94,1.34,1.06,1.61,0.74,0.76,0.72,0.6,0.29,0.89,32,26,17,11,5,1,15,12,6,5,1,0,17,14,11,6,4,1,3,9,18,24,30,34,2,5,11,12,16,17,1,4,7,12,14,17,91,74,49,31,14,3,88,71,35,29,6,0,94,78,61,33,22,6,9,26,51,69,86,97,12,29,65,71,94,100,6,22,39,67,78,94,26,12,4,12,5,1,14,7,3,74,34,11,71,29,6,78,39,17,34,47,22,22,23,35,11,57,53,61,29,24,33,46,59,33,20,12,8,57,71,44,14,6,8,40,35,44,10,4,6,29,24,33,34,47,22,49,47,50,17,6,28,5.60,5.94,5.28,2,1.71,2.28,91,74,60,51,46,31,28,20,60,7,6,3,3,8,3,1,5,5,3,3,6,6,6,9,3,8,8
Burnley FC,Burnley,2019/2020,England,35,17,18,0,14,8,6,8,3,5,13,6,7,1.43,1.59,1.28,10,11,8,10,39,47,-8,86,42,44,22,17,20,27,2,-10,81,70,96,67,76,60,14,8,6,13,6,7,10,4,6,17,9,8,150,85,65,64,27,37,40,39,41,350,202,148,137,83,54,213,119,94,306,147,159,12,6,6,26,10,16,-14,-4,-10,7,4,3,15,6,9,13,7,6,1.03,1.06,1,2.46,2.47,2.44,1.11,1.29,0.94,1.34,1.18,1.5,1.09,0.94,1.22,0.34,0.35,0.33,0.74,0.59,0.89,33,26,17,5,4,1,16,13,8,2,2,1,17,13,9,3,2,0,2,9,18,30,31,34,1,4,9,15,15,16,1,5,9,15,16,18,94,74,49,14,11,3,94,76,47,12,12,6,94,72,50,17,11,0,6,26,51,86,89,97,6,24,53,88,88,94,6,28,50,83,89,100,23,12,3,11,5,0,12,7,3,66,34,9,65,29,0,67,39,17,40,47,33,14,40,47,33,37,35,39,29,24,33,49,53,44,19,10,9,54,59,50,25,13,12,71,76,67,3,0,3,9,0,17,20,24,17,43,35,50,37,41,33,4.29,5.00,3.61,1.83,1.59,2.06,94,83,77,60,46,40,26,11,57,2,4,1,2,3,7,6,5,9,2,3,5,7,12,5,3,7,3
Southampton FC,Southampton,2019/2020,England,34,17,17,0,13,5,8,5,2,3,16,10,6,1.29,1,1.59,12,19,5,12,43,56,-13,99,50,49,17,26,33,23,-16,3,71,90,59,55,46,67,8,3,5,20,10,10,6,4,2,17,5,12,181,81,100,55,26,29,45,41,50,433,203,230,183,82,101,250,121,129,326,148,178,20,9,11,24,17,7,-4,-8,4,10,5,5,13,3,10,11,9,2,1.26,1.06,1.47,2.91,2.94,2.88,1.26,1,1.53,1.65,1.94,1.35,1.29,1.53,1.06,0.59,0.53,0.65,0.71,1,0.41,34,29,20,9,3,1,17,13,9,4,3,1,17,16,11,5,0,0,0,5,14,25,31,33,0,4,8,13,14,16,0,1,6,12,17,17,100,85,59,26,9,3,100,76,53,24,18,6,100,94,65,29,0,0,0,15,41,74,91,97,0,24,47,76,82,94,0,6,35,71,100,100,25,12,4,15,6,2,10,6,2,74,35,12,88,35,12,59,35,12,38,29,47,-20,24,18,29,59,59,59,18,24,12,50,29,71,19,7,12,56,41,71,17,10,7,50,59,41,7,2,5,21,12,29,29,29,29,38,18,59,32,53,12,5.32,4.76,5.88,1.62,1.53,1.71,88,79,71,59,56,56,50,35,82,2,7,4,6,4,7,2,5,6,5,7,3,5,6,6,7,8,9
AFC Bournemouth,AFC Bournemouth,2019/2020,England,35,18,17,0,8,5,3,7,6,1,20,7,13,0.89,1.17,0.59,18,15,17,18,36,60,-24,96,50,46,22,14,28,32,-6,-18,87,74,110,53,58,48,5,3,2,19,11,8,14,6,8,13,6,7,170,90,80,77,38,39,40,43,37,334,177,157,131,68,63,203,109,94,254,136,118,18,9,9,31,15,16,-13,-6,-7,6,4,2,13,6,7,16,8,8,0.89,1,0.76,2.74,2.78,2.71,1.03,1.22,0.82,1.71,1.56,1.88,1.4,1.33,1.47,0.51,0.5,0.53,0.89,0.83,0.94,32,25,21,12,4,1,16,14,11,7,2,0,16,11,10,5,2,1,3,10,14,23,31,34,2,4,7,11,16,18,1,6,7,12,15,16,91,71,60,34,11,3,89,78,61,39,11,0,94,65,59,29,12,6,9,29,40,66,89,97,11,22,39,61,89,100,6,35,41,71,88,94,26,17,5,14,9,1,12,8,4,74,49,14,78,50,6,71,47,24,23,28,18,14,14,17,12,54,61,47,40,33,47,37,33,41,15,8,7,43,44,41,21,11,10,60,61,59,8,3,5,23,17,29,17,22,12,37,33,41,46,44,47,4.86,5.00,4.71,2.2,2.11,2.29,94,91,89,66,56,49,40,28,91,3,6,1,4,6,3,4,3,6,4,4,8,7,9,8,7,6,7
Manchester United FC,Manchester United,2019/2020,England,34,17,17,0,16,10,6,10,5,5,8,2,6,1.71,2.06,1.35,5,4,7,5,59,33,26,92,51,41,37,22,14,19,23,3,52,41,70,93,110,80,11,7,4,16,9,7,8,2,6,18,10,8,175,80,95,62,25,37,51,53,49,458,245,213,194,100,94,264,145,119,290,137,153,32,19,13,15,7,8,17,12,5,19,11,8,6,3,3,9,3,6,1.85,2.12,1.59,2.71,3,2.41,1.74,2.18,1.29,0.97,0.82,1.12,1.38,1.53,1.24,0.94,1.12,0.76,0.44,0.41,0.47,33,30,15,8,3,2,16,15,10,6,2,1,17,15,5,2,1,1,1,4,19,26,31,32,1,2,7,11,15,16,0,2,12,15,16,16,97,88,44,24,9,6,94,88,59,35,12,6,100,88,29,12,6,6,3,12,56,76,91,94,6,12,41,65,88,94,0,12,71,88,94,94,31,12,2,16,6,2,15,6,0,91,35,6,94,35,12,88,35,0,47,59,35,20,32,41,24,47,53,41,24,12,35,53,59,47,20,10,10,59,59,59,12,4,8,35,24,47,5,4,1,15,24,6,56,65,47,18,18,18,26,18,35,5.30,5.00,5.59,1.82,1.47,2.18,79,73,61,52,39,33,30,24,74,4,4,11,4,11,7,5,8,5,2,5,1,4,5,6,2,1,7
