team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
BVB 09 Borussia Dortmund,Borussia Dortmund,2019/2020,Germany,32,16,16,0,20,11,9,6,3,3,6,2,4,2.06,2.25,1.88,2,2,4,2,82,37,45,119,59,60,46,36,13,24,33,12,35,31,40,78,111,60,14,9,5,15,5,10,4,2,2,21,11,10,187,105,82,45,18,27,10,11,10,337,202,135,159,91,68,178,111,67,279,140,139,26,15,11,15,7,8,11,8,3,15,9,6,11,4,7,6,3,3,1.75,1.94,1.56,3.72,3.69,3.75,2.56,2.88,2.25,1.16,0.81,1.5,1.28,1.38,1.19,0.81,0.94,0.69,0.47,0.44,0.5,31,26,23,19,9,7,16,12,11,10,6,4,15,14,12,9,3,3,1,6,9,13,23,25,0,4,5,6,10,12,1,2,4,7,13,13,97,81,72,59,28,22,100,75,69,63,38,25,94,88,75,56,19,19,3,19,28,41,72,78,0,25,31,37,62,75,6,12,25,44,81,81,25,11,4,13,7,2,12,4,2,78,34,13,81,44,13,75,25,13,63,69,56,22,44,56,31,47,31,63,13,13,13,66,69,63,20,11,9,63,69,56,13,6,7,41,38,44,6,2,4,19,13,25,47,56,38,34,25,44,19,19,19,5.84,6.56,5.13,1.41,1.13,1.69,69,63,44,41,25,19,16,13,134,4,8,6,5,9,14,14,8,14,3,2,2,4,10,4,1,6,5
1. FSV Mainz 05,Mainz 05,2019/2020,Germany,32,16,16,0,10,4,6,4,2,2,18,10,8,1.06,0.88,1.25,15,16,10,15,41,63,-22,104,43,61,15,26,28,35,-13,-9,70,96,55,46,51,41,5,2,3,17,8,9,11,7,4,14,4,10,163,90,73,74,33,41,7,9,5,340,185,155,148,75,73,192,110,82,418,198,220,20,6,14,32,17,15,-12,-11,-1,8,2,6,10,5,5,14,9,5,1.06,0.69,1.44,3.25,2.69,3.81,1.28,0.94,1.63,1.97,1.75,2.19,1.63,1.44,1.81,0.63,0.38,0.88,1,1.06,0.94,31,26,21,14,6,3,15,11,9,6,2,0,16,15,12,8,4,3,1,6,11,18,26,29,1,5,7,10,14,16,0,1,4,8,12,13,97,81,66,44,19,9,94,69,56,38,13,0,100,94,75,50,25,19,3,19,34,56,81,91,6,31,44,62,87,100,0,6,25,50,75,81,27,15,6,13,7,2,14,8,4,84,47,19,81,44,13,88,50,25,31,25,38,-8,16,13,19,53,50,56,34,44,25,44,25,63,12,5,7,38,31,44,17,11,6,53,69,38,8,3,5,25,19,31,25,13,38,31,31,31,44,56,31,5.09,5.63,4.56,2.31,2.06,2.56,97,94,84,66,53,44,28,22,113,3,7,2,6,4,2,4,3,10,5,4,7,9,11,3,5,6,13
FC Schalke 04,Schalke 04,2019/2020,Germany,32,16,16,0,9,5,4,12,7,5,11,4,7,1.22,1.38,1.06,10,9,12,10,37,50,-13,87,42,45,19,18,23,27,-4,-9,78,76,80,58,63,53,7,4,3,17,8,9,12,5,7,15,11,4,145,83,62,63,32,31,7,8,5,266,152,114,124,63,61,142,89,53,357,176,181,12,6,6,16,5,11,-4,1,-5,7,5,2,16,7,9,9,4,5,1.16,1.38,0.94,2.72,2.63,2.81,1.16,1.19,1.13,1.56,1.44,1.69,0.88,0.69,1.06,0.38,0.38,0.38,0.5,0.31,0.69,28,26,18,8,5,2,15,13,8,3,2,1,13,13,10,5,3,1,4,6,14,24,27,30,1,3,8,13,14,15,3,3,6,11,13,15,88,81,56,25,16,6,94,81,50,19,13,6,81,81,63,31,19,6,12,19,44,75,84,94,6,19,50,81,87,94,19,19,37,69,81,94,20,8,0,10,1,0,10,7,0,63,25,0,63,6,0,63,44,0,28,31,25,6,22,25,19,53,50,56,38,31,44,47,69,25,19,11,8,59,69,50,21,10,11,66,63,69,4,1,3,13,6,19,22,31,13,50,44,56,28,25,31,4.53,5.19,3.88,1.97,2,1.94,84,75,66,53,38,25,16,9,63,0,1,4,4,6,8,2,5,7,5,3,2,4,6,3,8,8,11
SV Werder Bremen,Werder Bremen,2019/2020,Germany,32,16,16,0,7,1,6,7,3,4,18,12,6,0.88,0.38,1.38,17,18,8,17,35,65,-30,100,44,56,9,26,35,30,-26,-4,83,161,55,44,41,48,4,1,3,17,6,11,12,10,2,15,3,12,145,90,55,76,28,48,11,13,8,321,193,128,139,84,55,182,109,73,407,192,215,21,5,16,26,13,13,-5,-8,3,10,2,8,11,8,3,11,6,5,1.28,0.88,1.69,3.13,2.75,3.5,1.09,0.56,1.63,2.03,2.19,1.88,1.47,1.13,1.81,0.66,0.31,1,0.81,0.81,0.81,31,24,21,14,7,2,15,12,9,5,3,0,16,12,12,9,4,2,1,8,11,18,25,30,1,4,7,11,13,16,0,4,4,7,12,14,97,75,66,44,22,6,94,75,56,31,19,0,100,75,75,56,25,13,3,25,34,56,78,94,6,25,44,69,81,100,0,25,25,44,75,87,24,14,8,9,5,3,15,9,5,75,44,25,56,31,19,94,56,31,22,6,38,-29,13,6,19,53,38,69,38,63,13,47,19,75,15,8,7,47,50,44,16,12,4,50,75,25,9,3,6,28,19,38,31,13,50,34,50,19,34,38,31,4.53,5.63,3.44,2.38,1.75,3.00,88,88,78,66,53,25,16,6,97,7,3,5,5,3,4,2,1,5,3,7,3,7,8,11,8,7,11
FC Bayern München,Bayern München,2019/2020,Germany,32,16,16,0,24,12,12,4,2,2,4,2,2,2.38,2.38,2.38,1,1,1,1,93,31,62,124,64,60,50,43,14,17,36,26,31,29,33,93,102,85,14,7,7,18,9,9,1,1,0,24,11,13,226,138,88,56,23,33,10,15,6,470,267,203,230,132,98,240,135,105,292,144,148,43,18,25,14,8,6,29,10,19,19,8,11,10,6,4,3,2,1,2.09,1.88,2.31,3.88,4,3.75,2.91,3.13,2.69,0.97,0.88,1.06,1.78,1.63,1.94,1.34,1.13,1.56,0.44,0.5,0.38,31,29,25,19,11,6,15,15,13,9,6,3,16,14,12,10,5,3,1,3,7,13,21,26,1,1,3,7,10,13,0,2,4,6,11,13,97,91,78,59,34,19,94,94,81,56,38,19,100,88,75,63,31,19,3,9,22,41,66,81,6,6,19,44,62,81,0,12,25,37,69,81,26,17,11,12,9,5,14,8,6,81,53,34,75,56,31,88,50,38,75,75,75,9,44,44,44,56,56,56,3,6,0,75,69,81,21,10,11,66,63,69,6,4,2,19,25,13,11,6,5,34,38,31,59,50,69,31,38,25,9,13,6,7.06,8.63,5.50,1.75,1.44,2.06,88,75,72,63,41,34,25,19,125,8,12,7,6,19,8,9,15,9,4,0,2,5,4,5,3,2,6
Borussia VfL Mönchengladbach,Borussia M'gladbach,2019/2020,Germany,32,16,16,0,18,11,7,5,2,3,9,3,6,1.84,2.19,1.5,5,3,7,5,61,38,23,99,58,41,38,23,20,18,18,5,47,38,63,76,72,80,7,3,4,21,13,8,7,1,6,16,9,7,164,87,77,74,39,35,8,6,10,329,174,155,159,84,75,170,90,80,394,203,191,28,16,12,12,6,6,16,10,6,12,7,5,15,5,10,5,4,1,1.59,1.63,1.56,3.09,3.63,2.56,1.91,2.38,1.44,1.19,1.25,1.13,1.25,1.38,1.13,0.88,1,0.75,0.38,0.38,0.38,29,26,22,13,6,3,15,15,13,8,4,3,14,11,9,5,2,0,3,6,10,19,26,29,1,1,3,8,12,13,2,5,7,11,14,16,91,81,69,41,19,9,94,94,81,50,25,19,88,69,56,31,13,0,9,19,31,59,81,91,6,6,19,50,75,81,12,31,44,69,87,100,23,14,2,13,7,1,10,7,1,72,44,6,81,44,6,63,44,6,56,69,44,10,22,19,25,66,81,50,22,6,38,50,56,44,20,10,10,63,63,63,14,7,7,44,44,44,7,2,5,22,13,31,38,44,31,47,31,63,16,25,6,5.13,5.44,4.81,2.31,2.44,2.19,88,72,53,41,41,28,25,16,81,6,7,6,5,8,7,4,9,9,4,4,3,1,5,7,0,3,11
Bayer 04 Leverkusen,Bayer Leverkusen,2019/2020,Germany,32,16,16,0,18,8,10,6,4,2,8,4,4,1.88,1.75,2,4,5,3,4,60,42,18,102,53,49,31,29,22,20,9,9,48,46,50,69,65,72,9,5,4,19,10,9,5,2,3,22,11,11,200,126,74,63,29,34,10,10,11,376,213,163,177,94,83,199,119,80,353,170,183,33,17,16,20,12,8,13,5,8,13,6,7,14,7,7,5,3,2,1.66,1.56,1.75,3.19,3.31,3.06,1.88,1.94,1.81,1.31,1.38,1.25,1.66,1.81,1.5,1.03,1.06,1,0.63,0.75,0.5,31,28,20,13,7,2,15,14,10,7,4,2,16,14,10,6,3,0,1,4,12,19,25,30,1,2,6,9,12,14,0,2,6,10,13,16,97,88,63,41,22,6,94,88,63,44,25,13,100,88,63,38,19,0,3,12,37,59,78,94,6,12,37,56,75,87,0,12,37,62,81,100,25,17,8,13,9,4,12,8,4,78,53,25,81,56,25,75,50,25,56,50,63,-1,28,31,25,59,63,56,16,13,19,69,69,69,18,9,9,56,56,56,10,4,6,31,25,38,11,6,5,34,38,31,41,38,44,44,44,44,16,19,13,6.25,7.88,4.63,1.97,1.81,2.13,78,75,75,59,38,31,22,13,103,8,8,7,9,2,5,3,4,14,3,3,6,4,6,4,6,4,6
1. FC Köln,Köln,2019/2020,Germany,32,16,16,0,10,6,4,5,3,2,17,7,10,1.09,1.31,0.88,13,10,15,13,49,62,-13,111,53,58,27,22,26,36,1,-14,59,53,65,46,55,40,6,5,1,21,9,12,5,2,3,14,10,4,165,80,85,82,39,43,9,9,9,336,171,165,137,73,64,199,98,101,450,223,227,19,11,8,27,10,17,-8,1,-9,10,8,2,4,1,3,18,7,11,1.06,1.56,0.56,3.47,3.31,3.63,1.53,1.69,1.38,1.94,1.63,2.25,1.44,1.31,1.56,0.59,0.69,0.5,0.84,0.63,1.06,32,30,24,16,6,3,16,14,12,8,2,1,16,16,12,8,4,2,0,2,8,16,26,29,0,2,4,8,14,15,0,0,4,8,12,14,100,94,75,50,19,9,100,88,75,50,13,6,100,100,75,50,25,13,0,6,25,50,81,91,0,12,25,50,87,94,0,0,25,50,75,87,29,11,5,15,4,2,14,7,3,91,34,16,94,25,13,88,44,19,31,38,25,13,19,31,6,66,56,75,16,13,19,44,63,25,13,9,4,41,56,25,18,7,11,56,44,69,4,1,3,13,6,19,31,50,13,13,6,19,56,44,69,5.16,5.00,5.31,2.56,2.44,2.69,94,84,69,66,53,41,28,25,78,5,1,5,6,2,7,5,3,15,6,5,5,9,9,4,10,6,8
SC Freiburg,Freiburg,2019/2020,Germany,32,16,16,0,12,8,4,9,2,7,11,6,5,1.41,1.63,1.19,8,6,11,8,43,44,-1,87,36,51,19,24,17,27,2,-3,67,76,60,65,85,53,6,5,1,18,7,11,8,4,4,15,10,5,148,87,61,44,22,22,6,8,4,306,170,136,143,76,67,163,94,69,296,146,150,18,5,13,18,5,13,0,0,0,8,4,4,14,8,6,10,4,6,1.19,1.25,1.13,2.72,2.25,3.19,1.34,1.19,1.5,1.38,1.06,1.69,1.13,0.63,1.63,0.56,0.31,0.81,0.56,0.31,0.81,32,24,17,10,2,2,16,10,7,3,0,0,16,14,10,7,2,2,0,8,15,22,30,30,0,6,9,13,16,16,0,2,6,9,14,14,100,75,53,31,6,6,100,63,44,19,0,0,100,88,63,44,13,13,0,25,47,69,94,94,0,37,56,81,100,100,0,12,37,56,87,87,24,10,2,9,1,0,15,9,2,75,31,6,56,6,0,94,56,13,38,50,25,6,19,31,6,56,44,69,25,25,25,47,63,31,15,11,4,47,69,25,17,11,6,53,69,38,8,1,7,25,6,44,25,25,25,44,50,38,31,25,38,4.63,5.44,3.81,1.38,1.38,1.38,88,84,84,72,63,44,28,25,63,2,1,5,6,5,8,4,2,10,4,5,3,5,3,6,4,4,10
VfL Wolfsburg,Wolfsburg,2019/2020,Germany,32,16,16,0,12,4,8,10,7,3,10,5,5,1.44,1.19,1.69,6,12,6,6,44,41,3,85,38,47,19,25,19,22,0,3,65,76,58,70,76,65,8,4,4,18,10,8,8,4,4,13,6,7,160,91,69,69,26,43,8,12,5,373,220,153,152,87,65,221,133,88,443,202,241,17,8,9,18,10,8,-1,-2,1,9,3,6,14,7,7,9,6,3,1.28,1,1.56,2.66,2.38,2.94,1.38,1.19,1.56,1.28,1.19,1.38,1.09,1.13,1.06,0.53,0.5,0.56,0.56,0.63,0.5,30,26,16,8,4,1,14,13,7,3,1,0,16,13,9,5,3,1,2,6,16,24,28,31,2,3,9,13,15,16,0,3,7,11,13,15,94,81,50,25,13,3,88,81,44,19,6,0,100,81,56,31,19,6,6,19,50,75,87,97,12,19,56,81,94,100,0,19,44,69,81,94,22,10,3,11,5,2,11,5,1,69,31,9,69,31,13,69,31,6,38,25,50,-4,25,25,25,56,63,50,25,25,25,41,38,44,17,7,10,53,44,63,18,10,8,56,63,50,7,4,3,22,25,19,28,19,38,44,44,44,28,38,19,5.00,5.69,4.31,2.16,1.63,2.69,91,78,59,44,38,25,22,13,63,2,5,4,3,5,6,7,4,8,2,5,5,2,5,7,2,3,10
