team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
SSC Napoli,Napoli,2019/2020,Italy,26,13,13,3,11,5,6,6,2,4,9,6,3,1.5,1.31,1.69,6,11,6,6,41,36,5,77,35,42,17,24,18,18,-1,6,57,69,49,65,65,65,5,3,2,18,8,10,5,3,2,12,7,5,159,86,73,62,27,35,46,54,38,485,300,185,169,97,72,316,203,113,246,125,121,16,8,8,16,6,10,0,2,-2,8,5,3,9,4,5,9,4,5,1.27,1.46,1.08,2.96,2.69,3.23,1.58,1.31,1.85,1.38,1.38,1.38,1.23,1.08,1.38,0.62,0.62,0.62,0.62,0.46,0.77,24,21,15,7,5,3,12,11,8,3,1,0,12,10,7,4,4,3,2,5,11,19,21,23,1,2,5,10,12,13,1,3,6,9,9,10,92,81,58,27,19,12,92,85,62,23,8,0,92,77,54,31,31,23,8,19,42,73,81,88,8,15,38,77,92,100,8,23,46,69,69,77,20,9,3,10,3,1,10,6,2,77,35,12,77,23,8,77,46,15,42,38,46,0,19,23,15,69,62,77,19,23,15,46,54,38,12,8,4,46,62,31,14,6,8,54,46,62,6,2,4,23,15,31,31,38,23,35,31,38,35,31,38,6.12,6.62,5.62,2.38,2.08,2.69,88,69,57,46,38,38,31,27,62,2,5,2,4,5,4,9,2,8,2,5,6,2,1,3,6,3,8
Juventus FC,Juventus,2019/2020,Italy,26,13,13,3,20,12,8,3,1,2,3,0,3,2.42,2.85,2,1,1,4,1,50,24,26,74,41,33,31,19,10,14,21,5,47,38,62,98,117,83,9,6,3,17,7,10,1,0,1,21,12,9,160,102,58,60,22,38,51,51,51,455,263,192,180,107,73,275,156,119,263,125,138,22,13,9,8,4,4,14,9,5,10,6,4,16,7,9,0,0,0,1.77,1.92,1.62,2.85,3.15,2.54,1.92,2.38,1.46,0.92,0.77,1.08,1.15,1.31,1,0.85,1,0.69,0.31,0.31,0.31,25,22,18,6,1,1,13,12,9,4,1,1,12,10,9,2,0,0,1,4,8,20,25,25,0,1,4,9,12,12,1,3,4,11,13,13,96,85,69,23,4,4,100,92,69,31,8,8,92,77,69,15,0,0,4,15,31,77,96,96,0,8,31,69,92,92,8,23,31,85,100,100,17,11,2,10,6,1,7,5,1,65,42,8,77,46,8,54,38,8,77,92,62,20,35,46,23,65,54,77,4,0,8,81,92,69,18,9,9,69,69,69,9,3,6,35,23,46,8,4,4,31,31,31,38,46,31,62,54,69,0,0,0,6.15,7.85,4.46,2.31,1.69,2.92,92,73,73,62,50,42,38,31,77,4,5,2,7,7,4,7,6,8,1,2,2,2,2,3,5,2,5
AS Roma,Roma,2019/2020,Italy,26,13,13,3,13,6,7,6,3,3,7,4,3,1.73,1.62,1.85,5,4,5,5,51,35,16,86,45,41,26,25,19,16,7,9,46,45,47,67,62,73,6,2,4,17,9,8,5,2,3,15,7,8,187,110,77,85,36,49,47,48,45,460,275,185,170,96,74,290,179,111,291,148,143,24,13,11,17,10,7,7,3,4,11,4,7,10,5,5,5,4,1,1.65,1.31,2,3.31,3.46,3.15,1.96,2,1.92,1.35,1.46,1.23,1.58,1.77,1.38,0.92,1,0.85,0.65,0.77,0.54,24,23,17,11,6,4,13,13,9,5,3,2,11,10,8,6,3,2,2,3,9,15,20,22,0,0,4,8,10,11,2,3,5,7,10,11,92,88,65,42,23,15,100,100,69,38,23,15,85,77,62,46,23,15,8,12,35,58,77,85,0,0,31,62,77,85,15,23,38,54,77,85,19,12,8,11,7,3,8,5,5,73,46,31,85,54,23,62,38,38,50,46,54,-3,23,15,31,65,69,62,19,15,23,58,54,62,14,6,8,54,46,62,11,5,6,42,38,46,8,4,4,31,31,31,42,31,54,38,38,38,19,31,8,7.19,8.46,5.92,3.27,2.77,3.77,92,85,73,65,54,42,31,31,100,2,8,6,4,7,8,6,5,5,3,3,5,2,5,6,3,4,4
Cagliari Calcio,Cagliari,2019/2020,Italy,25,13,12,4,8,5,3,8,2,6,9,6,3,1.28,1.31,1.25,12,10,11,12,41,40,1,81,48,33,25,16,23,17,2,-1,55,47,68,56,51,63,3,1,2,17,9,8,5,3,2,14,7,7,101,58,43,78,37,41,36,34,39,332,190,142,133,79,54,199,111,88,278,138,140,15,8,7,13,6,7,2,2,0,8,4,4,9,5,4,8,4,4,1.32,1.31,1.33,3.24,3.69,2.75,1.64,1.92,1.33,1.6,1.77,1.42,1.12,1.08,1.17,0.6,0.62,0.58,0.52,0.46,0.58,25,21,14,11,4,3,13,11,8,6,4,3,12,10,6,5,0,0,0,4,11,14,21,22,0,2,5,7,9,10,0,2,6,7,12,12,100,84,56,44,16,12,100,85,62,46,31,23,100,83,50,42,0,0,0,16,44,56,84,88,0,15,38,54,69,77,0,17,50,58,100,100,19,7,2,9,3,2,10,4,0,76,28,8,69,23,15,83,33,0,32,38,25,3,12,8,17,68,69,67,20,23,17,56,54,58,14,8,6,56,62,50,13,7,6,52,54,50,4,2,2,16,15,17,32,31,33,36,38,33,32,31,33,4.04,4.46,3.58,3.12,2.85,3.42,84,80,68,56,44,36,28,24,72,2,3,6,4,3,4,5,6,8,1,0,5,4,6,3,7,2,12
Torino FC,Torino,2019/2020,Italy,25,12,13,4,8,4,4,3,2,1,14,6,8,1.08,1.17,1,15,16,15,15,28,45,-17,73,33,40,11,17,22,23,-11,-6,80,98,69,50,49,51,5,2,3,12,7,5,9,4,5,11,5,6,120,71,49,74,41,33,45,46,44,299,140,159,118,57,61,181,83,98,327,156,171,12,4,8,19,9,10,-7,-5,-2,7,3,4,8,4,4,10,5,5,1.16,1.08,1.23,2.92,2.75,3.08,1.12,0.92,1.31,1.8,1.83,1.77,1.24,1.08,1.38,0.48,0.33,0.62,0.76,0.75,0.77,24,18,16,8,4,2,11,9,8,2,1,1,13,9,8,6,3,1,1,7,9,17,21,23,1,3,4,10,11,11,0,4,5,7,10,12,96,72,64,32,16,8,92,75,67,17,8,8,100,69,62,46,23,8,4,28,36,68,84,92,8,25,33,83,92,92,0,31,38,54,77,92,20,8,2,9,3,1,11,5,1,80,32,8,75,25,8,85,38,8,32,33,31,-10,20,17,23,48,58,38,36,33,38,44,42,46,12,6,6,48,50,46,15,8,7,60,67,54,3,1,2,12,8,15,28,25,31,32,33,31,40,42,38,4.80,5.92,3.77,2.96,3.42,2.54,96,96,76,68,52,52,40,36,84,1,5,3,1,2,5,3,6,2,1,6,3,5,4,5,7,6,8
Genoa CFC,Genoa,2019/2020,Italy,26,12,14,3,6,4,2,7,1,6,13,7,6,0.96,1.08,0.86,17,17,16,17,31,47,-16,78,32,46,14,17,18,29,-4,-12,76,77,74,50,60,43,5,2,3,17,8,9,7,3,4,9,5,4,121,71,50,90,42,48,42,41,44,325,167,158,133,67,66,192,100,92,325,153,172,18,6,12,18,6,12,0,0,0,7,3,4,13,6,7,6,3,3,1.31,1.25,1.36,3,2.67,3.29,1.19,1.17,1.21,1.81,1.5,2.07,1.38,1,1.71,0.69,0.5,0.86,0.69,0.5,0.86,23,20,19,11,3,2,11,8,8,4,1,0,12,12,11,7,2,2,3,6,7,15,23,24,1,4,4,8,11,12,2,2,3,7,12,12,88,77,73,42,12,8,92,67,67,33,8,0,86,86,79,50,14,14,12,23,27,58,88,92,8,33,33,67,92,100,14,14,21,50,86,86,18,12,4,8,3,1,10,9,3,69,46,15,67,25,8,71,64,21,23,33,14,8,19,17,21,65,67,64,27,25,29,35,42,29,15,7,8,58,58,57,13,6,7,50,50,50,6,3,3,23,25,21,27,25,29,50,50,50,23,25,21,4.65,5.92,3.57,3.46,3.5,3.43,88,69,54,42,31,31,19,12,96,1,3,3,3,8,3,3,2,5,4,1,1,9,6,7,4,8,7
AC Milan,AC Milan,2019/2020,Italy,26,13,13,3,10,4,6,6,5,1,10,4,6,1.38,1.31,1.46,7,13,7,7,28,34,-6,62,28,34,13,15,15,19,-2,-4,83,90,78,69,78,62,9,5,4,13,7,6,6,3,3,12,4,8,144,87,57,83,33,50,46,46,45,429,243,186,143,81,62,286,162,124,293,148,145,11,6,5,11,7,4,0,-1,1,6,3,3,14,7,7,6,3,3,1.23,1.23,1.23,2.38,2.15,2.62,1.08,1,1.15,1.31,1.15,1.46,0.85,1,0.69,0.42,0.46,0.38,0.42,0.54,0.31,24,16,11,6,4,1,11,8,5,3,1,0,13,8,6,3,3,1,2,10,15,20,22,25,2,5,8,10,12,13,0,5,7,10,10,12,92,62,42,23,15,4,85,62,38,23,8,0,100,62,46,23,23,8,8,38,58,77,85,96,15,38,62,77,92,100,0,38,54,77,77,92,15,6,1,9,4,0,6,2,1,58,23,4,69,31,0,46,15,8,38,31,46,3,35,38,31,50,54,46,23,23,23,46,31,62,16,7,9,62,54,69,17,7,10,65,54,77,4,3,1,15,23,8,23,23,23,54,54,54,23,23,23,5.54,6.69,4.38,3.19,2.54,3.85,96,81,65,57,42,38,15,4,65,0,4,4,2,4,4,3,4,3,3,2,2,2,3,3,5,7,7
SS Lazio,Lazio,2019/2020,Italy,26,14,12,3,19,11,8,5,3,2,2,0,2,2.38,2.57,2.17,2,2,3,2,60,23,37,83,49,34,39,21,10,13,29,8,39,32,51,102,127,83,9,7,2,16,7,9,2,1,1,16,9,7,146,85,61,69,31,38,42,45,37,421,253,168,186,107,79,235,146,89,243,118,125,30,19,11,16,7,9,14,12,2,11,7,4,10,4,6,5,3,2,1.65,1.79,1.5,3.19,3.5,2.83,2.31,2.79,1.75,0.88,0.71,1.08,1.77,1.86,1.67,1.15,1.36,0.92,0.62,0.5,0.75,25,22,18,9,5,4,13,12,9,7,4,4,12,10,9,2,1,0,1,4,8,17,21,22,1,2,5,7,10,10,0,2,3,10,11,12,96,85,69,35,19,15,93,86,64,50,29,29,100,83,75,17,8,0,4,15,31,65,81,85,7,14,36,50,71,71,0,17,25,83,92,100,24,15,5,12,9,4,12,6,1,92,58,19,86,64,29,100,50,8,73,79,67,20,35,50,17,62,50,75,8,7,8,62,64,58,13,9,4,50,64,33,7,5,2,27,36,17,8,2,6,31,14,50,42,50,33,38,29,50,19,21,17,5.62,6.07,5.08,2.65,2.21,3.17,92,81,73,65,54,50,23,8,88,6,5,7,8,5,6,8,5,10,1,2,8,3,2,1,3,0,3
Atalanta Bergamasca Calcio,Atalanta,2019/2020,Italy,25,12,13,4,14,6,8,6,2,4,5,4,1,1.92,1.67,2.15,4,6,2,4,70,34,36,104,52,52,33,37,19,15,14,22,32,33,32,66,57,78,6,2,4,18,9,9,2,1,1,13,6,7,174,97,77,57,27,30,47,53,41,502,262,240,222,117,105,280,145,135,258,131,127,29,14,15,16,8,8,13,6,7,9,5,4,9,4,5,7,3,4,1.44,1.58,1.31,4.16,4.33,4,2.8,2.75,2.85,1.36,1.58,1.15,1.8,1.83,1.77,1.16,1.17,1.15,0.64,0.67,0.62,24,24,21,15,10,4,12,12,11,9,5,1,12,12,10,6,5,3,1,1,4,10,15,21,0,0,1,3,7,11,1,1,3,7,8,10,96,96,84,60,40,16,100,100,92,75,42,8,92,92,77,46,38,23,4,4,16,40,60,84,0,0,8,25,58,92,8,8,23,54,62,77,21,12,8,11,6,3,10,6,5,84,48,32,92,50,25,77,46,38,56,50,62,-9,24,17,31,72,75,69,8,8,8,52,50,54,12,5,7,48,42,54,10,4,6,40,33,46,7,4,3,28,33,23,36,42,31,36,33,38,28,25,31,6.96,8.08,5.92,2.28,2.25,2.31,80,68,52,52,44,40,32,24,144,2,6,7,9,9,10,8,6,13,2,4,5,4,1,6,5,2,5
UC Sampdoria,Sampdoria,2019/2020,Italy,25,14,11,4,7,4,3,5,4,1,13,6,7,1.04,1.14,0.91,16,14,17,16,28,44,-16,72,38,34,16,12,22,22,-6,-10,80,79,83,51,57,45,7,4,3,14,8,6,8,5,3,4,1,3,120,75,45,81,44,37,38,38,37,368,252,116,135,91,44,233,161,72,276,144,132,6,5,1,24,15,9,-18,-10,-8,2,1,1,10,5,5,13,8,5,0.64,0.57,0.73,2.88,2.71,3.09,1.12,1.14,1.09,1.76,1.57,2,1.2,1.43,0.91,0.24,0.36,0.09,0.96,1.07,0.82,21,17,14,8,6,5,11,9,8,4,3,3,10,8,6,4,3,2,4,8,11,17,19,20,3,5,6,10,11,11,1,3,5,7,8,9,84,68,56,32,24,20,79,64,57,29,21,21,91,73,55,36,27,18,16,32,44,68,76,80,21,36,43,71,79,79,9,27,45,64,73,82,16,8,6,10,6,4,6,2,2,64,32,24,71,43,29,55,18,18,28,29,27,7,28,29,27,56,57,55,32,36,27,16,7,27,10,4,6,40,29,55,20,10,10,80,71,91,4,4,0,16,29,0,8,7,9,40,36,45,52,57,45,4.80,5.36,4.09,3.24,3.14,3.36,80,80,68,64,40,40,32,24,92,0,0,1,3,2,3,6,7,6,5,8,4,5,4,5,5,4,4
