team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Villarreal CF,Villarreal,2019/2020,Spain,35,17,18,0,17,8,9,6,5,1,12,4,8,1.63,1.71,1.56,5,11,4,5,57,45,12,102,55,47,32,25,23,22,9,3,55,48,65,70,67,74,11,6,5,23,11,12,3,2,1,23,12,11,136,66,70,76,37,39,37,40,34,439,222,217,171,89,82,268,133,135,373,169,204,25,13,12,14,7,7,11,6,5,16,8,8,13,7,6,6,2,4,1.74,1.82,1.67,2.91,3.24,2.61,1.63,1.88,1.39,1.29,1.35,1.22,1.11,1.18,1.06,0.71,0.76,0.67,0.4,0.41,0.39,33,27,23,11,4,2,15,13,11,8,4,2,18,14,12,3,0,0,2,8,12,24,31,33,2,4,6,9,13,15,0,4,6,15,18,18,94,77,66,31,11,6,88,76,65,47,24,12,100,78,67,17,0,0,6,23,34,69,89,94,12,24,35,53,76,88,0,22,33,83,100,100,25,10,3,12,5,2,13,5,1,71,29,9,71,29,12,72,28,6,49,47,50,5,31,35,28,66,65,67,9,12,6,66,71,61,25,12,13,71,71,72,14,6,8,40,35,44,6,4,2,17,24,11,46,47,44,37,41,33,17,12,22,3.89,3.88,3.89,2.17,2.18,2.17,86,74,63,54,34,20,17,17,71,6,10,2,3,5,8,6,6,11,3,4,2,2,10,4,8,7,5
FC Barcelona,FC Barcelona,2019/2020,Spain,36,18,18,0,24,16,8,7,2,5,5,0,5,2.19,2.78,1.61,2,1,3,2,80,36,44,116,65,51,51,29,14,22,37,7,41,32,56,90,115,74,14,8,6,18,10,8,6,1,5,24,16,8,172,91,81,94,48,46,50,54,47,445,257,188,236,137,99,209,120,89,352,186,166,41,28,13,15,7,8,26,21,5,18,11,7,14,7,7,4,0,4,1.89,2.22,1.56,3.22,3.61,2.83,2.22,2.83,1.61,1,0.78,1.22,1.56,1.94,1.17,1.14,1.56,0.72,0.42,0.39,0.44,34,27,22,17,9,4,17,13,12,9,7,4,17,14,10,8,2,0,2,9,14,19,27,32,1,5,6,9,11,14,1,4,8,10,16,18,94,75,61,47,25,11,94,72,67,50,39,22,94,78,56,44,11,0,6,25,39,53,75,89,6,28,33,50,61,78,6,22,44,56,89,100,26,16,9,13,12,7,13,4,2,72,44,25,72,67,39,72,22,11,67,89,44,25,39,44,33,50,56,44,17,6,28,67,89,44,22,11,11,61,61,61,14,5,9,39,28,50,10,7,3,28,39,17,50,61,39,39,39,39,11,0,22,4.78,5.06,4.50,2.61,2.67,2.56,69,61,47,39,33,14,8,6,100,8,9,4,11,15,8,6,10,9,3,6,3,1,4,1,8,3,7
Real Madrid CF,Real Madrid,2019/2020,Spain,35,18,17,0,24,14,10,8,4,4,3,0,3,2.29,2.56,2,1,2,1,1,64,21,43,85,48,37,38,26,10,11,28,15,49,43,59,150,161,138,19,11,8,14,7,7,6,2,4,23,14,9,180,104,76,78,38,40,50,50,50,542,309,233,237,134,103,305,175,130,379,184,195,26,16,10,6,2,4,20,14,6,13,8,5,20,9,11,2,1,1,1.69,1.83,1.53,2.43,2.67,2.18,1.83,2.11,1.53,0.6,0.56,0.65,0.91,1,0.82,0.74,0.89,0.59,0.17,0.11,0.24,31,23,16,10,4,1,16,14,8,6,3,1,15,9,8,4,1,0,4,12,19,25,31,34,2,4,10,12,15,17,2,8,9,13,16,17,89,66,46,29,11,3,89,78,44,33,17,6,88,53,47,24,6,0,11,34,54,71,89,97,11,22,56,67,83,94,12,47,53,76,94,100,18,9,5,10,5,3,8,4,2,51,26,14,56,28,17,47,24,12,69,78,59,11,54,61,47,40,39,41,17,11,24,66,78,53,29,16,13,83,89,76,19,9,10,54,50,59,4,1,3,11,6,18,37,44,29,57,50,65,6,6,6,5.14,5.78,4.47,2.23,2.11,2.35,77,69,51,49,34,23,11,6,54,4,5,4,9,7,6,10,9,10,3,2,0,1,1,1,3,5,5
Sevilla FC,Sevilla FC,2019/2020,Spain,36,18,18,0,18,9,9,12,7,5,6,2,4,1.83,1.89,1.78,4,5,2,4,53,34,19,87,39,48,25,28,14,20,11,8,61,65,58,96,115,81,15,8,7,19,9,10,3,2,1,25,11,14,220,134,86,96,44,52,41,42,40,441,243,198,183,93,90,258,150,108,420,221,199,24,8,16,15,5,10,9,3,6,13,4,9,17,11,6,6,3,3,1.56,1.28,1.83,2.42,2.17,2.67,1.47,1.39,1.56,0.94,0.78,1.11,1.08,0.72,1.44,0.67,0.44,0.89,0.42,0.28,0.56,35,28,14,7,3,0,17,13,4,3,2,0,18,15,10,4,1,0,1,8,22,29,33,36,1,5,14,15,16,18,0,3,8,14,17,18,97,78,39,19,8,0,94,72,22,17,11,0,100,83,56,22,6,0,3,22,61,81,92,100,6,28,78,83,89,100,0,17,44,78,94,100,24,11,3,9,4,0,15,7,3,67,31,8,50,22,0,83,39,17,50,50,50,6,42,44,39,53,50,56,8,11,6,69,61,78,25,13,12,69,72,67,17,12,5,47,67,28,6,2,4,17,11,22,36,22,50,47,61,33,17,17,17,6.11,7.44,4.78,2.67,2.44,2.89,86,75,61,53,42,25,14,11,61,0,10,3,5,8,5,9,6,7,1,3,3,5,4,2,5,5,6
Club Atlético de Madrid,Atlético Madrid,2019/2020,Spain,36,18,18,0,17,12,5,15,5,10,4,1,3,1.83,2.28,1.39,3,3,5,3,48,26,22,74,37,37,27,21,10,16,17,5,68,60,77,125,161,101,16,10,6,16,7,9,9,4,5,19,10,9,177,101,76,92,39,53,39,40,39,417,236,181,152,84,68,265,152,113,419,203,216,21,13,8,13,7,6,8,6,2,11,6,5,21,11,10,4,1,3,1.5,1.61,1.39,2.06,2.06,2.06,1.33,1.5,1.17,0.72,0.56,0.89,0.94,1.11,0.78,0.58,0.72,0.44,0.36,0.39,0.33,31,23,11,7,2,0,15,10,7,4,1,0,16,13,4,3,1,0,5,13,25,29,34,36,3,8,11,14,17,18,2,5,14,15,17,18,86,64,31,19,6,0,83,56,39,22,6,0,89,72,22,17,6,0,14,36,69,81,94,100,17,44,61,78,94,100,11,28,78,83,94,100,20,9,4,10,6,3,10,3,1,56,25,11,56,33,17,56,17,6,47,67,28,18,44,56,33,44,39,50,25,22,28,53,56,50,25,13,12,69,72,67,19,8,11,53,44,61,8,5,3,22,28,17,31,33,28,58,61,56,11,6,17,4.92,5.61,4.22,2.56,2.17,2.94,75,64,57,56,47,36,28,17,47,2,5,6,5,4,7,6,7,6,2,5,2,3,3,3,2,0,6
Deportivo Alavés,Deportivo Alavés,2019/2020,Spain,35,17,18,0,9,7,2,8,5,3,18,5,13,1,1.53,0.5,17,15,19,17,32,53,-21,85,34,51,20,12,14,39,6,-27,99,76,134,60,110,41,8,6,2,16,8,8,12,4,8,11,7,4,127,71,56,109,58,51,35,32,38,299,165,134,127,72,55,172,93,79,514,260,254,6,4,2,24,6,18,-18,-2,-16,2,2,0,19,10,9,14,5,9,0.71,0.94,0.5,2.43,2,2.83,0.91,1.18,0.67,1.51,0.82,2.17,0.86,0.59,1.11,0.17,0.24,0.11,0.69,0.35,1,34,28,13,4,4,2,16,13,5,0,0,0,18,15,8,4,4,2,1,7,22,31,31,33,1,4,12,17,17,17,0,3,10,14,14,16,97,80,37,11,11,6,94,76,29,0,0,0,100,83,44,22,22,11,3,20,63,89,89,94,6,24,71,100,100,100,0,17,56,78,78,89,18,7,3,8,2,0,10,5,3,51,20,9,47,12,0,56,28,17,26,41,11,38,23,35,11,46,47,44,34,24,44,31,41,22,19,11,8,54,65,44,30,14,16,86,82,89,3,1,2,9,6,11,6,12,0,54,59,50,40,29,50,3.63,4.18,3.11,3.11,3.41,2.83,69,63,46,40,28,14,14,3,63,0,1,3,2,4,4,4,4,10,1,8,4,5,10,6,6,6,7
CD Leganés,Leganés,2019/2020,Spain,36,18,18,0,7,5,2,11,4,7,18,9,9,0.89,1.06,0.72,18,19,16,18,26,49,-23,75,39,36,15,11,24,25,-9,-14,125,108,148,66,68,65,8,5,3,16,8,8,16,7,9,10,6,4,149,79,70,126,60,66,38,46,30,413,223,190,170,85,85,243,138,105,524,262,262,11,7,4,23,11,12,-12,-4,-8,7,5,2,16,7,9,13,6,7,1.03,1.22,0.83,2.08,2.17,2,0.72,0.83,0.61,1.36,1.33,1.39,0.94,1,0.89,0.31,0.39,0.22,0.64,0.61,0.67,32,24,14,3,2,0,16,12,9,1,1,0,16,12,5,2,1,0,4,12,22,33,34,36,2,6,9,17,17,18,2,6,13,16,17,18,89,67,39,8,6,0,89,67,50,6,6,0,89,67,28,11,6,0,11,33,61,92,94,100,11,33,50,94,94,100,11,33,72,89,94,100,22,9,3,12,5,1,10,4,2,61,25,8,67,28,6,56,22,11,19,28,11,9,22,28,17,44,44,44,44,39,50,28,33,22,20,11,9,56,61,50,27,12,15,75,67,83,3,1,2,8,6,11,19,28,11,44,39,50,36,33,39,4.14,4.39,3.89,3.5,3.33,3.67,57,53,44,36,28,17,14,6,36,2,5,0,3,5,4,2,2,3,7,4,7,3,4,4,8,4,8
SD Eibar,SD Eibar,2019/2020,Spain,36,18,18,0,10,7,3,9,3,6,17,8,9,1.08,1.33,0.83,15,16,12,15,36,51,-15,87,46,41,22,14,24,27,-2,-13,90,74,115,63,68,60,11,6,5,16,7,9,14,6,8,11,7,4,179,103,76,90,50,40,42,43,41,404,227,177,173,97,76,231,130,101,454,227,227,16,7,9,25,11,14,-9,-4,-5,8,4,4,17,8,9,11,6,5,1.14,1.11,1.17,2.42,2.56,2.28,1,1.22,0.78,1.42,1.33,1.5,1.14,1,1.28,0.44,0.39,0.5,0.69,0.61,0.78,31,27,18,7,4,0,17,15,10,3,1,0,14,12,8,4,3,0,5,9,18,29,32,36,1,3,8,15,17,18,4,6,10,14,15,18,86,75,50,19,11,0,94,83,56,17,6,0,78,67,44,22,17,0,14,25,50,81,89,100,6,17,44,83,94,100,22,33,56,78,83,100,24,13,4,12,5,1,12,8,3,67,36,11,67,28,6,67,44,17,28,39,17,14,31,33,28,44,39,50,39,33,44,31,39,22,19,10,9,53,56,50,23,12,11,64,67,61,6,2,4,17,11,22,22,22,22,47,44,50,31,33,28,4.97,5.72,4.22,2.5,2.78,2.22,78,72,69,53,44,31,22,8,56,2,6,4,3,3,4,3,2,9,7,6,6,5,4,4,5,7,7
Reial Club Deportiu Espanyol,RCD Espanyol,2019/2020,Spain,36,18,18,0,5,2,3,9,5,4,22,11,11,0.67,0.61,0.72,20,20,15,20,27,57,-30,84,46,38,15,12,31,26,-16,-14,120,108,134,57,52,63,5,2,3,17,9,8,16,7,9,12,6,6,151,76,75,107,46,61,40,43,36,403,226,177,166,91,75,237,135,102,460,226,234,15,9,6,21,13,8,-6,-4,-2,9,6,3,15,4,11,12,8,4,1.17,1.22,1.11,2.33,2.56,2.11,0.75,0.83,0.67,1.58,1.72,1.44,1,1.22,0.78,0.42,0.5,0.33,0.58,0.72,0.44,34,26,15,7,1,1,18,14,7,5,1,1,16,12,8,2,0,0,2,10,21,29,35,35,0,4,11,13,17,17,2,6,10,16,18,18,94,72,42,19,3,3,100,78,39,28,6,6,89,67,44,11,0,0,6,28,58,81,97,97,0,22,61,72,94,94,11,33,56,89,100,100,26,9,1,16,5,1,10,4,0,72,25,3,89,28,6,56,22,0,14,11,17,1,14,11,17,47,50,44,44,39,50,33,33,33,18,7,11,50,39,61,22,10,12,61,56,67,6,3,3,17,17,17,25,33,17,42,22,61,33,44,22,4.19,4.22,4.17,2.97,2.56,3.39,75,64,53,44,31,17,6,3,50,2,2,4,4,7,1,1,3,3,3,8,2,5,9,8,5,8,9
Real Club Celta de Vigo,Celta de Vigo,2019/2020,Spain,36,18,18,0,7,5,2,15,8,7,14,5,9,1,1.28,0.72,16,17,14,16,35,46,-11,81,37,44,20,15,17,29,3,-14,93,81,108,70,96,56,11,6,5,18,8,10,13,6,7,13,7,6,164,85,79,106,54,52,46,48,44,356,196,160,153,72,81,203,124,79,420,209,211,12,7,5,16,7,9,-4,0,-4,6,3,3,20,9,11,10,6,4,1.06,1,1.11,2.25,2.06,2.44,0.97,1.11,0.83,1.28,0.94,1.61,0.78,0.78,0.78,0.33,0.39,0.28,0.44,0.39,0.5,30,22,13,10,4,2,16,10,5,4,1,1,14,12,8,6,3,1,6,14,23,26,32,34,2,8,13,14,17,17,4,6,10,12,15,17,83,61,36,28,11,6,89,56,28,22,6,6,78,67,44,33,17,6,17,39,64,72,89,94,11,44,72,78,94,94,22,33,56,67,83,94,18,6,3,10,2,1,8,4,2,50,17,8,56,11,6,44,22,11,19,28,11,21,31,33,28,50,44,56,36,33,39,36,39,33,24,11,13,67,61,72,27,14,13,75,78,72,3,1,2,8,6,11,17,17,17,56,50,61,28,33,22,4.56,4.72,4.39,2.94,3,2.89,94,83,72,69,36,22,19,11,47,2,5,1,1,7,2,3,5,9,2,4,4,4,6,8,4,4,10
